left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 402.7204  311.0343 1136.6244],[ 404.40637  406.61215 1112.7834 ],[ 405.9271   197.31769 1086.8708 ],[497.6865  429.77014 751.05804],[489.78235 453.23346 714.182  ],[ 281.0338   319.64346 1081.8442 ],[254.50085 216.59908 951.0466 ],[248.2937  192.49278 924.887  ],[ 449.59427  806.6915  1107.7847 ],[ 371.73822  424.2948  1165.5234 ]
[ 407.2372   292.14352 1178.4728 ],[ 410.7807   382.41733 1134.2391 ],[ 412.609    184.42323 1104.9634 ],[528.86707 419.40668 776.60846],[528.2637  443.55197 738.0214 ],[ 290.7666   304.32043 1098.0571 ],[265.9257  208.33893 952.5327 ],[260.01797 185.5124  923.42786],[ 457.88037  741.5973  1113.6187 ],[ 363.18027  360.58292 1165.5565 ]
[ 412.19638  277.30328 1208.0112 ],[ 416.49286  362.3946  1149.1659 ],[ 417.9688   173.68582 1120.079  ],[537.83435 404.20224 814.81525],[537.2745  426.18365 776.4998 ],[ 289.60394  293.60382 1113.3201 ],[280.93228 201.72052 957.5392 ],[278.84796 179.63557 926.383  ],[ 456.30652  732.47577 1132.6979 ],[ 377.51727  363.65015 1165.2341 ]
[ 417.55215  272.34027 1216.606  ],[ 420.6155  355.8593 1164.7654],[ 422.19724  168.74863 1131.3856 ],[541.1731 399.1545 847.223 ],[541.71515 421.18625 809.4    ],[ 291.3146   286.72824 1122.7809 ],[293.4014 192.1143 973.1058],[293.89825 169.58801 943.1708 ],[ 460.41397  731.10175 1143.2448 ],[ 383.08337  365.22696 1167.8518 ]
[ 420.9396   272.04507 1213.8353 ],[ 423.14886  355.70203 1177.8623 ],[ 425.22333  167.72078 1140.726  ],[547.474   405.72028 874.5517 ],[548.5094  429.74207 838.31726],[ 293.21527  283.55313 1143.2346 ],[298.361   190.84395 990.7265 ],[299.58627 168.76822 960.22485],[ 466.51486  738.2359  1150.0089 ],[ 383.17316  374.2003  1168.6995 ]
[ 424.6584   274.51328 1213.1246 ],[ 426.60376  358.1149  1184.3855 ],[ 427.92065  168.1334  1150.4406 ],[549.69867 404.51755 898.6096 ],[550.69525 428.60727 863.51636],[ 297.32864  282.72293 1162.7764 ],[ 296.8678   191.92174 1010.4458 ],[296.75842 170.37404 979.9797 ],[ 475.55463  737.36    1156.3396 ],[ 382.07172  378.07538 1169.2047 ]
[ 429.08688  276.2096  1218.1836 ],[ 431.0724   359.73535 1188.6403 ],[ 431.30692  168.71147 1160.5823 ],[554.4529  408.57724 924.8735 ],[556.0343  433.79236 891.41504],[ 306.54507  286.784   1187.3834 ],[ 295.2062  196.3102 1039.2234],[ 292.5391  175.0289 1009.5914],[ 480.95767  734.0942  1164.5068 ],[ 385.02988  377.6891  1173.0363 ]
[ 434.12073  276.6681  1225.474  ],[ 436.0983   360.27774 1192.5723 ],[ 435.19528  169.31015 1170.689  ],[561.6819  409.71567 946.30975],[564.6848  435.15967 913.5655 ],[ 316.001    288.65717 1207.3154 ],[ 295.9716  200.0095 1063.5007],[ 291.2976   179.32298 1034.7378 ],[ 485.452   730.0742 1173.3684],[ 389.83002  375.83298 1180.4415 ]
[ 437.57867  276.02173 1233.7338 ],[ 439.33862  359.7732  1197.2782 ],[ 438.90027  169.91048 1180.7485 ],[565.12476 412.57864 969.3467 ],[568.5987  438.36118 938.3633 ],[ 320.79767  287.84    1219.1194 ],[ 296.19705  200.9936  1077.6619 ],[ 290.48105  180.81464 1049.3704 ],[ 487.9754  728.5598 1176.7338],[ 393.7829   374.13895 1185.797  ]
[ 438.92944  275.14694 1241.7194 ],[ 440.64276  359.07864 1203.7352 ],[ 441.83865  170.55511 1190.925  ],[566.1921  413.1993  986.54834],[569.38446 438.7643  956.4846 ],[ 323.70703  286.3278  1226.1572 ],[ 296.20145  199.17386 1090.0485 ],[ 289.85492  179.06438 1062.8267 ],[ 488.76526  727.58655 1178.8834 ],[ 395.85516  373.40005 1191.5916 ]
