left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 285.24905  199.91975 1808.4945 ],[ 280.96338  264.8471  1780.205  ],[ 288.49084   114.752975 1802.5526  ],[ 512.7425   120.19376 1585.4165 ],[ 531.07086  112.1702  1561.6469 ],[ 235.43098  212.1236  1844.0054 ],[ 235.43098  292.30453 1844.0054 ],[ 235.43098  325.0875  1844.0054 ],[ 315.65936  541.2558  1777.1503 ],[ 247.24577  275.5753  1798.6644 ]
[ 285.11203  196.94301 1813.8318 ],[ 281.32718  260.4163  1786.9794 ],[ 288.40442   111.774956 1803.5333  ],[ 518.5967   120.39522 1601.1292 ],[ 537.47186  113.92646 1581.0071 ],[ 233.8191   207.98584 1834.5709 ],[ 233.8191   288.57913 1834.5709 ],[ 233.8191   321.53067 1834.5709 ],[ 315.77335  536.33264 1775.7872 ],[ 248.0725   272.27588 1802.9374 ]
[ 284.98425  195.02151 1819.1882 ],[ 281.49075  257.42926 1791.9551 ],[ 288.2431   109.99774 1804.8123 ],[ 518.37     120.16638 1621.1995 ],[ 537.07745  113.97986 1602.8407 ],[ 234.49005  206.61292 1839.8359 ],[ 234.49005  286.97556 1839.8359 ],[ 234.49005  319.83276 1839.8359 ],[ 315.23138  534.06665 1776.0051 ],[ 248.83212  270.3361  1807.5051 ]
[ 285.04666  194.70526 1822.8608 ],[ 281.67395  256.2751  1794.6443 ],[ 288.18958  109.83314 1805.7317 ],[ 517.5606   119.93686 1645.8695 ],[ 535.87805  113.5933  1629.4366 ],[ 234.47351  207.48083 1835.2723 ],[ 234.47351  288.0432  1835.2723 ],[ 234.47351  320.98215 1835.2723 ],[ 314.88086  534.3091  1776.7845 ],[ 249.0914   270.34024 1807.9658 ]
[ 285.11334  194.64015 1824.4633 ],[ 281.84772  255.59698 1796.1116 ],[ 288.15125  109.87647 1806.1583 ],[ 518.24274  121.22193 1650.8433 ],[ 536.61017  115.23843 1634.4404 ],[ 234.6066   208.01065 1835.3173 ],[ 234.6066   288.57095 1835.3173 ],[ 234.6066  321.509  1835.3173],[ 315.13327  533.9448  1777.6234 ],[ 249.2166  270.2968 1809.5657]
[ 285.1678   194.63724 1825.153  ],[ 281.99304  255.1109  1796.8842 ],[ 288.184     109.958206 1806.3654  ],[ 519.3121    124.134995 1674.7188  ],[ 537.53      118.985794 1661.1913  ],[ 216.37921  205.69003 1865.237  ],[ 216.37921  284.95786 1865.237  ],[ 216.37921  317.36746 1865.237  ],[ 315.4037  533.6878 1778.1747],[ 249.28015  270.26086 1810.5574 ]
[ 285.21576  194.64838 1825.4481 ],[ 282.13776  254.72406 1797.3182 ],[ 288.1985   110.04431 1806.4791 ],[ 519.76874  125.27319 1690.3253 ],[ 537.89197  120.54472 1677.1794 ],[ 216.2578   205.61519 1868.0653 ],[ 199.46135  281.03836 1784.407  ],[ 192.13147  313.95273 1750.2023 ],[ 315.7402   533.29974 1779.0417 ],[ 249.37265  270.13873 1811.8198 ]
[ 285.27246  194.66284 1825.5583 ],[ 282.2985   254.39967 1797.5928 ],[ 288.21854  110.12292 1806.548  ],[ 518.8706   125.60201 1701.7847 ],[ 536.75934  120.8843  1688.8057 ],[ 215.79791  205.57458 1869.551  ],[ 201.4573  281.4758 1793.4076],[ 195.20586  314.56305 1762.1221 ],[ 316.1018  532.9991 1780.3945],[ 249.33203  270.10385 1811.3314 ]
[ 285.3194   194.64067 1825.6185 ],[ 282.44165  254.10266 1797.7885 ],[ 288.2325   110.17919 1806.6112 ],[ 517.02466  126.01287 1716.6854 ],[ 534.57     121.25517 1704.2329 ],[ 215.03833  205.38478 1868.4933 ],[ 201.12846  280.7431  1791.983  ],[ 195.01938  313.83978 1760.3257 ],[ 316.3502  532.8303 1781.8129],[ 249.24806  269.85034 1810.9669 ]
[ 285.3625   194.63002 1825.6681 ],[ 282.5684   253.86446 1797.9294 ],[ 288.24396  110.2614  1806.683  ],[ 515.028    126.72749 1728.1257 ],[ 532.2685    121.943405 1716.5315  ],[ 214.1472  205.0729 1866.6807],[ 200.95926  280.07697 1790.7126 ],[ 195.13168  313.22025 1759.0785 ],[ 316.5685   532.57196 1783.9447 ],[ 249.24423  269.63297 1811.0443 ]
[ 285.3802   194.65358 1825.7278 ],[ 282.59695  253.69617 1798.035  ],[ 288.24844  110.39809 1806.7596 ],[ 513.32623  127.11808 1729.4937 ],[ 530.4605   122.16287 1716.6774 ],[ 212.80226  204.62776 1864.3323 ],[ 200.75356  278.88297 1782.4877 ],[ 195.37592  312.02484 1748.2333 ],[ 316.66232  532.21826 1786.6288 ],[ 249.17508  269.39996 1811.1517 ]
[ 285.3865   194.62321 1825.799  ],[ 282.59988  253.51396 1798.2998 ],[ 288.25125  110.48128 1806.9136 ],[ 511.4069    127.748405 1732.998   ],[ 528.40735  122.62534 1719.5475 ],[ 211.07368  204.03404 1860.688  ],[ 200.41559  277.6312  1772.6931 ],[ 195.61827  310.75803 1735.7454 ],[ 316.70667  531.6587  1790.4536 ],[ 249.09538  269.14432 1811.3309 ]
[ 285.21155  194.66113 1827.0137 ],[ 282.36612  253.36035 1799.1382 ],[ 288.19772  110.67524 1807.8159 ],[ 510.16565  128.92696 1738.2102 ],[ 527.0137   123.73587 1725.8877 ],[ 209.09409  203.40222 1855.6443 ],[ 200.04047  276.93494 1765.5354 ],[ 195.9526   310.13635 1727.6558 ],[ 316.51312  531.0039  1794.3136 ],[ 248.85626  269.23288 1811.6161 ]
[ 284.86572  194.78079 1829.8612 ],[ 281.87982  253.22336 1800.7582 ],[ 287.45813  111.05028 1811.1063 ],[ 508.18478  131.19707 1745.9348 ],[ 524.94464  126.14508 1735.3165 ],[ 207.94374  203.3537  1848.7773 ],[ 199.01599  276.45868 1750.4606 ],[ 194.96965  309.59235 1709.2627 ],[ 316.05383  530.2694  1798.0199 ],[ 248.30807  269.21536 1812.2427 ]
[ 283.96844  195.02866 1833.9033 ],[ 280.8186   253.17976 1802.9089 ],[ 285.54605  111.73012 1818.4645 ],[ 504.98172  136.1509  1753.0155 ],[ 521.8001  131.5955 1743.7972],[ 206.978    204.29594 1852.0498 ],[ 199.51927  278.57278 1759.0898 ],[ 196.1756   311.87045 1720.3794 ],[ 315.114   529.4904 1801.2764],[ 247.16562  269.33978 1813.1558 ]
[ 283.18774  195.29384 1838.8878 ],[ 280.01385  253.1814  1806.3687 ],[ 283.67267  112.41536 1826.1659 ],[ 500.6931  142.2853 1766.8518],[ 517.447    138.29434 1760.3414 ],[ 205.22223  205.0657  1856.5297 ],[ 199.5329  279.4503 1758.854 ],[ 198.31836  295.32974 1739.3188 ],[ 314.38022  528.80225 1806.1436 ],[ 246.10294  269.3984  1814.4445 ]
[ 282.37396  195.44897 1844.7343 ],[ 279.24615  253.11163 1811.3107 ],[ 282.5849   112.93432 1833.3254 ],[ 498.6645   143.14923 1766.6393 ],[ 515.4499   139.13155 1759.5474 ],[ 203.78943  205.1282  1862.316  ],[ 199.43573  278.2748  1757.4376 ],[ 198.50188  293.96442 1736.4619 ],[ 313.6223   527.77966 1813.0975 ],[ 245.03493  269.14194 1817.1151 ]
