left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 301.8391   191.79726 1670.7762 ],[ 300.89496  259.92642 1656.2551 ],[ 303.14352  103.43206 1644.607  ],[ 405.0567   264.44925 1585.9778 ],[ 406.92014  295.57907 1526.499  ],[ 228.453    204.46446 1661.3397 ],[ 218.96823  292.07916 1595.3773 ],[ 216.97635  310.47876 1582.1848 ],[ 351.26337  561.29333 1452.3024 ],[ 260.61633  271.1504  1678.5864 ]
[ 305.11575  187.84952 1687.041  ],[ 304.79703  254.22423 1667.7949 ],[ 303.60226   100.502846 1648.3381  ],[ 414.59744  270.89764 1645.319  ],[ 420.74463  305.0761  1610.2012 ],[ 223.61133  203.11201 1664.79   ],[ 222.14081  288.03717 1594.1714 ],[ 221.83093  305.93317 1580.0476 ],[ 347.80972  551.4512  1457.0161 ],[ 265.1567   263.97076 1685.002  ]
[ 307.47748  184.76326 1696.4893 ],[ 307.5287   250.17505 1674.9951 ],[ 303.9541     98.531456 1650.5814  ],[ 418.61264  272.11877 1657.4305 ],[ 427.8028  306.0881 1629.3528],[ 224.1104   202.66663 1664.2651 ],[ 223.882    287.86163 1598.1454 ],[ 223.83405  305.75363 1584.9214 ],[ 348.35162  553.15155 1457.3113 ],[ 269.6835   265.07147 1685.5005 ]
[ 308.65527  183.76204 1698.1853 ],[ 308.9073  248.7995 1676.9076],[ 304.3934    98.12836 1650.8743 ],[ 417.61246  273.52155 1656.8772 ],[ 427.60388  307.43176 1630.6942 ],[ 224.43741  203.43059 1666.4885 ],[ 227.26505  287.7333  1597.5536 ],[ 227.8601  305.4745 1583.7666],[ 349.29663  554.29645 1462.3406 ],[ 271.1551   265.16208 1684.6396 ]
[ 309.25302  183.8711  1695.622  ],[ 309.656    248.70486 1677.0665 ],[ 304.73096   98.36137 1650.2289 ],[ 416.0381  275.929  1654.3054],[ 426.7025   309.82657 1629.928  ],[ 225.15012  204.12881 1669.102  ],[ 225.59723  287.40527 1595.3846 ],[ 225.69167  304.99268 1580.6411 ],[ 350.4745  554.5988 1460.2332],[ 271.5571   265.51178 1683.45   ]
[ 309.3854   184.42148 1692.455  ],[ 309.60696  248.85893 1675.4161 ],[ 305.13278   98.77191 1649.4666 ],[ 413.55444  278.7974  1648.032  ],[ 418.44946  295.34793 1637.2247 ],[ 225.61777  205.55354 1672.4501 ],[ 225.7428   287.26263 1591.2847 ],[ 225.76935  304.61502 1575.0516 ],[ 353.1808  555.034  1459.1609],[ 271.24637  265.5037  1682.233  ]
[ 309.67847  185.18835 1688.1497 ],[ 309.68735  249.18205 1671.7245 ],[ 306.40262   99.21358 1648.4238 ],[ 411.00406  281.83243 1631.5348 ],[ 414.8695   298.66055 1620.4594 ],[ 226.96028  206.4572  1676.6442 ],[ 226.70102  286.4165  1588.236  ],[ 226.64563  303.48862 1570.5543 ],[ 357.76733  555.70215 1459.8601 ],[ 271.22552  265.64127 1680.4762 ]
[ 310.14313  185.93343 1684.6708 ],[ 309.83997  249.46893 1667.6315 ],[ 308.26825   99.73493 1647.6022 ],[ 408.68594  284.2519  1610.3121 ],[ 411.84204  301.4367  1597.6519 ],[ 229.27672  206.81145 1678.5583 ],[ 229.33612  287.6907  1595.481  ],[ 229.34877  304.88794 1578.8655 ],[ 369.46265  555.17316 1466.7135 ],[ 271.518    265.65887 1678.5426 ]
[ 310.89935  186.55695 1682.4866 ],[ 310.19272  249.68723 1663.8088 ],[ 310.46     100.32987 1647.1713 ],[ 400.9577   286.13397 1574.7222 ],[ 402.3105   303.78778 1557.3201 ],[ 232.63876  207.50786 1678.1302 ],[ 235.70206  289.7949  1595.6704 ],[ 236.35312  307.2835  1579.1785 ],[ 375.63776  554.09753 1475.995  ],[ 271.96692  265.70828 1675.8315 ]
[ 312.09702  187.2113  1680.6663 ],[ 310.79913  249.97787 1659.5585 ],[ 312.6992    101.109314 1647.0515  ],[ 396.72488  286.168   1550.1208 ],[ 396.98422  303.79443 1528.4298 ],[ 234.47394  207.60754 1677.731  ],[ 237.0784  290.5509 1589.3274],[ 237.63446  308.2593  1571.6467 ],[ 372.11716  554.4186  1477.907  ],[ 272.6351   265.80893 1672.8467 ]
