left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 270.9194   193.72285 1712.0858 ],[ 269.4648   253.76492 1694.0173 ],[ 270.59665  106.523   1689.609  ],[ 494.88806  122.71872 1619.989  ],[ 511.9192   116.77732 1599.7457 ],[ 186.87863  205.43315 1698.854  ],[ 185.48053  283.53943 1620.2324 ],[ 185.18446  300.07922 1604.508  ],[ 310.2851   549.27386 1536.6925 ],[ 231.63654  274.61557 1709.0624 ]
[ 270.76108  187.40315 1730.7174 ],[ 268.9547   246.84808 1707.3042 ],[ 271.42084  100.87648 1697.4751 ],[ 492.58356  123.67494 1629.7854 ],[ 509.50073   117.707054 1611.6954  ],[ 184.51112  199.20195 1702.695  ],[ 185.09575  277.41556 1632.5148 ],[ 185.21878  293.87225 1618.4788 ],[ 308.43887  537.84644 1521.5137 ],[ 232.2579   266.92944 1709.7426 ]
[ 270.3491   183.35345 1739.9739 ],[ 268.45074  242.70688 1714.0072 ],[ 271.56885    97.470375 1701.7292  ],[ 490.48264  124.04444 1637.0623 ],[ 507.33258  118.11914 1620.158  ],[ 184.17682  195.88492 1703.7941 ],[ 185.24365  273.99307 1634.689  ],[ 185.46791  290.41394 1620.8679 ],[ 317.36664  533.44196 1533.1404 ],[ 233.50018  264.03207 1710.1783 ]
[ 270.07605  181.94772 1743.5646 ],[ 268.18103  241.46497 1717.0496 ],[ 271.5382    96.54342 1703.9023 ],[ 489.0651   125.23538 1646.2422 ],[ 505.8505   119.43471 1630.6277 ],[ 184.29428  194.96251 1705.0138 ],[ 185.46225  273.2276  1638.0795 ],[ 185.70738  289.65445 1624.6926 ],[ 325.8579  529.435  1551.6399],[ 233.39265  262.12082 1711.1028 ]
[ 269.7587   182.05408 1743.3105 ],[ 268.0841   241.90564 1718.6996 ],[ 271.47537   96.81096 1704.9791 ],[ 487.85657  126.34521 1652.97   ],[ 504.56506  120.6016  1637.494  ],[ 184.34085  194.73743 1706.4343 ],[ 185.76143  273.0871  1641.578  ],[ 186.05913  289.5059  1628.6067 ],[ 330.32935  529.028   1564.294  ],[ 233.3547   263.54794 1712.299  ]
[ 269.6703   182.46927 1742.9664 ],[ 268.09674  242.56334 1720.309  ],[ 271.46878   97.28033 1706.2157 ],[ 486.12036  127.57486 1658.3771 ],[ 502.80084  121.79692 1641.8135 ],[ 184.80429  194.6353  1708.8129 ],[ 186.14972  273.36426 1645.5962 ],[ 186.4313   289.84155 1632.9529 ],[ 326.1811  529.6963 1566.6311],[ 232.3809  263.3969 1714.0767]
[ 269.7382   182.94485 1742.9546 ],[ 268.16724  243.21364 1721.8595 ],[ 271.5084    97.80894 1707.7473 ],[ 485.5063  128.7378 1664.8174],[ 502.1949   123.08358 1648.2239 ],[ 185.47644  195.065   1711.7604 ],[ 186.82324  274.25314 1652.4772 ],[ 187.10426  290.77753 1640.6205 ],[ 323.4128  529.7709 1565.2651],[ 231.89899  263.42294 1717.8411 ]
[ 269.81024  183.32225 1743.8083 ],[ 268.2318  243.681  1723.5101],[ 271.55453   98.34096 1709.7734 ],[ 485.19073  130.37593 1676.165  ],[ 501.83417  124.99025 1661.0125 ],[ 186.50317  195.39377 1715.9729 ],[ 188.01009  274.9266  1664.0979 ],[ 188.32281  291.43195 1653.7229 ],[ 320.00452  528.91614 1563.2957 ],[ 231.99858  262.89255 1725.0621 ]
[ 269.94803  183.61516 1747.633  ],[ 268.29968  243.8326  1725.6401 ],[ 271.66003    99.053406 1714.0883  ],[ 484.47574  132.35602 1673.567  ],[ 501.18045   127.123276 1657.3866  ],[ 188.14728  196.0377  1724.2552 ],[ 188.66974  274.78058 1665.2432 ],[ 188.7787   291.20364 1653.4408 ],[ 316.09283  527.26495 1563.0381 ],[ 232.69788  261.94662 1734.9327 ]
[ 270.2194   183.82788 1754.1549 ],[ 268.51038  243.77551 1730.3032 ],[ 271.83005    99.846855 1719.7483  ],[ 483.8781   135.48596 1675.2969 ],[ 500.60645  130.52425 1659.1448 ],[ 190.08633  196.7351  1735.2234 ],[ 189.70569  274.6063  1671.8102 ],[ 189.62607  290.89487 1659.1276 ],[ 312.29208  525.3056  1562.2598 ],[ 233.75104  261.70578 1744.8328 ]
