left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 365.48965  202.13075 1789.2659 ],[ 364.51654  262.84305 1774.1948 ],[ 367.18665   113.997284 1764.839   ],[ 439.56763  303.8701  1741.6194 ],[ 439.56763  338.54434 1741.6194 ],[ 289.26593  206.21602 1848.0148 ],[ 296.7917   280.11053 1700.7916 ],[ 298.45593  296.45163 1671.347  ],[ 402.54462  546.2325  1783.6288 ],[ 326.67773  284.21103 1792.7527 ]
[ 370.9054   196.93388 1802.2902 ],[ 369.95306  257.5365  1783.6222 ],[ 370.4375   109.24061 1770.3761 ],[ 443.58008  298.31616 1748.7817 ],[ 443.58008  332.84836 1748.7817 ],[ 293.05548  205.59708 1862.0249 ],[ 300.30157  279.42715 1716.405  ],[ 301.90088  295.7224  1687.281  ],[ 407.4686   539.91144 1785.6279 ],[ 332.8921   277.95663 1797.3164 ]
[ 375.28815  193.32353 1809.884  ],[ 374.24014  254.15231 1789.4283 ],[ 373.487    106.14099 1775.5237 ],[ 449.81946  294.74924 1755.3231 ],[ 449.81946  329.15277 1755.3231 ],[ 297.57578  204.38951 1870.3064 ],[ 305.97922  277.69037 1732.4596 ],[ 307.82297  293.77295 1704.8903 ],[ 411.4292   535.60315 1788.5813 ],[ 338.25198  274.9749  1805.2849 ]
[ 378.51923  191.21797 1817.7665 ],[ 377.58835  252.24982 1796.2317 ],[ 376.07916   104.604355 1780.7072  ],[ 452.7795   292.15332 1763.1045 ],[ 452.7795   326.40506 1763.1045 ],[ 301.14163  203.19923 1871.2266 ],[ 309.3106  276.7964 1741.7189],[ 311.0924   292.84903 1715.8174 ],[ 413.54535  534.2821  1795.4978 ],[ 342.25998  273.3713  1813.1685 ]
[ 381.48682  190.49667 1826.3156 ],[ 380.75253  251.63226 1803.7501 ],[ 378.41028  104.59526 1786.3475 ],[ 454.39294  291.90884 1767.3257 ],[ 454.39294  326.07877 1767.3257 ],[ 304.35806  203.64885 1870.8541 ],[ 311.57104  278.00314 1743.3359 ],[ 313.14215  294.19867 1717.8323 ],[ 416.19144  532.0828  1805.1857 ],[ 345.66562  272.19443 1822.2784 ]
[ 383.1874   192.06192 1834.0627 ],[ 382.45996  253.2091  1809.3933 ],[ 380.16736  107.13793 1794.1926 ],[ 455.15405  289.5684  1682.0411 ],[ 454.43875  324.76624 1646.4775 ],[ 307.88907  204.9512  1872.4989 ],[ 311.94034  279.8386  1743.8756 ],[ 312.82336  296.16153 1718.151  ],[ 417.54987  530.23193 1816.0709 ],[ 347.4975   271.94727 1830.0817 ]
[ 384.0061  193.5518 1845.6904],[ 383.3277   254.46204 1817.8971 ],[ 381.76617  109.77603 1804.1034 ],[ 458.20294  290.15686 1683.9222 ],[ 458.27386  325.3293  1647.6509 ],[ 310.5853   205.44748 1873.5457 ],[ 312.6048   280.18265 1743.3552 ],[ 313.04544  296.48944 1717.3171 ],[ 418.37674  527.6144  1829.2461 ],[ 348.54977  271.86612 1841.2598 ]
[ 384.33527  194.16489 1860.4037 ],[ 383.7168  254.6812 1829.923 ],[ 383.3917    111.551315 1813.5583  ],[ 460.95016  289.64365 1684.8835 ],[ 461.92813  324.6634  1646.7478 ],[ 312.21954  205.80142 1879.5742 ],[ 312.81577  279.15463 1744.341  ],[ 312.9463  295.2116 1717.2943],[ 418.42493  526.0504  1841.3412 ],[ 348.7658   271.50098 1848.9093 ]
[ 384.4879  193.7766 1871.0256],[ 384.02808  254.10678 1841.1376 ],[ 384.97375  112.05874 1821.1699 ],[ 461.56387  289.424   1687.0684 ],[ 463.1119   324.20886 1646.908  ],[ 312.42316  205.62329 1896.0889 ],[ 313.86212  275.865   1749.606  ],[ 314.17932  291.3488  1720.3093 ],[ 418.89746  525.7471  1844.8641 ],[ 349.06644  271.21783 1855.3938 ]
[ 385.06348  193.49069 1876.5944 ],[ 384.67566  253.75723 1848.1182 ],[ 386.6053   112.35747 1826.5856 ],[ 462.51022  290.36682 1695.6056 ],[ 464.62445  324.98447 1655.106  ],[ 313.54047  204.9453  1906.6578 ],[ 315.11798  274.29547 1754.4818 ],[ 315.46692  289.63464 1724.0466 ],[ 416.5951  539.7828 1701.8881],[ 349.73102  270.98694 1857.1602 ]
[ 385.90533  193.43066 1879.0421 ],[ 385.4562   253.74203 1852.515  ],[ 388.2052   112.60053 1830.7113 ],[ 463.09158  290.9542  1719.144  ],[ 465.2052  325.6233 1684.0671],[ 314.42004  204.88199 1908.8119 ],[ 315.10373  273.49786 1759.0765 ],[ 315.25467  288.64706 1729.1295 ],[ 414.95367  538.9205  1707.7627 ],[ 350.38745  270.86734 1859.8635 ]
