left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 350.845    300.54507 1197.4991 ],[ 345.95312  404.3741  1138.1348 ],[ 366.45828  181.06992 1234.686  ],[ 481.3719  460.7393 1192.3956],[ 481.3719  512.3245 1192.3956],[ 231.77458  305.99545 1214.1346 ],[ 228.21297  438.81104 1050.1615 ],[ 227.36285  470.5117  1017.3669 ],[ 400.7906   830.72064 1139.6262 ],[ 290.8702   410.36276 1132.8131 ]
[ 347.964    298.29993 1195.7367 ],[ 343.96796  402.18198 1134.2524 ],[ 363.3463   179.01581 1230.3665 ],[ 479.71106  465.82935 1185.9377 ],[ 479.71106  517.6955  1185.9377 ],[ 229.53981  302.52957 1208.8231 ],[ 219.96414  436.40878 1044.4926 ],[ 217.67569  468.40405 1011.62646],[ 399.11987  823.82935 1135.3611 ],[ 289.54947  402.6137  1130.7645 ]
[ 346.34106  296.29962 1194.5981 ],[ 342.66675  400.1656  1132.0503 ],[ 360.99707  177.5041  1227.0187 ],[ 475.7696   462.29318 1180.0544 ],[ 475.7696  514.4179 1180.0544],[ 226.49005  302.97034 1206.2207 ],[ 211.78546  434.03696 1040.6915 ],[ 208.26479  465.41797 1007.5857 ],[ 399.1604   822.26874 1127.3568 ],[ 287.7792   399.86542 1126.9127 ]
[ 345.16443  295.03067 1192.8235 ],[ 341.21356  398.94525 1129.344  ],[ 359.2287  176.8087 1224.1825],[ 474.19324  463.11154 1174.7386 ],[ 474.19324  515.4721  1174.7386 ],[ 224.24162  303.1577  1199.8494 ],[ 203.79666  436.4927  1036.1204 ],[ 198.907    468.38147 1003.3746 ],[ 397.99323  828.58624 1117.4503 ],[ 286.01755  400.6916  1121.8486 ]
[ 344.26056  294.30984 1189.5791 ],[ 339.5974  398.436  1125.8317],[ 357.77106  176.4171  1221.2399 ],[ 473.85452  463.6753  1168.6006 ],[ 473.85452  516.3107  1168.6006 ],[ 223.08688  303.52502 1192.6934 ],[ 201.0682   437.92422 1028.932  ],[195.79576 470.10657 996.17975],[ 397.17557  833.639   1108.1088 ],[ 283.3519   401.01074 1116.3512 ]
[ 342.36444  293.89566 1184.4886 ],[ 336.6479   398.39218 1120.2609 ],[ 355.67535  176.10284 1217.84   ],[ 473.53275  464.84412 1162.5432 ],[ 473.53275  517.75366 1162.5432 ],[ 222.32663  303.53934 1191.0698 ],[ 200.66608  436.81158 1024.3123 ],[195.45917 468.84848 990.96075],[ 395.24164  838.10815 1099.9205 ],[ 279.20618  401.71243 1111.4867 ]
[ 339.50894  293.6325  1177.7949 ],[ 332.9096   398.69354 1113.6102 ],[ 353.23047  175.77101 1214.1776 ],[ 474.94016  465.07855 1155.7211 ],[ 474.94016  518.3001  1155.7211 ],[ 220.3476  303.1838 1193.2488],[ 200.48492  433.5979  1019.29944],[195.67014 465.2109  984.5096 ],[ 392.96796  838.532   1098.9492 ],[ 274.23856  402.64578 1107.3427 ]
[ 336.53967  293.56223 1172.8868 ],[ 329.58237  399.0799  1108.921  ],[ 350.70358  175.53253 1211.5671 ],[ 474.81982  464.03555 1150.3635 ],[ 474.81982  517.50446 1150.3635 ],[ 219.9482   304.03192 1192.9613 ],[ 200.09555  433.3639  1017.4137 ],[195.27356 464.7774  982.3042 ],[ 390.6761   839.39716 1096.9065 ],[ 269.88635  403.23843 1104.8599 ]
[ 334.68347  293.7825  1170.2806 ],[ 327.98508  399.59378 1106.4441 ],[ 348.71088  175.41417 1209.8046 ],[ 474.03745  463.826   1144.8828 ],[ 474.03745  517.5501  1144.8828 ],[ 219.37163  304.99234 1192.4714 ],[ 199.84982  433.86496 1016.3233 ],[195.10425 465.19263 981.0937 ],[ 388.56787  840.6162  1094.6604 ],[ 268.67844  403.57162 1104.2468 ]
[ 333.82672  294.24597 1169.1123 ],[ 327.2263   400.20676 1105.3229 ],[ 347.08865  175.38469 1208.8693 ],[ 472.10876  463.9522  1134.0885 ],[ 472.10876  518.18665 1134.0885 ],[ 219.00684  305.67517 1191.3823 ],[ 199.646    434.5078  1016.34564],[194.94504 465.78937 981.3383 ],[ 387.26343  843.21967 1090.2933 ],[ 268.15604  403.39212 1102.7201 ]
