left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 513.4695   291.88254 1198.5411 ],[ 515.7178   377.89676 1154.1123 ],[ 523.7518   178.08757 1218.1111 ],[ 600.0176   430.81995 1077.1011 ],[ 600.0176   483.26505 1077.1011 ],[ 407.3766   291.78027 1265.9575 ],[ 399.94727  216.52443 1097.1288 ],[ 398.17834  198.60568 1063.363  ],[ 569.74695  799.1203  1108.408  ],[ 467.55914  406.95947 1159.5542 ]
[ 514.3205   281.86105 1218.1611 ],[ 517.67975  365.96445 1170.5883 ],[ 524.9515   169.90723 1225.9194 ],[ 610.41394  431.4717  1070.8264 ],[ 610.41394  484.2238  1070.8264 ],[ 407.54245  282.70218 1273.2218 ],[ 402.84784  209.58241 1098.4132 ],[ 401.7237   192.07384 1063.4515 ],[ 570.99084  765.6843  1130.9202 ],[ 470.59772  382.67728 1172.0723 ]
[ 514.4275   274.68994 1232.7324 ],[ 518.0331   357.46585 1184.3275 ],[ 524.8242   165.00668 1234.7    ],[ 614.74603  424.70425 1081.6095 ],[ 614.74603  476.92877 1081.6095 ],[ 408.24338  277.31046 1289.5009 ],[ 396.16962  213.11949 1105.4476 ],[ 393.25577  197.62793 1068.637  ],[ 567.47864  756.1342  1147.061  ],[ 473.8588   374.01797 1187.621  ]
[ 513.17163  271.9445  1244.469  ],[ 516.3178   354.35394 1197.923  ],[ 523.44116  164.56335 1243.5746 ],[ 617.2786  425.4844 1099.0454],[ 617.2786  476.8761 1099.0454],[ 406.57288  277.04413 1300.8022 ],[ 392.85507  217.88998 1112.0038 ],[ 389.5329   203.56403 1074.2441 ],[ 563.6748  751.901  1162.9502],[ 473.06064  372.70322 1202.2382 ]
[ 510.89542  272.81406 1254.0884 ],[ 512.8387   355.24908 1210.8656 ],[ 521.46515  167.39838 1252.7577 ],[ 621.84015  424.86435 1117.0652 ],[ 621.84015  475.41867 1117.0652 ],[ 403.9484   277.05368 1315.367  ],[ 386.8369   223.06319 1123.2981 ],[ 382.68762  209.97104 1084.8843 ],[ 562.0148  749.5798 1176.6779],[ 467.51697  374.59723 1217.4547 ]
[ 507.32114  275.54477 1264.3754 ],[ 508.31964  357.79825 1222.3138 ],[ 518.815    171.71175 1262.4076 ],[ 622.1239  426.1183 1132.1794],[ 622.1239   475.98376 1132.1794 ],[ 400.4751   278.81473 1319.1201 ],[ 379.00845  223.15625 1131.8746 ],[ 373.83368  209.73912 1094.4255 ],[568.6426  814.4842  969.12256],[ 461.79193  377.1437  1224.9414 ]
[ 502.44644  279.2474  1277.1531 ],[ 503.3217   361.02313 1234.6732 ],[ 515.3696   176.38109 1272.1914 ],[ 619.6944   426.30978 1147.5013 ],[ 619.6944   475.48856 1147.5013 ],[ 396.56616  279.7605  1323.7968 ],[ 379.87268  223.84962 1134.202  ],[ 375.8411  210.3468 1096.2831],[564.5423 814.7159 985.5111],[ 456.35596  381.65814 1236.6805 ]
[ 497.59613  283.10303 1290.0852 ],[ 498.9063   364.31427 1245.9008 ],[ 511.492    180.75774 1281.3881 ],[ 616.5997   426.19824 1159.0645 ],[ 616.5997  474.8573 1159.0645],[ 390.65152  280.86877 1329.2485 ],[ 379.33627  223.41203 1139.0934 ],[ 376.60425  209.5392  1101.0624 ],[559.34296 812.04004 997.47797],[ 451.93787  384.64645 1247.554  ]
[ 493.6419   286.38455 1302.4187 ],[ 495.41397  367.0129  1257.0658 ],[ 507.62262  184.32196 1289.9971 ],[ 614.8788   425.74466 1167.6931 ],[ 614.8788   474.00586 1167.6931 ],[ 387.29617  282.138   1341.3762 ],[ 376.05243  229.68816 1146.3279 ],[ 373.3283   216.98087 1107.3182 ],[ 557.493    808.11414 1008.48254],[ 449.43018  385.51346 1259.343  ]
[ 490.66046  288.4733  1312.8735 ],[ 492.67023  368.56235 1266.8376 ],[ 503.97833  186.54106 1298.267  ],[ 612.58246  424.0209  1180.9751 ],[ 612.58246  471.69107 1180.9751 ],[ 384.29898  283.36285 1356.9003 ],[ 371.95804  231.58401 1162.7123 ],[ 368.97812  219.08107 1123.8746 ],[ 556.3595   802.2231  1015.90173],[ 447.27615  384.6231  1267.0219 ]
[ 488.79553  289.53473 1320.3131 ],[ 490.9036  369.2268 1273.9528],[ 501.22147  187.57922 1305.5925 ],[ 612.5874   422.40594 1187.2085 ],[ 612.5874   469.76688 1187.2085 ],[ 383.43457  285.4539  1361.7404 ],[ 370.0647   229.85461 1173.5864 ],[ 366.8592   216.52455 1135.9557 ],[ 555.3178   798.771   1021.89124],[ 446.17145  384.44797 1271.5133 ]
[ 487.66913  290.43253 1325.2428 ],[ 489.82175  369.8777  1278.8036 ],[ 499.16083  188.38518 1311.5809 ],[ 613.6954   420.72147 1193.8203 ],[ 613.6954   467.75012 1193.8203 ],[ 382.32123  287.17944 1369.8824 ],[ 370.1689  230.3529 1183.9985],[ 367.2657   216.77701 1146.8218 ],[ 553.5437   795.17395 1029.9906 ],[ 445.2624   384.07214 1277.3439 ]
[ 486.71106  290.97412 1330.6165 ],[ 488.86493  370.124   1284.3208 ],[ 497.80017  189.03487 1317.0046 ],[ 617.3794   418.92804 1198.0532 ],[ 617.3794  465.7093 1198.0532],[ 381.57104  288.5726  1380.2903 ],[ 370.34274  231.85939 1195.2838 ],[ 367.66666  218.3427  1158.2825 ],[ 551.8945  791.1606 1037.5352],[ 444.55438  383.53043 1283.2372 ]
[ 486.124    291.08502 1335.5173 ],[ 488.05444  369.94006 1289.6824 ],[ 496.93814  189.31285 1321.8843 ],[ 621.5097   417.32358 1197.9453 ],[ 621.5097   464.01624 1197.9453 ],[ 382.38446  289.76038 1384.0846 ],[ 369.27594  232.83746 1201.3834 ],[ 366.16083  219.31013 1164.8431 ],[ 551.932   788.5795 1039.1073],[ 444.07413  383.139   1287.8873 ]
[ 485.7567  291.0477 1339.015 ],[ 487.507    369.68027 1293.5033 ],[ 496.38483  189.41307 1325.582  ],[ 624.21826  416.1201  1197.5906 ],[ 624.21826  462.72256 1197.5906 ],[ 381.42236  289.60986 1382.3345 ],[ 367.46686  229.7966  1204.6765 ],[ 364.1668  215.6526 1169.1449],[ 551.73236  786.124   1041.1077 ],[ 443.87274  382.8943  1289.7393 ]
[ 485.45892  290.9259  1342.1843 ],[ 487.11115  369.34973 1296.4163 ],[ 495.9651   189.45628 1328.7148 ],[ 625.0248  415.4762 1196.9219],[ 625.0248   461.98984 1196.9219 ],[ 380.50766  289.37256 1381.8395 ],[ 359.77048  222.27295 1221.3987 ],[ 354.95163  206.68059 1189.3105 ],[ 551.8864  783.7738 1041.889 ],[ 443.59012  382.56543 1292.4703 ]
[ 485.36737  290.85806 1343.6859 ],[ 486.92944  369.18536 1297.7578 ],[ 495.68802  189.45468 1330.928  ],[ 624.6703   414.86887 1196.4952 ],[ 624.6703  461.2741 1196.4952],[ 378.93286  288.5279  1381.2007 ],[ 343.55035  212.38925 1258.4681 ],[ 335.6292   195.34396 1233.9216 ],[ 551.99927  782.4106  1042.513  ],[ 443.29163  382.22083 1294.785  ]
[ 485.31366  290.61478 1344.4388 ],[ 486.85828  368.9623  1298.1221 ],[ 495.5401   189.39832 1332.1014 ],[ 624.1221   414.42566 1196.5663 ],[ 624.1221   460.69394 1196.5663 ],[ 375.8512  286.5309 1380.6113],[ 335.71793  205.18651 1285.9518 ],[ 326.97168  187.45908 1267.0199 ],[ 552.06757  780.7914  1043.4282 ],[ 443.25922  381.8259  1295.157  ]
[ 485.28732  290.0461  1344.9681 ],[ 487.0697   368.48618 1297.8529 ],[ 495.48712  189.30759 1332.8511 ],[ 623.383    414.12802 1196.3501 ],[ 623.383    460.26215 1196.3501 ],[ 371.80798  283.53223 1379.2957 ],[ 333.47974  197.30971 1304.8049 ],[ 325.28287  178.87018 1289.9067 ],[ 552.1722  778.7766 1044.658 ],[ 443.5465   381.06827 1296.197  ]
[ 486.84717  288.77106 1345.13   ],[ 488.9938  367.2584 1297.8666],[ 497.70312  188.6345  1333.0835 ],[ 622.68915  415.74695 1195.3362 ],[ 622.68915  461.7703  1195.3362 ],[ 371.76852  281.41327 1377.1451 ],[ 336.3526   191.85233 1313.2177 ],[ 328.85162  172.8835  1300.4321 ],[ 551.8663   777.24365 1041.72   ],[ 445.5405  379.8507 1297.4724]
[ 488.8237   287.08826 1345.2963 ],[ 491.53714  365.47238 1297.3191 ],[ 500.2331  187.843  1333.1577],[ 621.106    416.96344 1193.4966 ],[ 621.106   462.9013 1193.4966],[ 370.66797  276.8565  1372.2203 ],[ 341.07593  183.65791 1319.9597 ],[ 334.87408  164.12552 1309.5076 ],[ 552.34    774.7143 1026.0492],[ 448.4744   377.66187 1298.1647 ]
[ 490.8481  285.021  1345.468 ],[ 493.8269   363.19598 1296.7832 ],[ 502.31958  186.9419  1333.209  ],[ 618.60785  417.28082 1190.8273 ],[ 618.60785  463.1594  1190.8273 ],[ 369.49536  271.28104 1359.1412 ],[ 350.94986  174.25453 1309.8217 ],[ 347.0719   153.96576 1299.9578 ],[ 551.32776  768.86597 1028.9264 ],[ 451.18646  374.72232 1298.797  ]
[ 492.88416  282.356   1345.6138 ],[ 495.98492  360.35638 1296.348  ],[ 504.17035  185.80946 1333.2484 ],[ 611.8659   191.69199 1156.615  ],[ 610.8076   168.51146 1150.558  ],[ 360.78973  259.933   1338.8575 ],[ 367.11166  159.12506 1303.6487 ],[ 368.41724  138.3065  1296.6069 ],[ 550.1485   761.60455 1036.406  ],[ 453.81647  371.31134 1298.45   ]
[ 494.37485  279.31076 1345.5586 ],[ 497.29034  357.24243 1296.6748 ],[ 505.77875  184.31265 1332.7086 ],[ 611.0205   189.96095 1163.8252 ],[ 610.1014   166.97856 1160.8617 ],[ 351.52002  243.0372  1334.5786 ],[ 378.09604  145.20093 1287.5597 ],[ 383.64587  124.76991 1278.1559 ],[ 549.9307  758.675  1038.647 ],[ 456.12756  370.4712  1297.7291 ]
[ 495.41925  276.18323 1345.4662 ],[ 498.2306   354.12393 1297.2047 ],[ 507.33826  182.45778 1331.3319 ],[ 610.8852   188.45961 1154.208  ],[ 609.5543   165.42471 1150.7593 ],[ 358.67862  253.82315 1342.3899 ],[ 389.49817  160.20233 1269.209  ],[ 396.0935   140.16751 1254.5728 ],[ 549.7726  754.6009 1040.8947],[ 457.655    369.12494 1297.0564 ]
[ 496.77463  273.73752 1345.3212 ],[ 499.46545  351.7914  1297.7086 ],[ 509.52988  180.74895 1328.6045 ],[ 608.4585   186.94983 1142.9706 ],[ 606.2761   163.89304 1139.1584 ],[ 369.53687  264.26038 1349.6382 ],[ 398.63123  173.10297 1264.3776 ],[ 404.9274   153.37604 1247.3254 ],[ 549.4855  750.7414 1042.8619],[ 459.11896  368.32788 1296.0918 ]
[ 498.36633  272.14008 1345.0765 ],[ 501.0274   350.31717 1297.8734 ],[ 512.02     179.27786 1324.5848 ],[ 598.15     187.66057 1140.7526 ],[ 593.4745   165.10353 1138.2916 ],[ 374.7316   265.67908 1357.3689 ],[ 406.21167  178.47359 1258.74   ],[ 413.1091   159.36646 1239.0142 ],[ 549.3082  747.3878 1044.3488],[ 460.90164  368.1521  1294.4651 ]
[ 500.85065  271.24222 1342.5328 ],[ 503.27557  349.6634  1297.2247 ],[ 514.6107   177.81476 1319.4641 ],[ 586.0485   192.60966 1134.2776 ],[ 578.6669   170.88344 1131.1096 ],[ 376.88452  264.0673  1356.5807 ],[ 408.10245  178.4637  1250.8977 ],[ 414.9899  159.5774 1229.7611],[ 550.32245  743.725   1045.9451 ],[ 462.98618  367.08142 1291.4885 ]
[ 503.72897  270.96555 1334.0214 ],[ 505.91577  349.87778 1290.1796 ],[ 517.6745   176.42468 1311.9943 ],[ 570.55255  203.07217 1112.535  ],[ 559.79364  183.14574 1105.4608 ],[ 371.48758  256.9135  1352.229  ],[ 405.37595  170.40889 1254.6487 ],[ 412.79617  151.46774 1235.1326 ],[ 554.2235  741.9981 1045.6416],[ 465.1074   366.52103 1284.0017 ]
