left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 253.64037  309.0152  1338.9321 ],[ 251.20602  391.68137 1283.9694 ],[ 253.97356  204.60379 1365.846  ],[ 324.6407   422.14304 1152.601  ],[ 313.3974   470.56577 1101.9808 ],[ 139.91402  308.2451  1311.2136 ],[ 125.505    219.98636 1190.2615 ],[ 122.26449  200.13747 1166.071  ],[ 302.45035  730.572   1280.5626 ],[ 201.09155  402.3067  1288.6788 ]
[ 254.60542  295.89212 1366.8433 ],[ 250.91391  374.54544 1304.2338 ],[ 251.88885  195.50581 1381.9596 ],[ 332.93744  410.05914 1156.097  ],[ 326.54535  458.69696 1104.957  ],[ 144.71169  302.70407 1313.7029 ],[ 116.42032  217.493   1183.1594 ],[ 109.99599  198.14345 1157.0508 ],[ 298.9469  703.32   1290.4174],[ 201.48996  371.52432 1290.1261 ]
[ 255.995   288.7172 1386.5404],[ 250.79926  364.5637  1316.6864 ],[ 250.46542  190.26654 1393.045  ],[ 345.66534  406.41025 1171.6428 ],[ 347.7141   455.27063 1123.7574 ],[ 145.42966  296.8002  1315.8065 ],[ 111.20198  213.83804 1179.3059 ],[ 103.38309  194.88637 1152.0057 ],[ 294.25693  695.7572  1300.9174 ],[ 207.36893  368.5744  1296.0427 ]
[ 256.14624  286.00378 1395.2334 ],[ 250.54895  360.62473 1324.971  ],[ 248.86661  188.7579  1397.784  ],[ 350.7982   404.16733 1174.3015 ],[ 357.0434   452.38223 1125.3359 ],[ 143.85793  294.47934 1313.2856 ],[ 107.97179  210.83176 1178.1926 ],[  99.78385  191.74634 1151.1741 ],[ 293.21088  692.8063  1306.3491 ],[ 207.54808  366.7204  1304.4214 ]
[ 253.14969  284.33682 1397.7281 ],[ 249.79669  359.00894 1335.9338 ],[ 246.54274  189.54433 1399.2781 ],[ 348.8359   402.80994 1184.1743 ],[ 355.28723  450.70044 1136.6398 ],[ 142.56915  294.1749  1313.6227 ],[ 108.46698  210.15741 1178.6827 ],[ 100.68758  190.99133 1151.6947 ],[ 293.6371  693.5804 1308.8817],[ 203.0408   366.89297 1309.9552 ]
[ 249.83124  284.262   1396.7478 ],[ 247.80722  358.8163  1341.1648 ],[ 244.56006  190.72664 1399.4095 ],[ 342.60645  401.8547  1190.9951 ],[ 346.17487  449.74496 1144.0913 ],[ 140.10652  293.05292 1314.8258 ],[ 108.80046  209.63449 1176.8547 ],[ 101.63724  190.54732 1149.2605 ],[ 374.62344  719.5731  1078.7874 ],[ 199.05443  367.11813 1312.2625 ]
[ 247.15662  285.0645  1395.5149 ],[ 245.1614   359.37494 1343.2861 ],[ 243.25044  192.1457  1399.2747 ],[ 336.16302  400.6873  1189.9385 ],[ 336.7035   448.53662 1142.1658 ],[ 134.98703  291.03635 1317.6582 ],[ 109.9813   208.95746 1174.6891 ],[ 104.23149  190.08435 1146.0952 ],[ 375.4687   716.06775 1080.6895 ],[ 195.77136  366.93692 1312.5769 ]
[ 245.3676   285.66876 1394.3298 ],[ 242.7576  359.7329 1343.2712],[ 242.418    193.27048 1399.1357 ],[ 331.7951  399.6888 1190.494 ],[ 330.35425  447.34653 1142.2063 ],[ 132.8602   290.22815 1322.3429 ],[ 111.11976  209.96    1175.4617 ],[ 106.10298  191.43747 1146.0854 ],[ 375.56543  713.0753  1082.1924 ],[ 193.43    367.0116 1312.4551]
[ 244.63333  285.9221  1393.1807 ],[ 241.5617  359.7702 1342.3903],[ 242.16371  194.11618 1398.9957 ],[ 325.23666  398.65417 1193.1228 ],[ 320.7597   445.92575 1144.8589 ],[ 131.24385  290.25482 1327.2053 ],[ 112.62349  211.4837  1177.9856 ],[ 108.318596  193.27245  1148.1416  ],[ 375.68445  711.30273 1083.885  ],[ 192.45953  367.16986 1312.1431 ]
[ 244.41306  285.70752 1392.7312 ],[ 241.3107   359.35397 1341.765  ],[ 242.15056  194.52756 1399.0365 ],[ 332.03162  398.13892 1192.8881 ],[ 330.769    445.45728 1143.5582 ],[ 131.93593  290.37225 1328.3094 ],[ 113.98596  211.66847 1179.3096 ],[ 109.83758  193.47932 1149.5096 ],[ 375.85965  710.72943 1084.3698 ],[ 192.45084  367.36792 1311.9841 ]
[ 244.88208  285.27347 1392.5468 ],[ 241.38235  358.72556 1341.1344 ],[ 243.2663   194.71661 1399.1556 ],[ 334.48013  397.55334 1194.6517 ],[ 334.33347  444.73737 1144.9983 ],[ 132.73734  289.54596 1328.93   ],[ 116.80802  211.22307 1179.3801 ],[ 113.124756  193.11287  1149.4701  ],[ 375.54324  710.1014  1084.976  ],[ 192.81076  367.41544 1311.7914 ]
