left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 570.0774   292.34607 1573.3947 ],[ 568.9764   363.41638 1530.4287 ],[ 587.4572   211.27531 1611.7692 ],[ 605.08887  423.2015  1614.261  ],[ 605.08887  458.16418 1614.261  ],[ 523.69104  302.2661  1532.6309 ],[ 608.449   340.4854 1356.5459],[ 628.1114   349.35165 1321.3289 ],[ 606.12445  665.91003 1538.5931 ],[ 528.1644   378.38632 1553.5249 ]
[ 566.07697  276.81076 1598.6204 ],[ 574.5914   344.82053 1525.2932 ],[ 589.6795   195.89777 1608.1167 ],[ 637.16437  397.65335 1488.4775 ],[ 637.16437  435.57022 1488.4775 ],[ 530.74225  256.99615 1626.4066 ],[ 582.3643  308.1872 1432.0175],[ 594.4175   320.13968 1393.1396 ],[ 618.1077  624.1407 1476.5754],[ 531.217    328.61987 1536.2734 ]
[ 562.8715   266.08667 1609.835  ],[ 579.09326  328.842   1508.1664 ],[ 589.9308   185.51277 1603.7244 ],[ 621.55066  394.45462 1485.669  ],[ 621.55066  432.45654 1485.669  ],[ 517.2201   256.89505 1645.0673 ],[ 577.2707   293.21765 1441.128  ],[ 591.37976  301.75174 1400.3402 ],[ 608.1947  625.1744 1474.6056],[ 535.54834  313.77557 1522.7032 ]
[ 560.8367   261.08524 1600.8861 ],[ 573.0404   326.20392 1510.7211 ],[ 587.9697   180.04262 1597.8477 ],[ 610.2294   390.62756 1480.7937 ],[ 610.2294   428.85403 1480.7937 ],[ 513.1496   258.36774 1661.1958 ],[ 571.1916   289.92673 1451.2574 ],[ 584.8752   297.36685 1409.2698 ],[ 604.30115  628.9196  1467.719  ],[ 530.4419  315.9119 1522.9113]
[ 560.19586  260.51224 1580.1765 ],[ 567.01056  329.12906 1506.8136 ],[ 585.0587   178.36772 1590.1958 ],[ 606.8284   391.09207 1475.2205 ],[ 606.8284   429.66815 1475.2205 ],[ 514.8177   257.65494 1648.7487 ],[ 570.0231   294.97006 1440.1779 ],[ 583.04016  303.76877 1398.4637 ],[ 606.1379  636.0601 1451.6211],[ 522.43225  316.9574  1520.7245 ]
[ 559.3215  260.359  1561.8379],[ 561.7022   331.54544 1502.5726 ],[ 581.23315  178.71825 1583.8583 ],[ 601.30725  389.72345 1460.908  ],[ 601.30725  428.9768  1460.908  ],[ 516.6221   257.86795 1638.2563 ],[ 571.9929  293.4109 1425.0248],[ 585.11694  301.83527 1382.3784 ],[ 607.1977  646.5038 1442.0059],[ 515.38727  322.28546 1521.1777 ]
[ 559.4043   262.53683 1550.118  ],[ 560.1704  335.4673 1497.3777],[ 577.70245  180.20816 1580.0701 ],[ 617.9902   394.80374 1340.4565 ],[ 617.9902  437.9914 1340.4565],[ 518.9469   260.70645 1629.6296 ],[ 573.48615  293.73734 1407.2803 ],[ 586.52954  301.63693 1362.8104 ],[ 608.8425   658.31116 1439.3212 ],[ 515.4195   344.78125 1520.1073 ]
[ 560.0473  265.7325 1542.6343],[ 560.2331  339.8503 1491.7728],[ 574.9746   182.41943 1577.4344 ],[ 617.99817  182.34068 1324.1753 ],[ 618.2347   160.42288 1320.7465 ],[ 510.87653  269.80634 1624.6338 ],[ 556.60236  298.8597  1392.8365 ],[ 567.6368   305.87076 1346.477  ],[ 610.2825   671.26886 1432.3566 ],[ 513.18335  349.12952 1511.6592 ]
[ 559.76086  268.24963 1538.5848 ],[ 560.0599  343.2299 1487.6498],[ 571.917    184.47939 1575.571  ],[ 615.96985  179.16544 1319.6451 ],[ 615.7534   157.12451 1318.0148 ],[ 506.09866  279.53915 1623.5293 ],[ 564.97784  301.5171  1393.4708 ],[ 579.1664   306.81323 1347.4591 ],[ 611.5719  672.633  1428.7053],[ 513.8766   357.45154 1505.1222 ]
[ 558.8785   270.90195 1535.1608 ],[ 559.0595   346.58566 1483.3573 ],[ 568.6848   185.30086 1574.0118 ],[ 644.11487   -28.346806 1323.2133  ],[ 641.24854  -66.74521 1345.223  ],[ 498.78696  278.3318  1615.9517 ],[ 561.8785   303.10983 1390.2543 ],[ 577.0375   309.06323 1345.1147 ],[ 610.95654  674.6285  1425.7905 ],[ 511.53378  353.38324 1499.2853 ]
