left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 304.20755  303.2616  1052.7332 ],[ 298.94485  407.91458 1001.28094],[ 314.32852  172.54726 1083.1713 ],[440.31805 132.92987 890.9102 ],[431.72635 103.96559 883.12213],[ 166.74544  294.88074 1047.5524 ],[ 166.74544  421.7708  1047.5524 ],[ 166.74544  473.65137 1047.5524 ],[ 360.3155   840.36597 1009.2267 ],[ 241.0184   436.25555 1008.11255]
[ 310.82217  293.43713 1078.614  ],[ 304.475   392.5458 1021.5778],[ 316.72223  166.7969  1096.6631 ],[448.36838 146.3675  890.3234 ],[441.94098 117.29606 876.7979 ],[ 166.7992  287.5268 1068.9333],[ 166.7992   411.87875 1068.9333 ],[ 166.7992   462.72156 1068.9333 ],[ 365.31152  805.90717 1006.69135],[ 244.22159  388.79678 1015.38153]
[ 315.48837  284.75766 1097.5897 ],[ 308.2761   380.04202 1038.5254 ],[ 318.56573  163.03702 1107.4852 ],[445.95248 149.16466 894.5349 ],[439.7868  120.34528 879.4689 ],[ 164.92546  281.34717 1065.2458 ],[ 164.92546  406.41013 1065.2458 ],[ 164.92546  457.42886 1065.2458 ],[ 363.66788  804.63446 1007.7285 ],[ 251.14653  379.0908  1025.208  ]
[ 317.95688  280.1891  1106.5829 ],[ 311.45068  373.73218 1049.7374 ],[ 319.4605   162.11977 1114.3297 ],[444.79385 152.05188 900.81616],[438.92297 123.4768  884.61017],[ 165.9548  278.5751 1061.5472],[ 165.9548  404.5424 1061.5472],[ 165.9548   455.73865 1061.5472 ],[ 364.38177  802.40497 1013.4123 ],[ 255.3931   378.31696 1030.9349 ]
[ 318.56204  278.67557 1109.0804 ],[ 312.7765   371.53784 1054.7979 ],[ 319.69727  162.97038 1118.5784 ],[441.17316 152.09616 910.21234],[435.23013 123.68886 894.7555 ],[ 165.52426  276.86874 1058.1295 ],[ 165.52426  403.33206 1058.1295 ],[ 165.52426  454.6933  1058.1295 ],[ 368.15576  797.5596  1024.2855 ],[ 255.45381  378.64795 1032.845  ]
[ 316.48224  278.69937 1110.0526 ],[ 311.54175  371.20425 1058.8455 ],[ 319.1941  164.1706 1121.9796],[437.68222 154.27597 923.91437],[431.79926 126.11714 909.263  ],[ 164.91263  274.7289  1055.8618 ],[141.09042 163.70894 920.5601 ],[135.46022 137.47014 893.49976],[ 368.53943  794.82166 1029.7783 ],[ 253.11261  380.04474 1032.4235 ]
[ 312.8027   280.32535 1110.8427 ],[ 308.10068  372.39105 1061.0383 ],[ 318.1857   166.36879 1125.4734 ],[433.88638 159.29976 938.273  ],[428.51636 131.26228 923.8875 ],[ 163.96014  273.3453  1056.9238 ],[142.22798 158.6026  927.81177],[137.13496 131.71219 901.9894 ],[ 365.5971  796.5327 1032.8402],[ 249.17021  389.8733  1032.4055 ]
[ 308.3024   282.27768 1112.8633 ],[ 303.51028  373.71072 1062.6759 ],[ 316.84668  168.87637 1129.5803 ],[430.4535  162.88315 949.339  ],[425.8652  134.61525 936.1209 ],[ 162.04079  273.43832 1058.2845 ],[142.40497 157.19775 929.49225],[137.80621 129.97389 903.73376],[ 361.22644  800.06744 1038.7714 ],[ 244.16913  393.96744 1034.0664 ]
[ 302.24487  284.51166 1117.2751 ],[ 296.4877  375.113  1065.7017],[ 313.71268  171.77034 1134.4006 ],[425.32538 168.36722 959.5875 ],[421.39264 140.07318 947.35657],[ 158.95366  271.82202 1060.0695 ],[143.16315 153.76794 934.20087],[139.4803  126.23401 909.02716],[ 353.7811   802.22705 1043.538  ],[ 236.82321  395.25198 1036.4767 ]
[ 294.626    286.77362 1125.1143 ],[ 287.9206  376.3046 1071.6625],[ 308.7381   174.89752 1140.0203 ],[419.10703 174.79388 965.78656],[414.8269  146.83337 953.5625 ],[ 153.1418   270.51614 1062.8475 ],[144.44781 152.29831 939.958  ],[142.42891 124.84576 915.3801 ],[ 344.5652  801.8266 1046.7091],[ 228.12268  393.60583 1041.8008 ]
