left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 352.4547  324.391  1815.7725],[ 352.13013  388.1806  1744.2797 ],[ 355.4347   248.62813 1774.7769 ],[ 387.07452  295.5897  1621.4202 ],[ 378.54828  284.66156 1594.0925 ],[ 223.36075  278.66022 1823.6819 ],[ 154.73439  233.74706 1736.3745 ],[ 140.17255  224.21692 1718.9131 ],[ 386.53925  635.76025 1769.4054 ],[ 323.47888  393.9685  1761.404  ]
[ 352.43158  324.38785 1815.7263 ],[ 352.1432   388.16168 1743.9039 ],[ 355.4311   248.62727 1774.6721 ],[ 387.50037  295.9153  1622.2241 ],[ 379.0464   285.06924 1595.0671 ],[ 223.27467  278.78378 1822.6742 ],[ 155.38576  233.82352 1734.931  ],[ 140.97552  224.28015 1717.3824 ],[ 386.36786  636.0772  1769.2426 ],[ 324.03137  394.671   1761.1469 ]
[ 352.40872  324.39243 1815.6042 ],[ 352.1553  388.1575 1743.5267],[ 355.4276   248.62764 1774.5449 ],[ 387.68762  296.1879  1622.8347 ],[ 379.288   285.4033 1595.8259],[ 223.23425  279.0511  1821.7764 ],[ 156.0939   233.88943 1733.3108 ],[ 141.83495  224.2982  1715.6177 ],[ 386.2      636.45734 1769.142  ],[ 324.21603  394.9283  1760.9491 ]
[ 352.38837  324.39484 1815.4977 ],[ 352.15796  388.1648  1743.425  ],[ 355.42526  248.62764 1774.4142 ],[ 387.84854  296.40314 1623.3625 ],[ 379.4923   285.66565 1596.479  ],[ 223.1175  279.0646 1820.7336],[ 156.13765  234.2667  1731.8984 ],[ 141.90858  224.74991 1714.1313 ],[ 386.08182  636.71204 1769.1304 ],[ 324.42438  395.17056 1760.9818 ]
[ 352.38617  324.40024 1815.3699 ],[ 352.159    388.17477 1743.2892 ],[ 355.42755  248.62819 1774.2812 ],[ 388.02515  296.59268 1624.0322 ],[ 379.71982  285.90094 1597.2028 ],[ 222.99661  279.09952 1819.411  ],[ 156.24107  234.40788 1730.496  ],[ 142.05821  224.91272 1712.713  ],[ 386.0115  636.8054 1769.1205],[ 324.39862  395.1114  1760.8578 ]
[ 352.3852   324.39917 1815.303  ],[ 352.15918  388.17752 1743.2472 ],[ 355.43018  248.62779 1774.1608 ],[ 388.22617  296.75702 1624.5347 ],[ 379.9915   286.08145 1597.7402 ],[ 223.0008   279.07007 1818.8958 ],[ 156.38521  234.47696 1730.7716 ],[ 142.23969  225.00781 1713.1467 ],[ 385.96307  636.8216  1769.0818 ],[ 324.3839   395.05356 1760.6118 ]
[ 352.38702  324.39813 1815.2399 ],[ 352.15866  388.18158 1743.235  ],[ 355.43347  248.62741 1774.0459 ],[ 388.4701   296.85355 1624.7704 ],[ 380.2796   286.18307 1598.0472 ],[ 222.97334  279.05298 1817.8464 ],[ 156.43901  234.48938 1730.7699 ],[ 142.3206   225.03311 1713.3546 ],[ 385.91    636.8041 1769.1115],[ 324.35016  394.95514 1760.3672 ]
[ 352.37198  324.37268 1815.412  ],[ 352.15826  388.05298 1741.7611 ],[ 355.43207  248.62326 1774.0001 ],[ 388.56165  297.00653 1625.2002 ],[ 380.38263  286.35507 1598.5518 ],[ 222.99252  278.99872 1818.2086 ],[ 156.59279  234.5559  1730.9735 ],[ 142.50156  225.1243  1713.5265 ],[ 385.87286  635.358   1769.2892 ],[ 323.92514  393.13715 1760.439  ]
[ 352.36475  324.35797 1815.4753 ],[ 352.15808  387.98907 1741.0669 ],[ 355.43286  248.62074 1773.9163 ],[ 388.6637   297.09204 1625.5831 ],[ 380.5036   286.44766 1598.9958 ],[ 223.0371   278.99002 1818.752  ],[ 156.76059  234.67032 1731.1462 ],[ 142.69211  225.2626  1713.6251 ],[ 385.8324  634.4419 1769.3314],[ 323.70923  392.1305  1760.305  ]
[ 352.35913  324.34818 1815.4812 ],[ 352.15848  387.9619  1740.8027 ],[ 355.43454  248.61894 1773.8033 ],[ 388.77252  297.12927 1625.8574 ],[ 380.63397  286.48013 1599.3314 ],[ 223.09811  279.1145  1819.4148 ],[ 157.0071   234.81137 1731.4437 ],[ 142.9747   225.40497 1713.8495 ],[ 385.7423   634.05756 1769.2523 ],[ 323.66116  391.6352  1760.2052 ]
[ 352.35355  324.33847 1815.4861 ],[ 352.15887  387.93747 1740.5806 ],[ 355.4361   248.61714 1773.6904 ],[ 388.94244  297.19333 1626.2446 ],[ 380.83014  286.5264  1599.7948 ],[ 223.17245  279.25137 1820.1586 ],[ 157.26201  234.95218 1731.7717 ],[ 143.26425  225.54413 1714.0944 ],[ 385.62927  633.7199  1769.1687 ],[ 323.52905  391.07028 1759.3966 ]
[ 352.3486  324.3304 1815.4823],[ 352.15958  387.91574 1740.3628 ],[ 355.43976  248.61566 1773.5856 ],[ 389.14697  297.22314 1626.5951 ],[ 381.06757  286.53024 1600.2152 ],[ 223.19025  279.2033  1821.1874 ],[ 157.38493  235.03308 1731.9713 ],[ 143.40186  225.64728 1714.128  ],[ 385.53546  633.3489  1769.0481 ],[ 323.58304  390.7163  1759.4098 ]
[ 352.3326   324.32565 1815.4441 ],[ 352.16507  387.92334 1740.4906 ],[ 355.44098  248.6146  1773.4724 ],[ 388.5641   296.07858 1624.1827 ],[ 380.3467   285.11377 1597.3206 ],[ 223.23254  279.19247 1822.2162 ],[ 156.19919  234.22354 1730.6506 ],[ 141.93222  224.65263 1712.3375 ],[ 385.4179  633.4062 1768.9319],[ 323.72675  390.77048 1759.3882 ]
[ 352.3261   324.32074 1815.4006 ],[ 352.16724  387.93344 1740.659  ],[ 355.44324  248.61348 1773.3457 ],[ 387.893    295.25543 1622.4753 ],[ 379.52213  284.09674 1595.272  ],[ 223.27054  279.17813 1823.0647 ],[ 155.27014  233.58371 1729.645  ],[ 140.77898  223.86736 1710.961  ],[ 385.29596  633.5529  1768.9004 ],[ 323.86874  390.8839  1759.3574 ]
[ 352.25217  324.1986  1816.4276 ],[ 352.14447  387.62216 1739.44   ],[ 355.42688  248.59308 1773.4878 ],[ 387.32773  294.58585 1621.2153 ],[ 378.82904  283.27756 1593.7437 ],[ 223.26718  279.08206 1823.5658 ],[ 154.44832  233.0232  1728.8562 ],[ 139.76973  223.19914 1709.9143 ],[ 385.37665  630.46423 1769.401  ],[ 323.9174   388.51486 1760.0612 ]
[ 352.2387   324.16672 1816.6295 ],[ 352.12555  387.59174 1739.7933 ],[ 355.42627  248.5869  1773.4307 ],[ 386.85025  294.02866 1620.3126 ],[ 378.2395   282.59665 1592.6901 ],[ 223.28601  278.97073 1824.4027 ],[ 153.84067  232.61803 1728.5118 ],[ 139.01663  222.7234  1709.3336 ],[ 385.2547  629.8264 1769.7139],[ 323.69965  387.46524 1759.9923 ]
[ 352.30157  324.25104 1815.766  ],[ 352.0818  387.9858 1743.3464],[ 355.4455   248.59967 1773.0925 ],[ 386.43304  293.7128  1619.1494 ],[ 377.72913  282.20786 1591.3176 ],[ 223.37784  278.83267 1826.3561 ],[ 153.44221  232.36847 1728.9156 ],[ 138.49834  222.43999 1709.4276 ],[ 385.1482  631.5769 1769.8313],[ 324.19122  389.6579  1759.9885 ]
[ 352.27606  324.20087 1816.1348 ],[ 352.05225  387.95224 1744.282  ],[ 355.44122  248.59105 1773.0691 ],[ 386.1369   293.45416 1618.2947 ],[ 377.36084  281.89865 1590.2644 ],[ 223.55963  278.82492 1828.7811 ],[ 153.3003  232.2419 1730.1776],[ 138.27637  222.2808  1710.4569 ],[ 385.00278  631.15735 1770.1053 ],[ 324.13873  388.79996 1759.9747 ]
[ 352.2649  324.1719 1816.3063],[ 352.026    387.96765 1745.4008 ],[ 355.44067  248.58578 1772.9933 ],[ 385.8     293.2946 1617.6833],[ 376.93842  281.71136 1589.5083 ],[ 223.68457  278.84973 1830.1082 ],[ 153.1108   232.06285 1731.5916 ],[ 138.02129  222.05927 1711.8882 ],[ 384.91513  630.7256  1770.3485 ],[ 324.23557  388.4901  1759.9685 ]
[ 352.25906  324.1519  1816.4049 ],[ 351.98547  388.02542 1747.0918 ],[ 355.4413   248.58199 1772.9114 ],[ 385.54242  293.15833 1617.1532 ],[ 376.61197  281.56763 1588.8347 ],[ 223.80557  278.8912  1831.0718 ],[ 152.95535  231.91087 1733.4111 ],[ 137.81639  221.87231 1713.879  ],[ 384.82538  630.30927 1770.5823 ],[ 324.34076  388.12936 1760.9135 ]
[ 352.24896  324.13086 1816.5586 ],[ 351.94962  388.06708 1748.6785 ],[ 355.4395   248.57812 1772.9058 ],[ 385.57758  292.9231  1616.7603 ],[ 376.64398  281.31207 1588.3173 ],[ 224.0086   278.82074 1833.7181 ],[ 153.02966  231.87167 1736.4355 ],[ 137.8687   221.84343 1716.979  ],[ 384.68927  630.0618  1770.8855 ],[ 324.47913  387.82074 1762.1449 ]
[ 352.24188  324.11478 1816.6702 ],[ 351.93793  388.0561  1749.0016 ],[ 355.43848  248.57509 1772.8938 ],[ 385.52997  292.83432 1616.7231 ],[ 376.5656   281.23892 1588.2168 ],[ 224.23904  278.86682 1836.0358 ],[ 153.20023  231.83978 1740.8121 ],[ 138.04955  221.81017 1721.7675 ],[ 384.58743  629.7618  1770.9438 ],[ 324.477    387.32172 1763.5308 ]
[ 352.2237  324.0845 1816.9303],[ 351.93     388.01175 1749.1829 ],[ 355.43378  248.5694  1772.9531 ],[ 385.54904  292.81683 1616.8201 ],[ 376.5602  281.264  1588.2501],[ 224.26416  278.95578 1835.4878 ],[ 153.10966  231.95898 1741.0361 ],[ 137.94215  221.94101 1722.1458 ],[ 384.51105  629.3741  1771.0627 ],[ 324.5439   386.85092 1765.396  ]
[ 352.21594  324.0715  1817.0425 ],[ 351.9289   387.98627 1749.1235 ],[ 355.43164  248.5665  1772.9861 ],[ 385.4208   292.75232 1616.7424 ],[ 376.42764  281.2173  1588.0757 ],[ 224.33519  279.02505 1835.5394 ],[ 153.03566  232.09456 1741.5491 ],[ 137.84216  222.09395 1722.751  ],[ 384.4855  629.191  1771.0978],[ 324.65076  386.67273 1767.5947 ]
[ 352.24673  324.11893 1816.6112 ],[ 351.9154  388.095  1749.6667],[ 355.43964  248.57343 1772.8823 ],[ 385.20825  292.64206 1616.412  ],[ 376.1892   281.10016 1587.7147 ],[ 224.47641  279.26892 1835.6078 ],[ 153.0737  232.2812 1742.3131],[ 137.86562  222.27327 1723.6542 ],[ 384.4417   630.00757 1771.1079 ],[ 324.83606  387.14972 1770.3176 ]
[ 352.31256  324.22247 1815.6724 ],[ 351.87314  388.35745 1751.6959 ],[ 355.45685  248.58974 1772.652  ],[ 385.062   292.6283 1616.3003],[ 376.01263  281.05777 1587.6293 ],[ 224.57849  279.4256  1835.7622 ],[ 152.99509  232.4384  1743.1661 ],[ 137.756   222.4355 1724.647 ],[ 384.48383  632.3029  1771.0859 ],[ 324.6924  388.6355 1772.0906]
