left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 408.5158  320.3156 1803.5386],[ 410.38245  378.40305 1743.5536 ],[ 408.30237  253.50063 1839.4651 ],[ 491.94543  383.876   1602.4951 ],[ 492.715    393.93967 1563.9688 ],[ 281.688    272.69406 1722.9598 ],[ 215.93234  239.95996 1638.8535 ],[ 201.96292  233.00577 1622.0322 ],[ 431.07843  642.85504 1421.696  ],[ 379.83228  389.78705 1721.5938 ]
[ 407.55438  319.58017 1804.1077 ],[ 409.19705  377.60977 1743.0043 ],[ 407.94183  253.48735 1839.8945 ],[ 496.305    391.73807 1614.0577 ],[ 498.0298   403.69342 1577.7013 ],[ 278.2765   271.83698 1749.3472 ],[ 210.28105  242.0331  1689.3237 ],[ 196.098    235.81638 1677.3191 ],[ 441.08954  646.8736  1429.7007 ],[ 378.35812  388.23843 1725.1943 ]
[ 406.5556   318.99698 1804.8383 ],[ 407.8729   376.84753 1743.0028 ],[ 407.61398  253.46806 1840.5256 ],[ 494.16443  394.36023 1618.3029 ],[ 495.1315   406.85696 1583.3597 ],[ 275.2873   271.17648 1780.0376 ],[ 206.64304  245.9319  1720.4679 ],[ 192.3398   240.67174 1708.554  ],[ 441.39062  648.0658  1441.7433 ],[ 376.4514   386.40988 1728.5684 ]
[ 405.9331  318.6446 1805.3989],[ 406.8      376.31277 1743.6654 ],[ 407.3904  253.4515 1841.1005],[ 493.41946  392.85782 1612.004  ],[ 494.0709   404.88513 1576.3132 ],[ 273.87787  271.14807 1806.2639 ],[ 204.00621  251.99876 1754.3898 ],[ 189.5331   248.03221 1744.0149 ],[ 441.91055  650.8922  1465.8318 ],[ 375.37564  386.62997 1728.1732 ]
[ 405.65598  318.40155 1805.8468 ],[ 406.19785  375.91547 1744.7744 ],[ 407.28705  253.43683 1841.6852 ],[ 492.7197   395.76773 1616.0931 ],[ 493.28333  408.34473 1581.4749 ],[ 274.374   273.2951 1819.802 ],[ 204.04268  257.6391  1776.0094 ],[ 189.55814  254.41481 1767.2509 ],[ 441.77304  650.7821  1470.573  ],[ 374.75754  386.9627  1728.2391 ]
[ 405.54675  318.22223 1806.6165 ],[ 405.97903  375.58676 1745.9038 ],[ 407.23508  253.42892 1842.313  ],[ 493.1735   396.98795 1617.078  ],[ 493.88696  409.83008 1582.8927 ],[ 275.43555  277.37488 1828.429  ],[ 206.0367  259.5633 1794.4287],[ 191.84015  255.91971 1787.6287 ],[ 441.4986  650.2109 1473.3989],[ 374.39612  386.85968 1728.5397 ]
[ 405.49493  318.07108 1807.377  ],[ 405.8877  375.3004 1746.9589],[ 407.19434  253.41637 1843.0833 ],[ 494.0838   397.66653 1614.3246 ],[ 494.97437  410.7098  1580.2684 ],[ 276.82236  280.80017 1845.9701 ],[ 208.26851  262.14282 1813.0381 ],[ 194.2578   258.32974 1806.4517 ],[ 440.90204  650.1824  1476.1514 ],[ 374.19055  386.72406 1728.9752 ]
[ 405.46054  317.9371  1808.0665 ],[ 405.83115  375.06052 1747.9673 ],[ 407.15735  253.40257 1843.868  ],[ 495.513    399.63577 1607.5756 ],[ 496.6247   413.11252 1573.965  ],[ 277.81772  283.1859  1854.7771 ],[ 209.44601  264.3329  1822.3186 ],[ 195.47836  260.4814  1815.8269 ],[ 440.59036  650.1984  1474.356  ],[ 374.1264   386.84268 1729.0905 ]
[ 405.4264   317.81815 1808.8193 ],[ 405.77338  374.8526  1748.992  ],[ 407.12213  253.39351 1844.6458 ],[ 497.03345  401.86176 1603.0743 ],[ 498.44714  415.73364 1570.1268 ],[ 277.5386  282.6733 1862.2426],[ 209.40814  264.0868  1826.8418 ],[ 195.46399  260.2827  1819.7616 ],[ 440.54718  649.7015  1465.3054 ],[ 374.0738   386.85556 1729.52   ]
[ 405.4025   317.69055 1809.2762 ],[ 405.7294  374.7022 1750.0657],[ 407.36768  253.37628 1845.304  ],[ 499.27414  404.95352 1600.5549 ],[ 503.33276  434.76758 1535.2803 ],[ 279.11603  284.73666 1860.433  ],[ 210.4668   264.43826 1832.316  ],[ 196.48334  260.3036  1826.6926 ],[ 440.34927  645.1903  1437.4983 ],[ 374.05023  386.96777 1730.0449 ]
[ 405.42603  317.50284 1808.8739 ],[ 405.7156   374.55768 1750.5688 ],[ 407.64014  253.34464 1845.8479 ],[ 501.58704  407.10834 1599.8469 ],[ 506.9092   437.70334 1536.2974 ],[ 281.42996  285.16324 1861.4269 ],[ 211.95871  264.87186 1836.251  ],[ 197.83524  260.7466  1831.2158 ],[ 439.13123  651.4178  1476.7976 ],[ 374.0204  387.1182 1730.4594]
[ 405.50708  317.4958  1808.9501 ],[ 405.71332  374.5699  1751.7872 ],[ 407.93414  253.33815 1846.5857 ],[ 505.09882  407.8959  1596.8049 ],[ 512.1384  438.512  1532.6765],[ 283.56036  285.64203 1862.9088 ],[ 213.44724  265.4207  1836.4716 ],[ 199.18166  261.30637 1831.1841 ],[ 435.8221  649.4932 1458.8347],[ 373.8107  387.7338 1730.251 ]
[ 405.58865  317.68176 1809.5016 ],[ 405.7165   374.69785 1753.037  ],[ 408.26263  253.33868 1847.4913 ],[ 504.67606  406.9967  1598.3279 ],[ 511.45297  437.56274 1534.2897 ],[ 286.3252   289.34784 1863.9929 ],[ 217.52261  267.2533  1838.0337 ],[ 203.52826  262.75928 1832.8418 ],[ 428.5642  628.3659 1399.6514],[ 373.55423  388.2982  1730.0769 ]
