left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 342.9929  334.6304 1526.7031],[ 342.7392  408.0159 1458.9703],[ 336.8193   248.20985 1543.9331 ],[ 386.39618  258.64124 1467.804  ],[ 371.       223.57709 1471.6462 ],[ 201.2247   309.53546 1561.8982 ],[ 129.86755  249.74408 1466.931  ],[ 114.472885  236.8446   1447.9376  ],[ 373.5094   731.66376 1456.4829 ],[ 320.3545   436.29648 1473.4846 ]
[ 342.97754  334.8773  1526.6786 ],[ 342.88397  408.48126 1459.0226 ],[ 336.8095   248.31502 1544.2384 ],[ 382.78748  260.062   1472.9813 ],[ 366.13843  225.74922 1478.5538 ],[ 201.36273  309.47952 1566.2201 ],[ 129.52411  250.32346 1469.4904 ],[ 114.00634  237.54526 1450.1444 ],[ 373.3637  731.6017 1456.7109],[ 320.6656  436.3193 1472.9503]
[ 342.9745  335.0863 1526.6537],[ 343.0215  408.8602 1458.9493],[ 336.80573  248.43195 1544.363  ],[ 385.22455  258.86176 1465.0165 ],[ 369.45795  223.86409 1467.0029 ],[ 201.12909  309.5574  1565.6343 ],[ 128.22508  250.67583 1469.5582 ],[ 112.48521  237.96335 1450.343  ],[ 373.09283  731.6567  1456.9486 ],[ 321.4832  436.6511 1472.413 ]
[ 342.97134  335.2876  1526.6222 ],[ 343.06018  409.19327 1458.7731 ],[ 336.80353  248.5871  1544.4137 ],[ 386.17615  257.9594  1465.1337 ],[ 370.86575  222.76534 1467.1947 ],[ 200.92297  309.5608  1565.8052 ],[ 126.63384  251.20363 1470.0039 ],[ 110.59872  238.60738 1450.8436 ],[ 372.9607   731.43134 1457.01   ],[ 321.27106  436.30664 1471.737  ]
[ 342.96808  335.4609  1526.5945 ],[ 343.0731  409.4695 1458.5693],[ 336.80255  248.7633  1544.4294 ],[ 388.0468   258.26474 1468.2656 ],[ 373.3816   222.89671 1471.5483 ],[ 200.50536  309.39008 1565.99   ],[ 125.72621  253.16283 1472.5594 ],[ 109.61704  241.05017 1453.8733 ],[ 372.8689  731.2718 1457.0503],[ 320.52185  435.80707 1470.4971 ]
[ 342.9767  335.5987 1526.5708],[ 343.07898  409.68826 1458.3801 ],[ 336.80566  248.94653 1544.431  ],[ 391.31747  258.07904 1475.4056 ],[ 384.4614   239.92018 1478.591  ],[ 199.56139  308.69543 1566.3279 ],[ 124.30681  254.3487  1474.0573 ],[ 108.11102  242.65254 1455.6031 ],[ 372.8674   731.11383 1457.1586 ],[ 319.60913  435.2465  1469.3087 ]
[ 342.9865  335.6983 1526.5535],[ 343.08414  409.85202 1458.2302 ],[ 336.81024  249.12494 1544.4269 ],[ 389.49713  260.1997  1467.188  ],[ 375.05743  224.70349 1470.4125 ],[ 197.27573  305.75546 1566.7087 ],[ 121.49957  253.30664 1471.7196 ],[ 105.1552   241.99382 1452.7218 ],[ 372.8531   730.96704 1457.287  ],[ 319.6713   435.35007 1468.3009 ]
[ 343.03494  335.8117  1526.5322 ],[ 343.0878   410.01675 1458.0769 ],[ 337.61554  249.31421 1544.4167 ],[ 389.21454  260.10394 1466.2749 ],[ 374.66702  224.62498 1469.3854 ],[ 195.9183   301.86765 1567.1846 ],[ 117.22075  251.62779 1467.7649 ],[ 100.18432  240.7519  1447.881  ],[ 372.96848  730.6109  1457.5364 ],[ 320.16455  435.76886 1467.1232 ]
[ 344.14825  335.87582 1526.0712 ],[ 343.78625  410.13257 1457.4535 ],[ 339.27563  249.49182 1544.2886 ],[ 390.95392  259.91882 1467.8221 ],[ 376.96445  224.27509 1472.0745 ],[ 195.44553  298.1419  1568.2319 ],[ 113.94553  250.96384 1465.2141 ],[  96.25069  240.72081 1444.6106 ],[ 373.7072  730.6362 1457.1467],[ 320.96255  435.61188 1467.803  ]
[ 345.85385  335.8757  1525.5111 ],[ 344.6615   410.16693 1456.8545 ],[ 341.12943  249.6356  1544.13   ],[ 389.92804  261.10556 1473.7238 ],[ 375.3271   225.92201 1480.6415 ],[ 196.94232  297.41415 1569.5232 ],[ 114.00885  251.71887 1465.8013 ],[  95.99349  241.79263 1445.0569 ],[ 374.74457  730.6385  1456.9076 ],[ 321.1694  435.1248 1467.5554]
