left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 332.6727   317.18005 1735.2148 ],[ 330.26813  374.9137  1695.2852 ],[ 343.11926  244.4476  1772.0598 ],[ 373.2483   292.99194 1553.6576 ],[ 364.71646  282.53342 1528.8967 ],[ 212.49164  262.69836 1821.7667 ],[ 136.50963  249.44566 1763.0232 ],[ 120.70155  246.68845 1751.2745 ],[ 362.0193  648.2793 1660.5096],[ 297.0166   393.50583 1671.3256 ]
[ 332.6773   317.45786 1735.2013 ],[ 330.21698  375.05298 1695.1117 ],[ 343.21948  244.35754 1772.0319 ],[ 373.3911   293.82413 1556.2671 ],[ 364.8845  283.4286 1531.6787],[ 211.78708  262.74106 1821.7565 ],[ 136.08315  249.52345 1762.7792 ],[ 120.3304  246.7731 1750.9838],[ 362.078   648.2542 1660.8457],[ 296.9413  393.7316 1671.0238]
[ 332.67136  317.7726  1735.1643 ],[ 330.16656  375.22644 1694.945  ],[ 343.27075  244.31583 1771.9718 ],[ 373.70847  294.0403  1559.1968 ],[ 365.26434  283.59628 1534.9259 ],[ 211.19064  263.0501  1821.7472 ],[ 135.70718  249.87482 1762.5499 ],[ 119.997925  247.13284  1750.7104  ],[ 362.13336  648.2608  1661.1223 ],[ 296.85742  393.9711  1671.0018 ]
[ 332.6468   318.06503 1735.0719 ],[ 330.11145  375.4072  1694.7676 ],[ 343.29462  244.29686 1771.8853 ],[ 373.99512  294.33588 1563.9885 ],[ 365.5761   283.86368 1540.0809 ],[ 210.79164  263.5536  1821.5817 ],[ 135.29237  251.42297 1762.1357 ],[ 119.577095  248.89798  1750.2466  ],[ 362.1897  648.2337 1661.5812],[ 296.7718  394.1767 1670.9033]
[ 332.61774  318.3217  1734.9695 ],[ 330.05603  375.58664 1694.5822 ],[ 343.30307  244.28859 1771.796  ],[ 374.86768  295.32016 1561.4441 ],[ 366.5671  284.971  1537.0903],[ 211.22571  266.59848 1820.9458 ],[ 135.20583  259.01688 1760.7426 ],[ 119.37372  257.4379  1748.7019 ],[ 362.23407  648.2156  1661.9791 ],[ 296.7019   394.40417 1670.7614 ]
[ 332.58987  318.54037 1734.8721 ],[ 329.99646  375.76004 1694.3889 ],[ 343.3075   244.28542 1771.7015 ],[ 375.07877  295.12875 1560.5469 ],[ 366.79703  284.8926  1535.9463 ],[ 215.0232  276.2019 1819.8461],[ 138.91205  272.11118 1753.1622 ],[ 122.989716  271.25537  1739.8254  ],[ 362.2497  648.2512 1661.8352],[ 296.56512  394.40518 1670.5361 ]
[ 332.56342  318.73657 1734.7748 ],[ 329.9434   375.93817 1694.1805 ],[ 343.30945  244.29706 1771.6079 ],[ 374.3512   293.81674 1558.1943 ],[ 366.006    283.40945 1534.1165 ],[ 220.09915  286.04446 1815.9518 ],[ 144.01447  288.38727 1741.7776 ],[ 128.01321  288.88    1726.9427 ],[ 362.26773  648.2883  1661.6766 ],[ 296.43756  394.3663  1670.0752 ]
[ 332.55988  318.90826 1734.6818 ],[ 329.93848  376.10385 1693.9391 ],[ 343.31537  244.31462 1771.5074 ],[ 374.49255  293.09485 1558.3362 ],[ 366.20053  282.64694 1534.303  ],[ 222.7146   291.92813 1801.011  ],[ 147.30377  303.096   1710.5009 ],[ 131.25368  305.4729  1692.3988 ],[ 362.32568  648.28754 1661.5635 ],[ 296.38745  394.27673 1669.285  ]
[ 332.56445  319.05472 1734.5986 ],[ 329.9386   376.24942 1693.7008 ],[ 343.32214  244.33405 1771.3992 ],[ 375.30136  292.2434  1559.3733 ],[ 367.1609   281.66043 1535.458  ],[ 225.63266  298.44794 1778.2751 ],[ 151.62593  320.7554  1686.1268 ],[ 135.84315  325.5127  1667.6971 ],[ 362.37216  648.29614 1661.135  ],[ 296.3209   394.03018 1668.2505 ]
[ 332.57034  319.18295 1734.5261 ],[ 329.93646  376.38086 1693.4733 ],[ 343.3283   244.35808 1771.2972 ],[ 376.6475   291.10593 1559.4558 ],[ 368.78418  280.26413 1535.71   ],[ 235.24355  309.85687 1767.2169 ],[ 163.67546  337.7664  1663.9479 ],[ 148.28242  343.76923 1643.2941 ],[ 362.36008  648.4549  1660.5542 ],[ 296.32355  393.8945  1666.5448 ]
