left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 330.6527   322.17502 1722.0193 ],[ 328.0758   383.08133 1678.582  ],[ 336.87027  248.77356 1770.8635 ],[ 383.43582  298.1584  1591.4598 ],[ 377.48926  290.56967 1559.025  ],[ 272.85638  324.32532 1661.1736 ],[ 297.69418  298.5362  1475.2627 ],[ 303.43237  292.57822 1438.0806 ],[ 361.29645  647.8678  1651.4276 ],[ 294.9447   398.28394 1641.0659 ]
[ 332.19815  323.07504 1728.7136 ],[ 328.95605  383.85635 1682.8479 ],[ 338.383    249.03851 1772.9913 ],[ 374.5662  297.0314 1586.2074],[ 366.9317  289.6866 1555.7397],[ 304.4873   265.67975 1552.4952 ],[ 321.86743  261.5468  1338.6094 ],[ 326.03192  260.55652 1295.8322 ],[ 361.3333   648.97614 1656.6625 ],[ 296.62262  395.12418 1642.7067 ]
[ 334.1067   323.46317 1737.2675 ],[ 330.20734  383.7673  1687.2201 ],[ 339.86313  249.36421 1775.2815 ],[ 378.2621   295.19992 1591.2972 ],[ 371.3408   287.33057 1560.8315 ],[ 299.84613  246.19028 1547.5834 ],[ 316.40714  240.42513 1333.9333 ],[ 320.377    239.04315 1291.2034 ],[ 361.677   648.6721 1661.0361],[ 298.72058  395.07886 1645.2715 ]
[ 333.27368  323.50677 1742.7595 ],[ 329.85257  383.1523  1690.1608 ],[ 339.64178  249.6251  1776.7881 ],[ 377.8253  294.4217 1591.0684],[ 370.66562  286.2022  1561.7114 ],[ 272.96143  239.87231 1548.6036 ],[ 259.29388  225.45103 1333.1736 ],[ 256.0126  221.9888 1290.0875],[ 360.86154  646.6356  1664.5216 ],[ 299.24542  393.9063  1646.9939 ]
[ 331.20563  323.4645  1745.5005 ],[ 329.27527  382.4377  1691.3727 ],[ 338.5224  249.8617 1777.654 ],[ 380.22678  295.85138 1586.2258 ],[ 373.36545  287.70612 1556.3745 ],[ 245.51419  259.15656 1571.3851 ],[ 244.60233  213.58766 1385.3148 ],[ 244.38972  202.96437 1348.1007 ],[ 360.16187  645.1523  1664.9042 ],[ 299.1684   393.63147 1647.9711 ]
[ 328.99997  323.4794  1745.7542 ],[ 328.7231   381.92374 1691.6696 ],[ 336.78107  250.1118  1777.9094 ],[ 382.52844  304.67722 1566.7583 ],[ 375.80786  298.3494  1533.2656 ],[ 232.72806  252.53314 1586.9242 ],[ 240.27733  198.8071  1414.5872 ],[ 242.01343  186.45177 1380.1198 ],[ 360.09427  643.0635  1664.6073 ],[ 298.73816  393.51157 1648.5663 ]
[ 327.8174  323.6455 1745.3057],[ 328.17682  381.6988  1691.6171 ],[ 334.8911   250.41399 1777.9849 ],[ 379.64374  291.9609  1593.7622 ],[ 372.12762  283.00967 1565.5221 ],[ 223.13368  246.88908 1598.6785 ],[ 224.49945  191.57709 1424.2511 ],[ 224.81375  178.8481  1389.3656 ],[ 359.8152  642.1426 1664.4912],[ 298.04596  393.45526 1649.3441 ]
[ 327.45407  323.8179  1744.8031 ],[ 327.63922  381.62326 1691.5465 ],[ 333.36075  250.71909 1778.0618 ],[ 377.84174  288.37164 1589.5538 ],[ 370.32166  279.56418 1560.2946 ],[ 216.86023  246.82735 1614.2688 ],[ 206.17181  184.95856 1450.0454 ],[ 203.73688  170.86417 1417.2007 ],[ 359.69174  640.88275 1664.3218 ],[ 297.1597   393.36853 1650.9207 ]
[ 327.29984  324.41794 1744.0361 ],[ 327.10556  382.13898 1690.9541 ],[ 331.77676  251.50229 1778.0776 ],[ 375.12753  296.10236 1576.1924 ],[ 366.77353  288.71274 1545.0663 ],[ 208.19202  247.19183 1641.3904 ],[ 184.7126   184.25052 1481.5083 ],[ 179.39517  169.9961  1449.5319 ],[ 359.55762  639.604   1664.2664 ],[ 296.11343  393.1965  1653.6321 ]
[ 327.22473  325.4363  1743.1902 ],[ 326.49542  383.15555 1690.0236 ],[ 330.62878  252.72978 1778.0782 ],[ 377.3407   287.65048 1582.0204 ],[ 369.43878  278.2451  1553.4099 ],[ 202.73325  247.9125  1664.7639 ],[ 167.14896  185.4244  1514.9348 ],[ 159.17043  171.41359 1484.969  ],[ 358.9458  639.8159 1664.5565],[ 294.91498  392.99487 1658.1461 ]
[ 327.1965  326.2554 1742.5054],[ 325.88077  383.99323 1689.28   ],[ 329.9991   253.75577 1778.2627 ],[ 376.46338  288.1568  1574.5292 ],[ 368.4513   278.89667 1545.7169 ],[ 199.75674  247.77557 1680.6599 ],[ 149.98433  189.71602 1544.9023 ],[ 138.96138  176.85774 1517.7509 ],[ 358.23083  640.19714 1664.7935 ],[ 293.97217  392.8183  1661.7812 ]
[ 327.19202  326.5984  1742.0538 ],[ 325.3875  384.3627 1688.9554],[ 329.7155   254.30063 1778.7942 ],[ 374.88208  288.23557 1563.3365 ],[ 366.5722  279.0291 1534.3246],[ 198.1304   247.46724 1700.7834 ],[ 135.06023  199.88681 1570.8555 ],[ 121.173134  189.41034  1544.8699  ],[ 357.73297  639.9351  1664.8206 ],[ 293.15234  392.41724 1666.5408 ]
[ 327.2015   326.51465 1741.9612 ],[ 324.90128  384.289   1689.0299 ],[ 329.594    254.41664 1779.9697 ],[ 376.22708  289.21176 1564.3556 ],[ 368.26184  280.2102  1535.085  ],[ 197.18234  247.56383 1723.1796 ],[ 123.192184  215.7241   1611.8323  ],[ 107.15027  208.82088 1589.5629 ],[ 357.21683  639.70306 1665.2057 ],[ 292.56973  392.20593 1669.3059 ]
[ 327.21378  326.29755 1741.9916 ],[ 324.68018  384.0905  1689.2145 ],[ 329.54083  254.39333 1781.6285 ],[ 376.70966  290.22516 1567.7264 ],[ 368.85785  281.34912 1538.5798 ],[ 196.70859  247.74454 1740.1355 ],[ 120.307076  222.09949  1646.1343  ],[ 103.96758  216.61494 1627.334  ],[ 356.95193  639.5288  1665.5414 ],[ 292.1869   391.83395 1673.0895 ]
[ 327.22476  325.98282 1742.0642 ],[ 324.4652   383.80234 1689.478  ],[ 329.51068  254.30864 1784.1346 ],[ 376.84088  290.83832 1569.6505 ],[ 369.05707  281.96967 1540.8868 ],[ 196.31671  250.08434 1760.5287 ],[ 119.46771  230.00377 1674.0046 ],[ 103.13466  225.73596 1656.6998 ],[ 356.73425  639.3602  1665.8547 ],[ 291.90582  391.62238 1674.326  ]
[ 327.23334  325.7077  1742.144  ],[ 324.27393  383.56308 1689.6956 ],[ 329.51013  254.22723 1785.9442 ],[ 376.8718   291.53195 1571.7472 ],[ 369.08624  282.688   1543.3734 ],[ 195.79263  257.4606  1777.5624 ],[ 119.53495  239.61865 1698.6051 ],[ 103.42468  235.84935 1682.8136 ],[ 356.60556  639.1997  1666.1382 ],[ 291.63464  391.48636 1674.3643 ]
[ 327.2739   324.42255 1742.8639 ],[ 324.10657  382.27716 1690.8291 ],[ 329.56546  253.13847 1787.7372 ],[ 375.4928   290.82742 1568.5065 ],[ 367.41418  281.80698 1540.1179 ],[ 196.4952   263.11105 1791.3433 ],[ 120.1286   244.42317 1713.0696 ],[ 104.0101   240.47876 1697.4148 ],[ 356.50345  639.0624  1666.3235 ],[ 291.2653   391.35995 1674.3192 ]
[ 327.33618  322.5746  1743.8907 ],[ 324.03043  380.43896 1692.4167 ],[ 329.93353  251.29453 1789.302  ],[ 372.92212  289.4183  1562.448  ],[ 364.3177   280.32645 1534.446  ],[ 198.5169   265.12128 1795.5045 ],[ 121.822174  246.05     1722.346   ],[ 105.69467  242.03966 1707.7142 ],[ 344.56415  666.7576  1471.593  ],[ 290.84335  391.17618 1674.7114 ]
