left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 446.3458   316.39493 1585.3488 ],[ 450.7408   382.42453 1524.4677 ],[ 445.49005  239.33633 1611.0084 ],[ 546.3803  429.6523 1395.533 ],[ 550.23883  450.69547 1372.2281 ],[ 370.42484  284.99826 1456.6981 ],[ 388.11633  270.95612 1226.8099 ],[ 392.48123  267.49158 1180.8323 ],[ 488.74545  673.12164 1498.687  ],[ 415.00397  393.4151  1510.5753 ]
[ 441.20346  316.0677  1592.1378 ],[ 445.61295  381.61206 1529.8331 ],[ 444.2293   239.44409 1612.7566 ],[ 543.26746  431.25818 1392.9429 ],[ 546.6527   452.35556 1369.2649 ],[ 354.72653  297.33075 1502.5118 ],[ 367.71582  262.24496 1288.1755 ],[ 370.85028  253.77852 1245.3082 ],[ 483.3563  671.6232 1500.4912],[ 410.05847  392.59872 1517.3683 ]
[ 437.1281   315.66272 1595.9391 ],[ 441.4165   380.92932 1534.5642 ],[ 442.20486  239.50876 1613.8564 ],[ 541.1736  432.1439 1393.7473],[ 544.26227  453.31006 1370.1578 ],[ 342.73148  296.30673 1509.3821 ],[ 343.14243  254.77878 1300.5981 ],[ 343.24097  244.82019 1258.8413 ],[ 478.66763  671.23267 1501.0092 ],[ 405.96677  392.18234 1525.1184 ]
[ 434.2527   315.38547 1598.186  ],[ 438.67963  380.4483  1538.1593 ],[ 439.01776  239.58882 1616.0764 ],[ 538.7466   430.66147 1398.4319 ],[ 541.6861   451.44662 1375.5736 ],[ 338.1123   304.93744 1521.0334 ],[ 320.77765  251.85808 1339.5453 ],[ 316.7314  239.4682 1303.2477],[ 475.8407  669.9007 1503.4957],[ 403.6764   392.30627 1526.55   ]
[ 431.0641   315.15723 1600.4072 ],[ 435.7678   380.01736 1542.378  ],[ 434.96906  239.62923 1619.5133 ],[ 536.035    429.02448 1405.0358 ],[ 538.9232  449.4832 1383.0117],[ 332.51175  311.20935 1532.6873 ],[ 301.35272  255.16783 1373.264  ],[ 294.23215  242.36098 1341.3794 ],[ 472.8569  668.6045 1506.2439],[ 401.26764  392.47876 1527.1777 ]
[ 429.09772  315.05438 1601.9741 ],[ 434.09326  379.75345 1545.149  ],[ 430.88995  239.64911 1623.8342 ],[ 533.307   427.6735 1412.0682],[ 536.3932   447.85922 1390.8328 ],[ 323.43866  311.58075 1534.5239 ],[ 288.08038  250.6727  1394.267  ],[ 280.13754  236.99043 1366.2156 ],[ 471.16156  667.6314  1508.6586 ],[ 399.95856  392.4943  1527.1091 ]
[ 427.04413  314.9079  1603.5892 ],[ 432.10468  379.5044  1548.1963 ],[ 426.96796  239.6273  1628.6735 ],[ 530.687    428.78653 1420.7188 ],[ 534.1084   449.11407 1400.147  ],[ 313.50754  308.35046 1541.1978 ],[ 269.48218  244.60141 1419.2758 ],[ 259.75354  230.51431 1394.8914 ],[ 469.03845  666.6756  1511.3385 ],[ 398.2863  392.2625 1528.017 ]
[ 424.8022   314.70004 1604.8308 ],[ 429.63193  379.29523 1549.94   ],[ 423.287    239.58585 1632.8853 ],[ 527.5489   429.38766 1429.3868 ],[ 531.3246  449.6924 1408.5299],[ 302.95227  304.7873  1552.7057 ],[ 251.88617  241.95734 1441.8313 ],[ 240.71576  228.21368 1419.6564 ],[ 466.30518  665.8779  1514.2366 ],[ 396.0581  391.9016 1529.0332]
[ 421.79123  314.24234 1605.8368 ],[ 426.44775  378.87283 1551.0658 ],[ 419.16687  239.23721 1635.7037 ],[ 524.0886  428.8182 1435.9596],[ 527.98596  449.03296 1414.3029 ],[ 294.47754  302.59317 1562.8846 ],[ 234.98257  242.43307 1469.5164 ],[ 222.16464  229.47186 1450.8427 ],[ 462.94193  664.68134 1517.8091 ],[ 393.22574  391.7949  1529.4111 ]
[ 418.58032  313.57437 1607.3933 ],[ 422.752    378.22113 1552.2178 ],[ 415.70462  238.54845 1638.2285 ],[ 520.67413  428.45026 1440.3098 ],[ 524.42725  448.66666 1419.0963 ],[ 291.49564  308.00714 1591.3423 ],[ 227.27667  253.12415 1506.4402 ],[ 213.55435  241.3967  1489.4597 ],[ 459.35138  662.8822  1523.3481 ],[ 389.62592  391.60693 1529.952  ]
