left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 402.41785  322.2771  1657.9568 ],[ 402.41382  386.56027 1602.973  ],[ 397.83124  241.58492 1711.3511 ],[ 484.75375  409.01117 1543.9817 ],[ 487.25226  427.0808  1524.9722 ],[ 347.7487   310.40964 1531.7388 ],[ 416.02594  342.42963 1373.3359 ],[ 431.61603  349.74094 1341.6554 ],[ 440.77814  694.5673  1409.5947 ],[ 367.11676  395.9971  1595.0387 ]
[ 402.33942  322.73456 1657.2749 ],[ 402.406    386.14032 1603.3759 ],[ 397.14484  241.57167 1711.2625 ],[ 488.3683   409.64612 1551.833  ],[ 490.81927  427.73734 1535.5038 ],[ 351.98187  310.29666 1521.2393 ],[ 425.96295  325.16916 1365.0573 ],[ 442.8382  328.5616 1333.8208],[ 441.7959  695.3043 1403.6097],[ 367.23047  395.7012  1594.643  ]
[ 402.2925   322.51932 1656.4763 ],[ 402.3721   385.49908 1604.0344 ],[ 396.82477  241.55002 1711.042  ],[ 492.5281   406.22763 1571.5115 ],[ 494.07404  423.9841  1563.2734 ],[ 353.5067   312.56012 1518.915  ],[ 426.01688  313.41742 1358.2222 ],[ 442.62772  313.61383 1326.0836 ],[ 447.05103  695.77545 1392.9795 ],[ 367.40778  395.13007 1594.2845 ]
[ 402.18158  321.9503  1656.303  ],[ 402.34802  384.64804 1604.7445 ],[ 396.67084  241.538   1710.9131 ],[ 497.43793  398.4049  1621.9829 ],[ 500.8301   413.83066 1627.3448 ],[ 351.30273  315.4562  1526.8408 ],[ 419.9693  303.5215 1364.2994],[ 435.71396  300.78497 1331.7911 ],[ 455.11203  696.5944  1383.5576 ],[ 367.61816  394.77905 1593.7722 ]
[ 401.99557  321.24945 1656.7294 ],[ 402.3421   383.67908 1605.4768 ],[ 396.5831   241.53757 1710.9049 ],[ 494.75745  409.58203 1581.5641 ],[ 499.69586  427.31265 1562.3018 ],[ 347.64313  313.93094 1524.2463 ],[ 416.1405   296.37863 1360.9802 ],[ 431.8606  292.3504 1328.327 ],[ 458.7307  696.8769 1375.7773],[ 367.83875  394.94345 1593.1132 ]
[ 401.84235  320.31113 1656.8722 ],[ 402.33368  382.3984  1605.607  ],[ 396.5347   241.52818 1710.7902 ],[ 489.99695  408.31937 1597.6632 ],[ 494.1592   426.12024 1576.0101 ],[ 345.76385  312.5693  1520.2435 ],[ 411.4458  288.6506 1351.6954],[ 426.59808  283.13275 1317.9858 ],[ 445.55432  694.22253 1396.0237 ],[ 368.10468  394.0966  1592.4465 ]
[ 401.68887  319.0773  1657.1215 ],[ 402.31714  380.94156 1606.4438 ],[ 396.4942   241.51666 1710.6515 ],[ 488.11783  399.02426 1605.4988 ],[ 491.85242  416.89627 1586.1376 ],[ 342.15213  315.43448 1524.7828 ],[ 401.76807  282.70786 1355.3328 ],[ 415.52594  275.15536 1321.4427 ],[ 439.86414  693.4014  1384.8508 ],[ 368.43182  394.15192 1591.556  ]
[ 401.59314  317.56537 1657.6184 ],[ 402.3443   379.32587 1607.6952 ],[ 396.4867   241.50555 1710.5248 ],[ 485.11475  377.494   1614.3651 ],[ 488.64972  395.0415  1598.8508 ],[ 329.3733   329.13123 1554.0159 ],[ 379.2831   290.49225 1387.6589 ],[ 390.73633  281.62543 1354.3876 ],[ 442.97076  693.3075  1374.3601 ],[ 368.72134  394.19803 1590.4865 ]
[ 401.54028  317.8556  1658.0222 ],[ 402.41473  379.64117 1608.5459 ],[ 396.47394  241.51866 1710.6722 ],[ 484.08954  361.3108  1621.0605 ],[ 487.74988  378.5189  1606.3888 ],[ 372.85385  275.44525 1403.1738 ],[ 415.2683   255.25409 1189.2148 ],[ 425.651    250.31146 1146.4231 ],[ 443.70062  696.23755 1354.0961 ],[ 368.6252  394.4123 1589.0945]
[ 401.8382   318.98984 1658.9385 ],[ 403.2704   380.79703 1609.7594 ],[ 397.90225  242.36357 1710.9397 ],[ 496.52402  416.75455 1583.1747 ],[ 500.5675   434.78857 1563.5353 ],[ 364.71164  264.7154  1394.4738 ],[ 379.05     256.60147 1166.321  ],[ 382.61823  254.58223 1120.6906 ],[ 444.37494  699.88464 1332.5742 ],[ 369.10962  394.9561  1587.8052 ]
[ 402.13132  319.64645 1661.7377 ],[ 404.40503  381.2201  1610.9576 ],[ 400.2265   244.12866 1711.452  ],[ 429.555    437.70004 1693.0088 ],[ 429.555   469.8604 1693.0088],[ 326.7136   272.83325 1475.7859 ],[ 331.8974  263.9615 1250.1882],[ 333.16708  261.7885  1205.0687 ],[ 444.19666  697.73566 1331.6418 ],[ 370.1491   395.07874 1589.1268 ]
[ 402.1249  321.016  1666.2448],[ 404.92978  382.30313 1612.0862 ],[ 401.4523   245.94649 1712.531  ],[ 452.91467  414.1641  1709.0161 ],[ 452.91467  446.0707  1709.0161 ],[ 305.50055  283.23737 1522.612  ],[ 300.61993  276.56137 1297.678  ],[ 299.4335   274.93848 1252.6912 ],[ 443.16653  698.8931  1337.3918 ],[ 370.7807  396.2314 1590.496 ]
[ 401.90332  321.8508  1673.8796 ],[ 405.33337  382.861   1615.4552 ],[ 402.11826  246.92908 1714.639  ],[ 454.1283   412.19858 1715.6868 ],[ 454.1283   444.01895 1715.6868 ],[ 352.51965  335.255   1729.1378 ],[ 352.51965  413.70276 1729.1378 ],[ 352.51965  445.4195  1729.1378 ],[ 442.9215  698.8422 1347.7535],[ 371.70575  397.5998  1593.6295 ]
[ 401.6056   321.97037 1681.9137 ],[ 405.60794  382.88773 1620.7211 ],[ 402.2449   247.27327 1717.249  ],[ 454.60052  411.56927 1713.3641 ],[ 454.60052  443.46307 1713.3641 ],[ 352.85764  334.64453 1735.8806 ],[ 352.85764  412.61633 1735.8806 ],[ 352.85764  444.21112 1735.8806 ],[ 444.9562  697.7924 1356.584 ],[ 372.3677   396.75696 1598.8114 ]
[ 401.5357   321.90607 1686.0721 ],[ 406.0636  383.0427 1625.4008],[ 402.37262  247.43028 1718.8779 ],[ 455.14926  411.49124 1708.5577 ],[ 455.14926  443.49908 1708.5577 ],[ 353.6166  335.6168 1735.0135],[ 353.6166   413.49054 1735.0135 ],[ 353.6166  445.1021 1735.0135],[ 448.9914  695.416  1346.9121],[ 373.197    396.05362 1604.1771 ]
[ 401.5797   321.68045 1687.6156 ],[ 406.50574  383.25128 1628.9716 ],[ 402.42072  247.5375  1719.8684 ],[ 499.59668  415.1985  1551.2021 ],[ 503.5239  433.2371 1530.8558],[ 354.12143  336.62408 1735.0254 ],[ 354.12143  414.61862 1735.0254 ],[ 354.12143  446.23077 1735.0254 ],[ 451.2067   691.68134 1349.5767 ],[ 373.9699  395.2525 1609.4043]
[ 401.69293  321.40128 1688.1599 ],[ 406.7428   383.33066 1630.3899 ],[ 402.48276  247.56729 1720.5996 ],[ 499.7781   416.17236 1550.1254 ],[ 503.78598  434.24896 1528.6667 ],[ 353.34872  335.88858 1735.8654 ],[ 353.34872  414.20782 1735.8654 ],[ 353.34872  445.80533 1735.8654 ],[ 452.19653  689.87427 1352.9722 ],[ 374.6656   394.84366 1610.2404 ]
[ 401.8252   321.02216 1688.3344 ],[ 407.0137   383.27924 1631.2559 ],[ 402.51764  247.54037 1721.2325 ],[ 499.87302  415.81708 1548.2242 ],[ 503.86774  433.99054 1526.8859 ],[ 302.64688  318.7993  1669.5365 ],[ 224.84438  348.9447  1612.0741 ],[ 208.61353  355.23352 1600.5817 ],[ 451.9704  686.7325 1357.8818],[ 375.23853  394.09598 1612.6985 ]
[ 401.98056  320.7549  1688.3763 ],[ 407.1931   383.03668 1630.7195 ],[ 402.5373   247.47606 1721.8497 ],[ 499.9942  416.5201 1546.1406],[ 503.91525  434.78305 1525.0905 ],[ 302.25653  320.1823  1694.6473 ],[ 225.22418  349.39087 1649.4905 ],[ 209.3088   355.42557 1640.4591 ],[ 450.5005  684.8618 1361.884 ],[ 375.5931  393.1954 1614.5752]
[ 402.14737  320.67462 1688.4747 ],[ 407.2787   382.80502 1630.2617 ],[ 402.5551   247.38939 1722.4868 ],[ 499.97595  416.40668 1543.1567 ],[ 503.81842  434.73093 1522.3909 ],[ 301.10724  319.98605 1714.2007 ],[ 225.267    348.35767 1691.3416 ],[ 209.85228  354.12427 1686.7698 ],[ 445.47955  683.1221  1363.3401 ],[ 375.50195  392.3674  1617.405  ]
[ 402.29993  320.41632 1688.9595 ],[ 407.28253  382.31573 1630.3324 ],[ 402.56628  246.97412 1723.261  ],[ 499.8803   416.78912 1538.5262 ],[ 503.63397  435.1758  1517.6559 ],[ 301.21286  319.44498 1719.5841 ],[ 226.49997  345.8979  1722.0576 ],[ 211.58313  351.17935 1722.5524 ],[ 445.44205  681.84717 1363.449  ],[ 375.38242  391.57178 1617.5486 ]
[ 402.43616  319.91595 1689.74   ],[ 407.2653  381.4186 1630.6995],[ 402.5727   246.22797 1724.111  ],[ 499.19562  416.4439  1534.2534 ],[ 502.78836  434.88498 1513.1334 ],[ 301.69016  318.68665 1736.4723 ],[ 228.08472  343.31943 1750.2406 ],[ 213.50238  348.19952 1752.9943 ],[ 445.3702   679.90967 1362.1686 ],[ 375.01617  389.45047 1617.2216 ]
[ 402.63568  319.17078 1690.6073 ],[ 407.19434  380.2905  1631.5553 ],[ 402.5971   245.24832 1724.9381 ],[ 497.88486  415.99496 1529.9341 ],[ 501.23083  434.51373 1507.9974 ],[ 304.75162  319.4234  1752.4785 ],[ 230.60687  340.03098 1769.787  ],[ 215.95163  344.10422 1773.2487 ],[ 445.13818  679.16437 1363.8953 ],[ 374.391    386.92215 1616.3359 ]
[ 403.61987  318.59512 1691.1466 ],[ 407.11258  379.40604 1632.3063 ],[ 402.88177  244.46783 1725.3871 ],[ 497.69403  416.9876  1525.4902 ],[ 500.96533  435.73233 1503.053  ],[ 307.62064  320.33145 1762.8848 ],[ 232.15335  333.71692 1787.8042 ],[ 217.31168  336.34933 1792.7881 ],[ 443.3661   678.98206 1364.0149 ],[ 374.11133  386.293   1615.0934 ]
[ 404.7809   317.82864 1691.7347 ],[ 407.044    378.36118 1633.258  ],[ 403.3181   243.54865 1725.6848 ],[ 497.45197  418.43506 1523.093  ],[ 500.60144  437.44116 1500.9468 ],[ 307.279   319.6729 1766.57  ],[ 231.3337   329.26953 1798.2789 ],[ 216.46487  331.1484  1804.6207 ],[ 443.4346   678.83453 1364.0208 ],[ 373.9248   386.05423 1613.6057 ]
[ 405.92737  317.08524 1692.1599 ],[ 407.01642  377.38007 1634.158  ],[ 403.74927  242.69456 1725.9192 ],[ 497.38348  421.1233  1516.2062 ],[ 500.31927  440.4237  1493.6008 ],[ 305.38852  319.69232 1765.7333 ],[ 228.78479  324.64142 1803.2455 ],[ 213.84491  325.60663 1810.7479 ],[ 442.8775   679.16235 1363.4822 ],[ 373.83084  385.46115 1611.6857 ]
[ 406.77283  316.679   1692.3604 ],[ 407.026    376.78647 1634.7006 ],[ 404.12723  242.19618 1726.0325 ],[ 498.1266   421.74112 1510.9508 ],[ 501.08154  441.014   1488.0336 ],[ 304.82355  320.648   1765.7812 ],[ 229.38547  321.64294 1813.0452 ],[ 214.76738  321.83575 1822.4979 ],[ 442.0902  679.877  1362.69  ],[ 374.14954  385.9967  1608.9812 ]
[ 407.15927  316.54486 1692.422  ],[ 407.04596  376.5197  1634.9434 ],[ 404.4006   241.98035 1726.0793 ],[ 498.60764  422.80856 1507.6355 ],[ 501.60132  442.03763 1484.6053 ],[ 304.50705  321.32318 1765.8871 ],[ 229.74982  321.38937 1816.1216 ],[ 215.29192  321.40216 1826.1685 ],[ 441.08762  680.8527  1363.1152 ],[ 374.64963  386.55228 1605.6309 ]
[ 407.35284  316.5317  1692.424  ],[ 407.07623  376.4103  1635.0426 ],[ 404.62878  241.89809 1726.1058 ],[ 498.9221  423.5316 1505.65  ],[ 501.95923  442.73627 1482.6168 ],[ 304.3523   321.72705 1766.1588 ],[ 230.07297  320.39496 1818.5782 ],[ 215.72801  320.13773 1829.0621 ],[ 437.62903  680.73114 1366.3823 ],[ 375.00156  386.7349  1602.9994 ]
[ 407.52957  316.55734 1692.4109 ],[ 407.20374  376.36426 1635.0844 ],[ 405.02606  241.8657  1726.1173 ],[ 499.30222  424.27664 1503.     ],[ 502.38147  443.49597 1480.0464 ],[ 304.3845   321.76923 1766.4448 ],[ 230.32748  318.75385 1819.483  ],[ 216.03117  318.17175 1830.0907 ],[ 433.83472  680.0383  1373.8612 ],[ 375.02692  386.71567 1603.1974 ]
