left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 316.3593   330.39108 1570.313  ],[ 318.76044  400.83347 1506.4258 ],[ 313.5333   245.98738 1594.4257 ],[ 409.2491   438.59613 1407.9166 ],[ 412.06256  458.95306 1382.9111 ],[ 207.68054  335.2017  1583.7643 ],[ 128.82411  295.15488 1495.8237 ],[ 111.92694  286.57373 1478.2356 ],[ 357.43127  682.94666 1507.8234 ],[ 279.25943  391.21902 1497.1973 ]
[ 313.58588  331.21283 1570.6968 ],[ 315.9824  402.0401 1506.3296],[ 310.2893   246.49026 1594.5571 ],[ 406.66254  437.46918 1412.0234 ],[ 409.57007  457.72186 1386.5027 ],[ 205.9685  335.6573 1584.8228],[ 126.27165  296.86096 1494.7521 ],[ 109.16565  288.53378 1476.7379 ],[ 354.51505  682.3714  1508.6104 ],[ 276.5923   391.36374 1497.0458 ]
[ 311.13397  331.72452 1571.1713 ],[ 313.41077  402.84033 1506.4385 ],[ 307.26904  246.77641 1594.7025 ],[ 404.45984  437.2426  1414.8804 ],[ 407.55438  457.46805 1389.7452 ],[ 200.93634  335.4411  1585.9362 ],[ 121.66049  296.58676 1489.9492 ],[ 104.56358  288.20734 1470.7518 ],[ 351.88492  682.3253  1508.5669 ],[ 274.0101   391.40814 1497.5674 ]
[ 309.24573  332.17288 1571.4257 ],[ 311.3331  403.5003 1505.954 ],[ 304.82587  247.0608  1594.7855 ],[ 403.21805  437.06625 1414.9828 ],[ 406.46057  457.27188 1390.0782 ],[ 196.44931  335.2674  1586.6879 ],[ 117.20796  296.347   1489.6678 ],[ 100.10474  287.9465  1470.2638 ],[ 349.75555  682.14526 1508.7385 ],[ 272.09393  391.86438 1497.0962 ]
[ 307.89346  332.40762 1572.0002 ],[ 310.00403  403.84354 1505.5107 ],[ 303.17343  247.18245 1594.9452 ],[ 401.35553  436.78427 1415.2046 ],[ 404.5593   456.94135 1390.5983 ],[ 197.28574  337.43463 1585.1906 ],[ 119.03296  297.08585 1491.4966 ],[ 102.187614  288.40002  1472.7578  ],[ 348.31915  682.0762  1508.6976 ],[ 270.84525  392.21335 1497.0485 ]
[ 307.2848   332.48407 1572.6857 ],[ 309.3999   403.97412 1505.2638 ],[ 302.00095  247.20969 1595.1292 ],[ 399.4497   436.60547 1415.6686 ],[ 402.39813  456.7326  1391.408  ],[ 196.38202  338.13354 1584.4021 ],[ 118.74556  297.24115 1491.4307 ],[ 102.04209  288.44318 1472.8364 ],[ 347.6076  682.5911 1508.3743],[ 270.24344  392.6004  1497.503  ]
[ 307.03018  332.47748 1573.3579 ],[ 309.0867   403.98672 1505.0867 ],[ 301.04785  247.20125 1595.3073 ],[ 398.2901   436.49567 1415.7004 ],[ 401.14337  456.56784 1391.4133 ],[ 195.76508  338.83954 1584.0695 ],[ 118.61789  297.54584 1491.524  ],[ 102.02518  288.66446 1473.015  ],[ 347.26077  682.61005 1508.6305 ],[ 270.07797  393.29172 1497.3416 ]
[ 306.79346  332.43076 1573.8757 ],[ 308.80017  403.94525 1504.992  ],[ 300.15903  247.17764 1595.4443 ],[ 396.85773  436.3825  1415.6466 ],[ 399.5628  456.4184 1391.3208],[ 195.20187  339.49417 1583.755  ],[ 118.41919  297.89337 1491.5215 ],[ 101.908844  288.94806  1473.0748  ],[ 347.00214  682.26184 1508.6862 ],[ 269.93143  393.90283 1497.3037 ]
[ 306.57678  332.34393 1573.8811 ],[ 308.51907  403.90903 1505.2677 ],[ 299.1464   247.13902 1595.451  ],[ 395.48328  436.2321  1415.5176 ],[ 398.05627  456.2443  1391.2218 ],[ 194.34326  340.22122 1583.3138 ],[ 117.95528  298.18268 1491.4489 ],[ 101.53438  289.14578 1473.0758 ],[ 346.75208  682.096   1508.7374 ],[ 269.83664  394.81125 1497.2972 ]
[ 306.3523  332.2632 1573.7678],[ 308.41394  403.87476 1505.7559 ],[ 298.38293  247.1028  1595.4269 ],[ 394.8023   435.70377 1415.5619 ],[ 397.24774  455.6924  1391.3018 ],[ 192.82156  340.7685  1582.5161 ],[ 116.60704  298.42227 1491.1592 ],[ 100.22958  289.32263 1472.8878 ],[ 346.66193  681.98596 1508.7128 ],[ 269.8756   395.89215 1497.3596 ]
[ 305.9198   332.18933 1573.6155 ],[ 308.37164  403.8337  1506.4832 ],[ 297.6149   247.06956 1595.3926 ],[ 393.46527  435.35126 1414.246  ],[ 395.7045   455.31796 1389.6979 ],[ 192.61523  341.26315 1582.1119 ],[ 115.9498   299.45334 1491.9327 ],[  99.49093  290.47745 1473.8969 ],[ 346.61523  681.93274 1508.6385 ],[ 269.86383  397.01797 1497.4266 ]
[ 305.47125  332.1031  1573.4678 ],[ 308.2652   403.82404 1508.5471 ],[ 296.84796  247.03569 1595.3586 ],[ 391.8108   435.16763 1410.7931 ],[ 393.7828   455.13095 1385.575  ],[ 192.48436  341.7058  1581.8215 ],[ 115.11278  300.57162 1492.891  ],[  98.51898  291.74963 1475.1049 ],[ 346.70117  682.2079  1508.3088 ],[ 269.7222  398.8536 1497.2169]
[ 304.9668   331.99695 1573.3296 ],[ 308.02142  402.7243  1512.1069 ],[ 295.97495  246.99908 1595.3263 ],[ 391.03754  434.676   1404.1512 ],[ 392.946    454.63608 1377.622  ],[ 192.28946  342.2037  1581.4928 ],[ 114.37308  301.16257 1492.638  ],[  97.6632   292.36093 1474.867  ],[ 346.71506  682.736   1507.5483 ],[ 269.14743  399.534   1496.5945 ]
[ 304.47763  331.90744 1573.1044 ],[ 307.7408   402.29218 1513.2368 ],[ 295.28653  246.96713 1595.2716 ],[ 391.41412  433.6106  1398.0553 ],[ 393.53317  453.55807 1370.2782 ],[ 192.28961  342.43195 1581.346  ],[ 113.88112  301.3653  1491.2007 ],[  97.04791  292.54886 1473.1716 ],[ 346.68536  683.65717 1505.809  ],[ 268.50488  400.2904  1495.5264 ]
[ 303.97122  331.907   1572.6367 ],[ 307.52002  402.0579  1509.9557 ],[ 295.19696  246.95523 1595.1556 ],[ 391.76935  432.3287  1394.9973 ],[ 393.93613  452.11218 1366.5676 ],[ 192.51686  342.07147 1581.569  ],[ 114.29329  301.27142 1490.8921 ],[  97.49269  292.50854 1472.7567 ],[ 346.60657  684.9975  1502.3097 ],[ 267.88348  400.0657  1494.1093 ]
[ 303.51517  331.90872 1572.0549 ],[ 307.29416  401.7937  1504.2256 ],[ 295.22437  246.94342 1595.0107 ],[ 392.21268  428.54474 1388.5422 ],[ 394.41666  447.6707  1358.734  ],[ 192.82104  341.53696 1581.8862 ],[ 115.300255  302.12863  1492.61    ],[  98.66983  293.67444 1474.7548 ],[ 346.50537  686.8773  1497.2438 ],[ 267.32846  399.9526  1492.0692 ]
[ 303.07928  331.9016  1571.404  ],[ 307.07095  401.57428 1499.3346 ],[ 295.2693   246.92929 1594.8485 ],[ 392.07465  425.83963 1388.2008 ],[ 394.19     444.48444 1358.1991 ],[ 193.10376  341.01123 1582.1912 ],[ 116.47937  302.72168 1493.7832 ],[ 100.053055  294.51337  1476.1016  ],[ 346.21246  689.3635  1490.9907 ],[ 267.04028  400.436   1488.9044 ]
