left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 380.96533  318.33923 1676.3617 ],[ 382.17493  382.30292 1615.1299 ],[ 378.69205  242.74142 1718.2057 ],[ 475.90216  420.5433  1510.5543 ],[ 479.91632  439.04797 1482.3695 ],[ 260.66144  312.63977 1714.8748 ],[ 182.87962  284.89133 1700.2761 ],[ 167.16272  279.28436 1697.3564 ],[ 409.43384  695.0566  1385.7192 ],[ 347.753   388.35   1596.3862]
[ 380.9638   318.34723 1676.0513 ],[ 382.17902  382.81436 1614.8271 ],[ 378.59137  242.86821 1718.0919 ],[ 475.8107   421.44998 1511.3263 ],[ 479.86188  440.18945 1483.1022 ],[ 261.10098  313.49127 1714.225  ],[ 182.19858  286.07596 1697.589  ],[ 166.23218  280.5283  1694.2618 ],[ 417.71774  697.86316 1380.2878 ],[ 347.77634  388.5622  1596.2864 ]
[ 380.6994   318.39233 1675.7279 ],[ 382.16495  383.27274 1614.5587 ],[ 378.44666  242.99678 1717.9886 ],[ 475.41934  422.05194 1511.781  ],[ 479.44202  440.96234 1483.4532 ],[ 264.70587  317.4206  1712.4836 ],[ 185.2544   288.76395 1687.7852 ],[ 169.08424  282.9317  1682.8455 ],[ 420.5446  700.3598 1374.6871],[ 347.73788  388.92255 1596.0168 ]
[ 380.43463  318.45337 1675.6042 ],[ 382.14996  383.65854 1614.4606 ],[ 378.3216  243.1196 1717.948 ],[ 474.90637  422.89233 1513.0149 ],[ 478.85403  441.98346 1485.0562 ],[ 265.71567  318.61966 1711.9719 ],[ 185.73535  289.69437 1659.9138 ],[ 169.13348  283.69022 1649.5022 ],[ 423.55548  701.53925 1372.256  ],[ 347.67056  389.50583 1596.0576 ]
[ 380.16656  318.52905 1675.5266 ],[ 382.08157  382.74414 1615.9298 ],[ 378.25354  243.24002 1717.9211 ],[ 474.05948  423.87698 1516.6246 ],[ 477.8745   443.11865 1489.4937 ],[ 267.9083   320.79318 1711.3975 ],[ 187.25006  297.7394  1625.1613 ],[ 170.08023  292.8319  1607.9141 ],[ 426.63895  702.8083  1371.817  ],[ 347.5985   390.54327 1596.0802 ]
[ 379.87415  318.62033 1675.4688 ],[ 381.9936  382.24   1617.2645],[ 378.188    243.36253 1717.9003 ],[ 472.59976  425.48584 1525.4154 ],[ 476.13367  444.87604 1500.2374 ],[ 269.19968  322.11343 1710.645  ],[ 188.92178  307.50653 1597.7876 ],[ 171.48581  304.33398 1575.2161 ],[ 429.69244  702.90826 1371.5029 ],[ 347.5979   392.03488 1596.169  ]
[ 379.61298  318.72433 1675.4192 ],[ 381.89374  382.19226 1618.6946 ],[ 378.13287  243.4862  1717.8833 ],[ 471.1177  426.4379 1534.8809],[ 474.41766  445.85242 1511.5758 ],[ 273.57516  325.69086 1709.7866 ],[ 200.54002  302.4017  1576.623  ],[ 184.4271   297.26367 1549.9904 ],[ 426.45276  702.88043 1367.5713 ],[ 347.5689   393.72433 1596.2245 ]
[ 379.27304  319.0502  1675.8008 ],[ 381.76297  382.65533 1620.3524 ],[ 378.05017  243.62497 1718.0067 ],[ 470.05826  426.84637 1536.8402 ],[ 473.34143  446.2458  1513.9443 ],[ 277.1976   328.09738 1710.5933 ],[ 220.3027   334.02908 1509.9343 ],[ 207.05956  335.4098  1469.8025 ],[ 417.95892  702.1855  1365.2124 ],[ 347.51746  395.93893 1596.338  ]
[ 378.92822  319.58932 1676.1952 ],[ 381.64935  383.34915 1621.1692 ],[ 377.96384  243.76714 1718.1621 ],[ 469.48004  427.71317 1537.0887 ],[ 473.0044   447.23642 1514.2412 ],[ 280.27365  329.72235 1712.6642 ],[ 250.18219  368.89062 1488.7151 ],[ 243.0438   378.18225 1443.9253 ],[ 411.14557  700.9745  1362.2582 ],[ 347.29895  396.41907 1596.3971 ]
[ 378.5888   320.45877 1676.8182 ],[ 381.51334  384.32477 1622.11   ],[ 377.8786   243.91663 1718.4191 ],[ 468.59378  428.78558 1540.0276 ],[ 472.2929   448.38422 1517.7354 ],[ 282.24344  331.09396 1705.3691 ],[ 269.7099   387.68924 1490.3511 ],[ 266.75632  401.02618 1447.3474 ],[ 412.4171  701.0977 1354.7448],[ 347.22595  397.98706 1596.552  ]
