left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 395.47742  340.22556 1494.1259 ],[ 390.15063  418.77597 1431.0219 ],[ 399.52448  250.59111 1478.6974 ],[ 442.03735  331.70224 1229.0538 ],[ 429.06134  323.8707  1199.1327 ],[ 247.19891  297.25867 1543.934  ],[ 170.71698  240.54974 1478.6045 ],[ 154.60234  228.60126 1465.5386 ],[ 425.65457  755.0695  1426.4038 ],[ 358.67865  436.38885 1454.0743 ]
[ 395.1727   340.60315 1496.8408 ],[ 389.6428   419.06482 1436.4248 ],[ 400.30972  250.55087 1479.3445 ],[ 441.86255  323.34616 1236.2528 ],[ 428.49084  313.6938  1209.2131 ],[ 248.16235  296.81665 1543.6184 ],[ 170.99318  241.09969 1480.3339 ],[ 154.76077  229.37971 1467.677  ],[ 428.864   753.1593 1417.953 ],[ 357.0334   434.37756 1455.6205 ]
[ 395.09216  341.14127 1496.3772 ],[ 389.63974  419.66302 1436.2345 ],[ 401.10916  250.53923 1479.169  ],[ 441.24466  317.1876  1244.717  ],[ 427.5489   306.19003 1220.4596 ],[ 249.25504  296.38345 1543.2173 ],[ 171.5069   241.66469 1482.382  ],[ 155.18515  230.17752 1470.2148 ],[ 428.7646   753.32764 1420.9945 ],[ 356.70435  434.94434 1455.2113 ]
[ 395.16254  341.79526 1493.4688 ],[ 390.12115  420.51578 1431.9003 ],[ 401.91287  250.549   1478.2972 ],[ 443.29578  312.0327  1248.6558 ],[ 430.14575  299.72223 1225.5793 ],[ 250.51953  295.87396 1542.8187 ],[ 171.92569  242.21786 1484.3647 ],[ 155.45825  230.97551 1472.674  ],[ 431.42578  754.9359  1412.4496 ],[ 356.96667  436.45166 1455.0814 ]
[ 395.29785  342.37115 1490.0396 ],[ 390.78607  421.29263 1425.9685 ],[ 402.5081   250.56424 1475.693  ],[ 443.7994   312.28348 1251.7239 ],[ 430.8508   299.84344 1228.847  ],[ 251.68494  295.40686 1542.6278 ],[ 172.59041  242.97122 1484.5791 ],[ 156.0234   231.98814 1472.9694 ],[ 436.3938   751.02997 1414.8586 ],[ 357.25742  439.005   1453.8585 ]
[ 395.53925  342.9865  1485.2745 ],[ 391.43735  420.7573  1420.6979 ],[ 402.87433  250.59625 1471.3192 ],[ 444.94318  312.44736 1257.4539 ],[ 432.3424   299.94846 1234.7019 ],[ 252.67012  295.86755 1543.0067 ],[ 173.94363  244.05336 1485.5194 ],[ 157.46147  233.20555 1474.022  ],[ 429.25665  762.9527  1418.3247 ],[ 357.37238  441.88513 1451.6494 ]
[ 395.7055   343.40756 1481.9944 ],[ 391.73334  420.4066  1418.5924 ],[ 403.13632  250.61871 1467.0615 ],[ 445.65457  311.25806 1262.5433 ],[ 433.33087  298.52017 1240.7856 ],[ 253.58774  296.24835 1543.3855 ],[ 175.68848  245.46347 1486.7855 ],[ 159.39143  234.83891 1475.4656 ],[ 429.71454  763.2662  1420.1694 ],[ 356.85056  442.51147 1450.8422 ]
[ 395.75058  343.54666 1480.8837 ],[ 391.82867  419.57086 1416.6688 ],[ 403.38132  250.61809 1462.9047 ],[ 447.71545  310.5265  1266.0879 ],[ 435.88776  297.6352  1244.7554 ],[ 254.23454  295.99542 1543.4303 ],[ 176.9712   246.47997 1487.7521 ],[ 160.81934  236.12877 1476.6165 ],[ 429.40793  762.11926 1420.6257 ],[ 361.14273  444.5361  1451.5891 ]
[ 395.74963  343.56866 1480.607  ],[ 391.74805  420.18845 1413.6903 ],[ 403.57727  250.60547 1459.5886 ],[ 449.11404  311.1305  1267.652  ],[ 437.62253  298.3746  1246.3185 ],[ 254.67471  295.82895 1543.5323 ],[ 178.06532  247.29361 1488.5996 ],[ 162.0599  237.1535 1477.613 ],[ 430.67163  758.92474 1420.2902 ],[ 361.9591  443.3536 1450.6467]
[ 395.73727  343.57602 1480.5297 ],[ 391.7132   420.70203 1412.3206 ],[ 403.7091   250.59203 1457.3848 ],[ 448.93192  309.9844  1267.605  ],[ 437.3885   296.99817 1246.3799 ],[ 255.11888  295.95288 1543.8647 ],[ 177.92723  247.35558 1488.6067 ],[ 161.79608  237.19994 1477.555  ],[ 431.06708  759.18506 1419.9907 ],[ 361.32034  443.22946 1450.7872 ]
