left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 303.082   303.5334 1540.2361],[ 302.6127  370.6251 1497.763 ],[ 300.90555  226.11453 1560.1658 ],[ 341.35968  239.19313 1476.1279 ],[ 331.0115   206.84822 1505.2836 ],[ 202.88496  317.23132 1598.9065 ],[ 185.72131  377.5661  1411.4811 ],[ 181.72668  391.6083  1373.996  ],[ 340.10532  681.43616 1474.3881 ],[ 263.97467  393.52127 1461.3881 ]
[ 303.07675  303.5163  1541.1093 ],[ 302.61816  370.5899  1498.713  ],[ 300.9832   226.12607 1560.3981 ],[ 342.88416  239.5154  1482.6444 ],[ 332.7417   208.43167 1518.4294 ],[ 205.83395  318.73083 1600.5242 ],[ 208.56879  381.26437 1422.6594 ],[ 209.19992  395.69556 1387.0864 ],[ 340.07013  680.7748  1476.8125 ],[ 264.1122  393.5108 1462.1112]
[ 303.03925  303.51254 1543.2683 ],[ 302.4862   370.51285 1500.6923 ],[ 300.99573  226.15205 1560.9734 ],[ 344.64648  259.5885  1431.9329 ],[ 325.9615   229.19275 1402.5754 ],[ 206.89624  319.4018  1598.662  ],[ 217.93831  382.06445 1427.3578 ],[ 220.4726  396.4463 1393.0969],[ 339.8442  679.8968 1479.8586],[ 264.16965  393.48172 1463.1884 ]
[ 302.9981  303.516  1545.8954],[ 302.20047  370.49725 1504.1588 ],[ 300.98303  226.18102 1561.6741 ],[ 338.20572  267.13794 1410.9554 ],[ 316.75607  240.05069 1372.4456 ],[ 209.69925  321.3779  1595.941  ],[ 225.72633  385.1568  1426.4441 ],[ 229.39993  399.7757  1392.5447 ],[ 339.35217  679.9255  1479.8301 ],[ 264.06738  393.66388 1465.3279 ]
[ 302.95782  303.51703 1548.5486 ],[ 301.87732  370.63046 1508.1312 ],[ 300.97433  226.21039 1562.3806 ],[ 337.83624  272.5519  1393.6697 ],[ 316.0335  247.5822 1347.8375],[ 213.34502  323.7573  1592.3396 ],[ 230.71515  381.43915 1408.264  ],[ 234.74872  394.8336  1371.449  ],[ 338.85532  680.0902  1479.6475 ],[ 263.72232  394.1323  1469.6152 ]
[ 302.90125  303.55032 1549.8376 ],[ 301.55298  371.01797 1511.5593 ],[ 300.95972  226.22499 1562.7255 ],[ 338.8761   273.08017 1393.8057 ],[ 317.56848  248.24178 1346.5748 ],[ 213.81888  324.1222  1592.5543 ],[ 225.55765  382.57098 1406.0928 ],[ 228.28918  396.17163 1368.8004 ],[ 338.4125  680.199  1479.6848],[ 263.08527  394.65106 1476.6963 ]
[ 302.8353   303.61456 1550.3671 ],[ 301.22238  371.67474 1513.1895 ],[ 300.94208  226.23094 1562.8694 ],[ 340.60886  271.69205 1398.8378 ],[ 320.13553  246.1582  1352.0859 ],[ 214.3177   324.74365 1592.5587 ],[ 218.85736  383.59515 1402.7676 ],[ 219.91681  397.32962 1364.8093 ],[ 338.1231  680.639  1479.6395],[ 262.70877  396.44852 1478.7899 ]
[ 302.75894  303.7424  1550.6088 ],[ 300.87488  372.51166 1513.8856 ],[ 300.9211   226.23492 1562.9393 ],[ 341.63977  238.00853 1478.6533 ],[ 331.40408  205.89246 1508.8973 ],[ 214.32997  324.83273 1591.7963 ],[ 216.8431   380.66846 1397.5696 ],[ 217.43193  393.7512  1358.7242 ],[ 337.8026  681.2171 1479.5748],[ 262.4939   398.71814 1478.5155 ]
[ 302.68793  303.91547 1550.7233 ],[ 300.50443  373.10583 1513.6006 ],[ 300.90128  226.23773 1562.9773 ],[ 341.71265  236.94862 1480.6633 ],[ 331.82538  204.94736 1511.7915 ],[ 214.15007  325.03943 1589.193  ],[ 224.91011  362.8515  1383.1246 ],[ 227.45868  371.8075  1341.911  ],[ 337.28177  681.14996 1479.6019 ],[ 262.02917  397.65375 1478.0338 ]
[ 302.60312  304.34222 1550.8995 ],[ 300.1507   373.54077 1513.4214 ],[ 300.87656  226.24078 1563.0422 ],[ 337.5324  235.6263 1480.208 ],[ 328.034    203.03561 1508.2174 ],[ 213.06827  326.09787 1572.7717 ],[ 235.63864  353.73694 1367.475  ],[ 240.99112  360.29144 1326.4156 ],[ 336.79935  681.19366 1479.5284 ],[ 261.85446  398.32516 1477.5507 ]
