left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 365.58228  312.66223 1626.2352 ],[ 365.08923  373.7066  1575.7545 ],[ 367.02795  238.50937 1679.323  ],[ 413.1503   271.85858 1477.0541 ],[ 405.36688  258.0182  1456.6714 ],[ 260.7639   320.44202 1710.0652 ],[ 180.18646  305.69144 1681.8024 ],[ 163.7449  302.6816 1676.1498],[ 390.43427  704.9415  1341.1565 ],[ 329.41006  391.68173 1545.9844 ]
[ 364.9477  312.9752 1625.8229],[ 364.2603  374.0214 1575.5105],[ 365.65546  238.5888  1676.5865 ],[ 413.02017  269.99542 1482.8174 ],[ 405.20337  255.85687 1464.2981 ],[ 260.17816  321.30093 1711.1886 ],[ 180.07928  306.76196 1682.0641 ],[ 163.7255   303.79352 1676.2391 ],[ 385.08374  703.5958  1340.2012 ],[ 328.48816  391.77917 1545.6548 ]
[ 364.17242  313.3027  1625.4033 ],[ 363.0456   374.35638 1575.2529 ],[ 364.26147  238.66951 1673.5729 ],[ 412.0427   269.91592 1486.9025 ],[ 403.95145  255.6639  1470.1683 ],[ 259.5594  321.8623 1712.5286],[ 179.77768  307.84402 1682.0671 ],[ 163.47333  304.9792  1675.9749 ],[ 378.52026  702.0133  1338.1393 ],[ 327.0083   391.88104 1546.2891 ]
[ 363.44965  313.61014 1625.0408 ],[ 362.1247   374.68286 1574.9999 ],[ 363.03195  238.73676 1670.8722 ],[ 410.95917  269.93997 1492.7517 ],[ 402.6493  255.6956 1477.2861],[ 258.6621   322.10156 1712.5258 ],[ 178.98941  309.06955 1681.7947 ],[ 162.7042  306.4058 1675.6484],[ 371.76337  700.353   1325.0952 ],[ 325.89502  391.8416  1546.4109 ]
[ 362.38538  313.93097 1624.691  ],[ 360.73285  375.02643 1574.7316 ],[ 362.1607   238.79259 1668.3973 ],[ 411.35928  270.85968 1493.4888 ],[ 403.1793   256.52637 1478.4838 ],[ 257.74106  322.38562 1712.482  ],[ 178.206    309.79788 1681.03   ],[ 161.94048  307.2236  1674.7396 ],[ 360.3766   696.61633 1315.7302 ],[ 324.37497  391.7114  1546.4874 ]
[ 361.20102  314.2434  1624.408  ],[ 359.6988   375.38248 1574.4645 ],[ 361.09616  238.83562 1666.432  ],[ 410.68652  270.69287 1493.6393 ],[ 402.68436  256.3725  1478.3102 ],[ 256.5604  322.484  1712.5159],[ 177.07925  310.23254 1678.1328 ],[ 160.79059  307.72177 1671.2562 ],[ 345.15778  690.0959  1317.0431 ],[ 323.3872  391.7505 1546.5306]
[ 360.2387  314.6093 1624.102 ],[ 359.16907  375.80145 1574.1506 ],[ 360.36237  238.88144 1664.258  ],[ 410.474    271.64752 1494.2661 ],[ 402.6666   257.29022 1478.8505 ],[ 253.8611   321.57126 1712.8812 ],[ 174.30467  310.02344 1674.772  ],[ 157.95694  307.65054 1667.1501 ],[ 343.8921   689.86755 1324.4739 ],[ 322.90195  391.89444 1546.2953 ]
[ 359.8047   315.02603 1623.7944 ],[ 358.93195  376.269   1573.8606 ],[ 360.0379   238.92038 1662.3434 ],[ 407.26166  277.3892  1481.6221 ],[ 399.03653  263.921   1463.3027 ],[ 252.67365  321.29822 1713.5045 ],[ 173.23969  309.7489  1674.7002 ],[ 156.90909  307.3745  1666.9393 ],[ 350.06555  692.31305 1315.4053 ],[ 322.56512  391.88004 1546.9714 ]
[ 359.66064  315.54416 1623.473  ],[ 358.83084  376.84158 1573.5023 ],[ 359.95215  238.9418  1660.7509 ],[ 405.5096   274.38638 1495.5269 ],[ 397.4214  260.2805 1480.1012],[ 251.78049  320.83157 1713.31   ],[ 172.35101  309.6651  1674.2734 ],[ 156.01855  307.36905 1666.4661 ],[ 366.36182  698.64374 1307.7949 ],[ 322.36584  391.85114 1547.5566 ]
[ 359.59436  316.166   1623.1133 ],[ 358.7757   377.52716 1573.0577 ],[ 359.94443  238.90485 1659.0438 ],[ 405.4829   277.14548 1485.8639 ],[ 397.3086   263.47833 1468.5238 ],[ 254.03027  322.5368  1713.361  ],[ 174.90929  310.5303  1675.3652 ],[ 158.65248  308.06335 1667.7661 ],[ 383.10706  703.08923 1302.1885 ],[ 322.21606  391.80533 1548.171  ]
[ 359.55945  316.75864 1622.7382 ],[ 358.74237  378.2383  1572.5983 ],[ 359.94077  238.84445 1658.1884 ],[ 405.03842  280.3104  1476.2529 ],[ 396.75647  267.1832  1456.9541 ],[ 255.83936  323.8491  1713.0897 ],[ 176.93088  311.32474 1676.1753 ],[ 160.73026  308.75336 1668.7924 ],[ 376.88    701.7228 1303.9543],[ 322.0946   391.74338 1548.8739 ]
[ 359.5401   317.30258 1622.3885 ],[ 358.71997  378.9472  1572.1406 ],[ 359.9486   238.77814 1657.3987 ],[ 405.96808  281.13928 1472.0458 ],[ 397.87082  268.14172 1451.8376 ],[ 256.70947  324.45502 1712.1124 ],[ 177.86287  311.78912 1675.6356 ],[ 161.67981  309.18948 1668.3402 ],[ 368.60175  699.4346  1306.7153 ],[ 322.00354  391.665   1549.6091 ]
[ 359.5277   317.72833 1622.1111 ],[ 358.70386  379.57217 1571.7468 ],[ 359.95203  238.70827 1657.0125 ],[ 405.8642   281.83014 1468.8959 ],[ 397.7978   269.04193 1447.9047 ],[ 256.1142  323.8566 1710.7302],[ 177.14204  311.6082  1673.691  ],[ 160.92633  309.09317 1666.2832 ],[ 355.41382  694.51685 1313.0005 ],[ 321.94626  391.5924  1549.93   ]
[ 359.5198   318.00925 1621.8987 ],[ 358.69196  380.0762  1571.4424 ],[ 359.957   238.6442 1656.6658],[ 405.44223  280.35202 1469.4092 ],[ 397.48547  267.55035 1448.2004 ],[ 256.15558  323.32648 1709.3096 ],[ 177.0465   311.63098 1672.0886 ],[ 160.80016  309.22913 1664.6444 ],[ 351.36053  692.69006 1315.9923 ],[ 321.9426   391.57397 1549.6759 ]
[ 359.50626  318.11435 1622.0443 ],[ 358.68298  380.42383 1571.2708 ],[ 359.9568  238.5518 1656.575 ],[ 404.54376  278.81116 1468.4526 ],[ 396.58075  266.17792 1446.6432 ],[ 256.90616  322.7433  1707.5819 ],[ 177.64227  311.7381  1670.5985 ],[ 161.36649  309.47833 1663.2018 ],[ 355.27405  694.23846 1314.9617 ],[ 321.93628  391.4803  1549.3802 ]
[ 359.4945  318.0794 1622.2529],[ 358.6762   380.65897 1571.184  ],[ 359.95746  238.44011 1656.4878 ],[ 404.6117   278.90265 1468.3041 ],[ 396.60083  266.34018 1446.4062 ],[ 257.61115  322.4011  1705.7438 ],[ 178.21494  311.90558 1668.91   ],[ 161.91328  309.75064 1661.5433 ],[ 358.9751  695.6096 1314.5894],[ 321.93994  391.39178 1549.061  ]
[ 359.4842   317.94724 1622.494  ],[ 358.6709   380.81702 1571.1561 ],[ 359.9596  238.3257 1656.3894],[ 404.67902  279.03726 1468.1914 ],[ 396.629    266.54398 1446.1934 ],[ 258.04727  322.59863 1703.8793 ],[ 178.57947  312.1841  1667.2628 ],[ 162.2652   310.04608 1659.9396 ],[ 360.90482  696.25586 1315.6959 ],[ 321.94705  391.29376 1548.7607 ]
[ 359.47394  317.7409  1622.7661 ],[ 358.66614  380.9219  1571.1702 ],[ 359.96405  238.2171  1656.2936 ],[ 404.8659  279.6179 1468.3073],[ 396.69498  267.3189  1446.0518 ],[ 258.01703  322.53372 1701.8479 ],[ 178.4301   312.34988 1665.3539 ],[ 162.0923  310.2593 1658.055 ],[ 360.17188  695.8634  1319.0303 ],[ 321.88287  390.93127 1548.9335 ]
[ 359.46936  317.48297 1622.8666 ],[ 358.66214  380.99615 1571.1989 ],[ 359.97034  238.11209 1656.1373 ],[ 404.61505  280.70175 1468.4047 ],[ 396.43384  268.64856 1445.5421 ],[ 258.12888  322.50067 1699.539  ],[ 178.47963  312.40793 1665.5438 ],[ 162.15802  310.33972 1658.7448 ],[ 359.3842   695.10547 1318.8765 ],[ 321.83105  390.4803  1548.866  ]
