left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 400.03708  314.07407 1615.4121 ],[ 406.40295  374.4836  1558.2739 ],[ 396.4304   237.20605 1636.5409 ],[ 496.90533  425.22153 1441.2937 ],[ 499.68457  445.9815  1419.3793 ],[ 281.8416  309.9333 1570.3196],[ 222.05894  246.65552 1474.2784 ],[ 209.1554   232.99756 1455.0702 ],[ 442.19922  655.5149  1532.224  ],[ 374.17352  385.32928 1533.0547 ]
[ 400.05762  314.0651  1615.446  ],[ 406.23065  374.46042 1559.5729 ],[ 396.29718  237.18863 1638.2831 ],[ 497.43683  425.85242 1438.2275 ],[ 500.26434  446.6208  1415.7856 ],[ 277.11563  308.5601  1582.6326 ],[ 211.50974  249.82455 1495.4343 ],[ 197.4596   237.24579 1477.9946 ],[ 442.35358  655.6384  1532.0615 ],[ 374.13885  386.68658 1533.184  ]
[ 400.08755  314.0991  1615.4111 ],[ 406.13043  374.6603  1560.479  ],[ 396.2444  237.1796 1638.9493],[ 497.65192  426.60046 1438.0565 ],[ 500.46515  447.4011  1415.7017 ],[ 273.87408  308.50974 1602.683  ],[ 202.19116  257.7448  1517.7566 ],[ 186.88104  246.90239 1500.7714 ],[ 442.5708  655.7868 1531.8739],[ 373.8358  387.1008 1533.0485]
[ 400.12222  314.1543  1615.3595 ],[ 406.08948  374.96628 1560.9128 ],[ 396.23166  237.1756  1639.0858 ],[ 498.0231   427.09167 1437.1261 ],[ 500.84183  447.96582 1414.7184 ],[ 267.02826  301.82806 1616.6797 ],[ 186.69527  263.47446 1537.8469 ],[ 169.6301   255.32698 1522.0803 ],[ 442.71927  655.87604 1531.8127 ],[ 373.57056  387.05997 1532.8015 ]
[ 400.16083  314.20712 1615.2408 ],[ 406.03723  375.4378  1561.443  ],[ 396.23193  237.17152 1639.1007 ],[ 498.1882   426.23273 1437.8314 ],[ 500.927    446.73828 1415.8223 ],[ 267.8829  304.5456 1625.9854],[ 185.47455  274.06985 1560.78   ],[ 168.15965  267.66656 1547.739  ],[ 442.84732  656.1838  1531.8043 ],[ 373.34674  387.31326 1532.5623 ]
[ 400.20602  314.25534 1615.0898 ],[ 406.04465  375.88675 1561.453  ],[ 396.2387   237.16714 1639.0753 ],[ 498.3522   425.06274 1438.614  ],[ 501.07233  445.26688 1416.97   ],[ 272.171   308.5946 1643.1655],[ 190.08832  282.9623  1590.2488 ],[ 173.01184  277.6298  1579.6654 ],[ 442.90015  656.3759  1531.7957 ],[ 373.25397  387.36426 1532.3702 ]
[ 400.26886  314.30453 1614.9169 ],[ 406.08035  376.28    1561.285  ],[ 396.25076  237.16231 1639.0376 ],[ 498.41174  423.2138  1439.5612 ],[ 501.1405   443.16528 1418.2933 ],[ 273.1671   308.55334 1651.5479 ],[ 190.5643  289.385  1602.8755],[ 173.43808  285.4108  1593.141  ],[ 442.88452  656.9769  1531.8007 ],[ 373.23975  387.40942 1532.1814 ]
[ 400.35397  314.3535  1614.4116 ],[ 406.13745  376.63168 1560.8451 ],[ 396.26825  237.15353 1638.9126 ],[ 498.63998  422.98624 1437.6853 ],[ 501.34454  442.85043 1416.4202 ],[ 277.747    314.12286 1661.3085 ],[ 196.40486  294.35245 1623.8447 ],[ 179.68396  290.2884  1616.3519 ],[ 442.91388  657.2656  1531.5217 ],[ 373.25024  387.4502  1531.8589 ]
[ 400.44437  314.40506 1613.7144 ],[ 406.2057  376.9402 1560.1536],[ 396.28333  237.14244 1638.7356 ],[ 499.1925  424.5646 1432.298 ],[ 501.9183   444.72977 1410.5289 ],[ 287.5435  322.6095 1671.8551],[ 206.45322  301.55594 1642.6661 ],[ 189.88812  297.2551  1636.8284 ],[ 442.98883  657.694   1531.0736 ],[ 373.12878  387.37564 1531.8423 ]
[ 400.5397   314.46912 1613.0225 ],[ 406.27344  377.21783 1559.4767 ],[ 396.31284  237.13254 1638.3518 ],[ 499.78357  423.8176  1426.572  ],[ 502.48303  443.81552 1404.6306 ],[ 293.9826   327.08716 1671.5994 ],[ 213.19154  309.09683 1650.2583 ],[ 196.78192  305.44278 1645.9901 ],[ 443.06247  658.13385 1530.5464 ],[ 373.0637  387.3928 1531.5768]
