left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 407.3773   307.88095 1580.4873 ],[ 411.61945  372.1479  1536.6924 ],[ 405.99188  230.36928 1634.2429 ],[ 455.16116  264.86072 1424.199  ],[ 446.77307  253.1709  1399.1437 ],[ 344.8675   319.31607 1522.8947 ],[ 384.1189  321.7139 1310.1565],[ 393.55014  322.29004 1267.6089 ],[ 450.84137  672.3964  1503.3369 ],[ 376.5849   396.03574 1513.0886 ]
[ 407.87143  309.23746 1576.449  ],[ 411.81134  373.45135 1535.0194 ],[ 406.23468  230.10704 1633.7092 ],[ 457.04126  264.38504 1432.0256 ],[ 449.57645  252.5318  1406.3478 ],[ 342.30026  319.2998  1527.8225 ],[ 381.85797  312.7493  1320.5924 ],[ 391.30762  311.18448 1279.1464 ],[ 450.97488  667.3047  1509.485  ],[ 376.22513  392.31802 1513.0665 ]
[ 408.11237  309.0311  1577.4918 ],[ 411.87445  372.82864 1535.3716 ],[ 406.46112  228.50664 1634.398  ],[ 457.04523  268.0509  1435.8967 ],[ 449.77023  257.0909  1408.6572 ],[ 338.6005   316.99316 1530.1335 ],[ 373.92615  300.92444 1326.473  ],[ 382.33423  297.09982 1285.741  ],[ 450.60947  661.9194  1515.7384 ],[ 376.27322  387.43182 1513.1249 ]
[ 408.13904  307.37787 1582.9512 ],[ 411.75723  370.51544 1538.7732 ],[ 406.85275  226.26117 1636.0483 ],[ 455.84845  270.63565 1440.2616 ],[ 448.42096  260.57568 1412.0441 ],[ 362.13074  272.20584 1415.5198 ],[ 379.3075  292.0894 1194.3876],[ 383.5354   296.98358 1150.1611 ],[ 450.10342  659.6911  1516.3105 ],[ 376.75763  383.66086 1513.3237 ]
[ 408.98065  305.51767 1591.9058 ],[ 411.56665  367.89285 1545.341  ],[ 407.49414  224.76913 1638.3997 ],[ 456.98633  271.6279  1436.572  ],[ 449.6961   262.20663 1407.2782 ],[ 347.31592  260.9583  1407.5876 ],[ 369.53973  251.26848 1189.0076 ],[ 375.00244  248.88669 1145.2915 ],[ 448.77985  663.7069  1516.1268 ],[ 378.2016   388.32224 1513.8911 ]
[ 409.9502   304.88623 1599.9032 ],[ 411.40112  366.71457 1552.0314 ],[ 408.26154  224.94392 1640.4635 ],[ 460.24158  269.3507  1437.8391 ],[ 453.3386   259.43198 1408.9596 ],[ 327.15234  256.18845 1420.7036 ],[ 334.65735  240.31618 1202.0663 ],[ 336.49835  236.4227  1158.3389 ],[ 447.2424   666.97015 1517.8224 ],[ 379.10742  389.88525 1514.8511 ]
[ 410.1673   304.47726 1605.9285 ],[ 411.15283  365.97464 1557.9795 ],[ 408.91803  225.30475 1642.0687 ],[ 458.9655   269.76102 1440.9102 ],[ 451.64984  259.901   1412.7557 ],[ 317.02142  302.55258 1537.0496 ],[ 305.25656  258.95105 1350.9553 ],[ 302.50363  248.74846 1313.7365 ],[ 446.94556  666.1522  1519.036  ],[ 379.4907   389.52475 1515.7092 ]
[ 410.06323  304.2696  1611.0637 ],[ 410.82422  365.5393  1564.1195 ],[ 409.26825  225.6336  1643.5205 ],[ 456.09723  270.65332 1444.7839 ],[ 448.08813  260.9512  1417.6682 ],[ 307.06702  291.67038 1524.5024 ],[ 285.00003  237.13803 1357.8352 ],[ 279.9202   224.58467 1324.5017 ],[ 446.92154  663.5817  1520.7358 ],[ 379.63324  388.28717 1517.9137 ]
[ 409.96252  304.3736  1614.6757 ],[ 410.5804  365.4695 1568.4307],[ 409.63525  225.92198 1644.658  ],[ 456.31198  271.17676 1446.1606 ],[ 447.639   261.383  1420.5914],[ 292.49335  270.03378 1520.3123 ],[ 258.35687  223.07793 1343.9677 ],[ 250.4256   212.16823 1308.6987 ],[ 447.16638  659.86896 1523.6517 ],[ 379.2176   386.00198 1521.1033 ]
[ 409.93854  304.67142 1616.3337 ],[ 410.4676   365.65656 1570.2838 ],[ 410.07892  226.1905  1645.3141 ],[ 458.2332   270.82455 1444.5083 ],[ 448.8827  260.947  1420.2416],[ 283.0995   261.68365 1555.7478 ],[ 235.47354  218.2905  1388.9956 ],[ 224.54237  208.33084 1355.6451 ],[ 447.55585  655.84375 1528.2245 ],[ 377.90295  382.9834  1527.4937 ]
