left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 374.5459  312.6468 1611.4309],[ 374.7099   374.82364 1561.6318 ],[ 378.89746  233.66307 1648.3424 ],[ 440.50552  283.21262 1408.1815 ],[ 432.21594  274.28735 1378.4286 ],[ 252.57654  285.2861  1682.4015 ],[ 174.56667  274.32495 1697.1174 ],[ 159.12677  272.1555  1700.0607 ],[ 408.53427  691.1338  1297.2433 ],[ 339.67706  383.59927 1536.5927 ]
[ 373.46356  314.02258 1612.146  ],[ 373.466   376.4467 1560.258 ],[ 377.31277  235.65018 1648.4485 ],[ 436.98306  286.93378 1402.4327 ],[ 428.9418  278.1303 1372.05  ],[ 250.84897  288.1883  1682.133  ],[ 173.39932  273.99542 1696.7552 ],[ 158.06929  271.18616 1699.6797 ],[ 408.6867  690.8445 1292.3518],[ 338.37744  383.45462 1537.4064 ]
[ 372.377   314.3127 1613.3436],[ 372.1991  376.8903 1559.9005],[ 376.1631   236.49438 1648.6908 ],[ 431.394    282.61307 1384.4629 ],[ 425.29694  271.64597 1354.0045 ],[ 249.78503  289.656   1681.8372 ],[ 172.42789  273.83148 1696.0476 ],[ 157.11174  270.69833 1698.8896 ],[ 409.503   686.6846 1258.786 ],[ 336.9937   383.39774 1538.458  ]
[ 370.95517  314.24796 1614.6506 ],[ 370.69974  376.93457 1559.8936 ],[ 374.91104  236.90218 1648.9944 ],[ 423.4991  268.6988 1353.7305],[ 417.9427   255.07204 1326.0847 ],[ 248.69948  290.25052 1681.6755 ],[ 170.97388  273.90964 1694.2646 ],[ 155.56715  270.67053 1696.7825 ],[ 410.8832   685.42096 1250.6782 ],[ 335.30243  383.4196  1539.6757 ]
[ 369.66425  314.0362  1616.0424 ],[ 369.42053  376.80722 1560.0146 ],[ 373.8136   237.09735 1649.331  ],[ 424.19827  261.25995 1323.4794 ],[ 419.69092  247.27655 1294.8358 ],[ 244.73752  285.81577 1682.3008 ],[ 166.55475  274.405   1691.5334 ],[ 151.0205   272.13776 1693.38   ],[ 410.76288  689.96295 1278.5693 ],[ 333.93304  383.57892 1540.4977 ]
[ 368.03888  313.7413  1617.5018 ],[ 368.00677  376.58234 1560.2296 ],[ 372.77896  237.1757  1649.6942 ],[ 427.47113  263.48163 1312.0444 ],[ 423.78146  250.34122 1281.2827 ],[ 241.94531  282.2287  1682.7787 ],[ 163.22134  275.00882 1685.4667 ],[ 147.50668  273.5676  1686.0043 ],[ 408.2331   690.15375 1285.8062 ],[ 332.48782  383.9599  1541.5123 ]
[ 366.7206   313.47015 1619.0764 ],[ 366.7247   376.35797 1560.454  ],[ 371.72897  237.21158 1650.0966 ],[ 396.1502   196.73183 1196.3491 ],[ 386.05435  181.14369 1115.7682 ],[ 241.05104  281.59943 1682.8507 ],[ 161.96365  275.2478  1677.0631 ],[ 146.08064  273.9722  1675.9056 ],[ 399.83853  689.92456 1294.1323 ],[ 331.15796  384.47446 1543.0798 ]
[ 365.2437   313.25034 1620.7072 ],[ 365.14255  376.1706  1560.6545 ],[ 370.40247  237.22658 1650.5256 ],[ 430.73523  284.8335  1375.1583 ],[ 419.70496  265.0907  1310.0135 ],[ 240.5859   280.17578 1683.2515 ],[ 161.888   275.3844 1674.0167],[ 146.04414  274.41977 1672.1698 ],[ 390.7345  690.214  1313.6486],[ 329.68536  385.57816 1544.2864 ]
[ 363.93542  313.10327 1622.304  ],[ 363.88525  376.0544  1560.7957 ],[ 369.0982   237.23232 1650.9669 ],[ 428.71588  284.91696 1344.3123 ],[ 425.2282   264.87198 1272.6997 ],[ 239.64859  280.21786 1683.4098 ],[ 161.08203  275.481   1672.5327 ],[ 145.24594  274.5262  1670.3573 ],[ 390.07745  691.7602  1321.4973 ],[ 328.89362  387.37936 1544.1166 ]
[ 363.23013  313.05    1623.7849 ],[ 363.1589   376.03333 1560.8502 ],[ 368.14307  237.2359  1651.3857 ],[ 435.56818  290.10007 1320.1292 ],[ 440.84503  273.21478 1242.1183 ],[ 239.82523  281.90207 1683.5546 ],[ 161.24936  275.53867 1671.5093 ],[ 145.39807  274.25497 1669.1002 ],[ 390.63843  691.09845 1310.4658 ],[ 328.2652   387.65558 1544.0192 ]
[ 362.28082  313.0949  1625.2281 ],[ 362.1015  376.0536 1560.869 ],[ 367.11575  237.23022 1651.8103 ],[ 430.13086  297.99008 1341.4584 ],[ 427.83994  283.52798 1263.9922 ],[ 239.54462  282.87396 1683.7211 ],[ 161.0253   275.55582 1670.1016 ],[ 145.16751  274.07785 1667.3777 ],[ 393.38263  691.37683 1307.75   ],[ 327.37756  388.23584 1544.034  ]
[ 361.03687  313.18958 1627.0403 ],[ 360.64075  376.04984 1560.9307 ],[ 365.98526  237.21326 1652.4861 ],[ 422.90747  313.45493 1351.1401 ],[ 413.6865   306.61084 1272.9237 ],[ 239.53606  284.12845 1684.3816 ],[ 160.82407  275.77243 1669.0706 ],[ 144.90807  274.08282 1666.0083 ],[ 395.53925  691.5126  1307.326  ],[ 326.04236  388.8462  1544.251  ]
[ 360.18234  312.48065 1629.0096 ],[ 359.5362  375.227  1561.8602],[ 365.191   236.366  1653.5304],[ 431.07715  318.0234  1356.1661 ],[ 427.98175  315.8537  1315.6654 ],[ 240.10666  285.26108 1684.9701 ],[ 160.98672  276.04874 1669.0565 ],[ 144.98134  274.18515 1665.8738 ],[ 395.61847  690.9135  1308.404  ],[ 324.97726  389.34464 1544.4722 ]
[ 359.53412  311.605   1631.26   ],[ 358.61893  374.27353 1563.7855 ],[ 364.17172  235.4098  1656.1018 ],[ 430.4718  313.7988 1375.6907],[ 426.83566  310.7817  1335.7494 ],[ 239.40372  284.7205  1686.0333 ],[ 159.639    276.15762 1668.4811 ],[ 143.48424  274.42337 1664.9706 ],[ 395.23706  689.8372  1312.2557 ],[ 323.85925  388.9239  1544.7338 ]
[ 359.3479   310.69928 1633.4796 ],[ 358.2627   373.33325 1566.2999 ],[ 363.34418  234.50084 1659.716  ],[ 430.6441  313.9893 1385.7428],[ 426.5406   311.41214 1346.1075 ],[ 238.29218  283.25284 1687.3684 ],[ 158.56432  276.1352  1668.2753 ],[ 142.39925  274.69208 1664.4567 ],[ 394.48206  688.32275 1318.8512 ],[ 323.47302  388.55475 1544.8301 ]
[ 359.18002  310.02835 1635.2329 ],[ 358.0799   372.67517 1569.0282 ],[ 362.76038  233.8698  1662.9246 ],[ 428.33734  317.3413  1382.8617 ],[ 423.61475  315.7202  1342.9165 ],[ 240.04031  286.42795 1687.2603 ],[ 160.06961  276.36954 1668.7977 ],[ 143.86267  274.33112 1665.1052 ],[ 393.74042  687.24304 1317.8488 ],[ 323.36334  388.16162 1544.9991 ]
