left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 403.85342  308.17276 1595.5902 ],[ 410.1333   376.32965 1543.7953 ],[ 400.72498  230.37141 1600.7339 ],[ 503.98962  422.65536 1426.5676 ],[ 507.5417   442.99524 1407.7996 ],[ 325.95392  321.34943 1527.7778 ],[ 301.5032   358.86237 1310.0781 ],[ 295.60443  367.91245 1266.5382 ],[ 402.10416  618.55145 1208.4161 ],[ 377.11288  390.41415 1510.157  ]
[ 406.1156   308.82358 1589.9972 ],[ 412.28607  377.2369  1538.2941 ],[ 401.53906  230.33495 1599.8124 ],[ 503.62106  422.97006 1428.5457 ],[ 507.08868  443.26834 1410.151  ],[ 323.26636  317.32706 1506.9249 ],[ 320.58264  309.0829  1281.4551 ],[ 319.9284   307.07324 1236.3611 ],[ 469.61224  694.86884 1366.0065 ],[ 377.76044  390.40866 1511.3052 ]
[ 407.34015  309.66965 1586.508  ],[ 413.10815  378.08942 1534.6832 ],[ 403.063    230.32715 1599.4478 ],[ 503.44113  423.92606 1429.4911 ],[ 506.84808  444.25174 1411.2731 ],[ 321.4285  295.5763 1455.9619],[ 318.3309   281.36166 1230.9915 ],[ 317.57037  277.8716  1185.9973 ],[ 418.14874  672.1854  1233.9849 ],[ 377.82935  389.8259  1512.2217 ]
[ 406.79962  310.46884 1586.9836 ],[ 413.1223  378.5349 1534.6982],[ 403.5865   230.35004 1600.2441 ],[ 503.42432  421.65735 1429.8873 ],[ 506.90088  441.8171  1411.5914 ],[ 304.5846   272.21747 1440.9495 ],[ 306.9542   260.15463 1214.9015 ],[ 307.53802  257.1826  1169.6919 ],[ 441.00983  691.6323  1250.9172 ],[ 377.8033   389.66504 1514.0018 ]
[ 406.026   311.0974 1588.0405],[ 412.96484  378.78827 1535.2997 ],[ 403.18253  230.36382 1601.7555 ],[ 502.49152  419.94263 1434.2316 ],[ 505.87164  440.08957 1416.5262 ],[ 295.7608  285.6606 1480.7883],[ 289.01135  254.98538 1265.9258 ],[ 287.37686  247.55688 1222.9532 ],[ 464.19885  700.5989  1279.2673 ],[ 377.68115  389.54102 1515.9329 ]
[ 405.16605  311.5603  1589.2322 ],[ 412.80304  378.87112 1535.9713 ],[ 402.66086  230.37563 1603.7598 ],[ 502.35675  418.1036  1434.5156 ],[ 505.79773  438.1818  1416.5927 ],[ 292.3325   283.65903 1485.7134 ],[ 271.99838  233.40169 1294.9757 ],[ 267.19092  221.51971 1256.8281 ],[ 436.6391  695.728  1288.7446],[ 377.5238   389.16672 1518.0266 ]
[ 404.19568  311.84827 1590.52   ],[ 412.55295  378.7962  1536.9426 ],[ 402.03247  230.38376 1606.6935 ],[ 502.24133  418.0657  1434.7367 ],[ 505.66034  438.1179  1416.7756 ],[ 283.1478   274.48785 1480.1602 ],[ 251.91425  213.37146 1311.1366 ],[ 244.67563  199.20724 1277.3319 ],[ 419.0468   689.34845 1293.521  ],[ 377.1729   388.67905 1521.07   ]
[ 403.43887  312.00818 1591.8743 ],[ 412.28003  378.62717 1538.0183 ],[ 401.4482   230.38754 1609.9984 ],[ 502.23517  418.55673 1434.7002 ],[ 505.6278   438.61417 1416.6929 ],[ 273.43915  257.95248 1479.6252 ],[ 223.34517  198.30692 1324.2455 ],[ 211.8818  184.6578 1293.1696],[ 429.50342  693.25195 1296.991  ],[ 376.82767  388.18314 1523.7278 ]
[ 402.5845   312.07626 1593.3428 ],[ 411.4453  378.4175 1539.2953],[ 400.84113  230.3708  1613.2275 ],[ 502.35858  420.22897 1433.7151 ],[ 505.67328  440.3399  1415.5677 ],[ 264.46277  240.61298 1494.665  ],[ 193.09521  193.23267 1357.3755 ],[ 177.05351  182.58272 1329.9176 ],[ 431.7282  693.0085 1296.4158],[ 376.04443  387.84863 1524.7557 ]
[ 402.14322  311.38007 1595.1049 ],[ 410.09375  377.38324 1540.5151 ],[ 400.36768  229.7451  1616.1221 ],[ 502.2561   419.32758 1434.9869 ],[ 505.49078  439.4539  1416.9209 ],[ 261.36658  235.06947 1500.2346 ],[ 177.08478  196.9745  1400.6787 ],[ 158.76996  188.6963  1380.7676 ],[ 437.2953  692.9508 1301.9849],[ 374.85468  387.39832 1526.0531 ]
[ 401.90546  310.10623 1597.635  ],[ 408.96277  375.44797 1541.6675 ],[ 399.98102  228.7278  1618.4475 ],[ 502.42587  419.39755 1434.7465 ],[ 505.58783  439.54922 1416.5486 ],[ 255.36293  235.40456 1525.511  ],[ 166.78307  206.86725 1451.0645 ],[ 147.96509  200.80475 1436.1752 ],[ 444.88428  691.2476  1309.5388 ],[ 374.19403  386.43564 1525.4456 ]
[ 401.68274  308.19012 1601.1628 ],[ 407.8208   372.75027 1543.9929 ],[ 399.64078  227.33408 1620.0979 ],[ 502.287   417.4146 1436.3687],[ 505.4209  437.5271 1418.1532],[ 252.03932  236.42894 1559.7979 ],[ 163.34476  214.73026 1491.5422 ],[ 144.62273  210.15    1477.8911 ],[ 444.05484  686.49164 1332.8975 ],[ 373.44727  384.73068 1524.7534 ]
[ 401.54724  306.11816 1603.4121 ],[ 407.37146  370.23547 1547.7736 ],[ 399.44595  225.92177 1620.9863 ],[ 502.08188  414.60675 1438.733  ],[ 505.173    434.65204 1420.5505 ],[ 251.30974  238.02953 1586.8777 ],[ 163.69325  218.35388 1527.7621 ],[ 145.34995  214.23462 1515.939  ],[ 446.81482  686.1147  1329.5422 ],[ 373.24945  383.63547 1524.2828 ]
[ 401.44852  303.391   1604.8839 ],[ 407.0308   367.37265 1552.1458 ],[ 399.3864  223.9767 1621.4917],[ 501.8665   411.96313 1441.0946 ],[ 504.92365  431.94186 1422.9467 ],[ 251.07455  240.80046 1603.8145 ],[ 164.80043  220.2639  1556.3926 ],[ 146.91086  216.0055  1546.9082 ],[ 453.50705  686.3034  1324.4432 ],[ 373.0735   382.49734 1524.2405 ]
[ 401.3687   300.90863 1606.0712 ],[ 406.75037  364.97034 1555.9728 ],[ 399.34106  222.36818 1621.8346 ],[ 501.6457   410.20215 1442.8479 ],[ 504.76923  430.12988 1424.7092 ],[ 252.25252  244.39359 1626.9218 ],[ 167.6301  223.2349 1583.8812],[ 150.15071  218.8644  1575.2731 ],[ 456.81586  685.88666 1317.0994 ],[ 373.16818  382.44345 1524.4993 ]
[ 401.2984   299.33655 1607.216  ],[ 406.5924  363.5332 1558.2037],[ 399.35388  221.62141 1622.1599 ],[ 501.81046  410.24457 1443.0239 ],[ 504.99213  430.16492 1424.8834 ],[ 254.03914  248.3603  1644.356  ],[ 170.40698  227.72656 1603.705  ],[ 153.16919  223.47363 1595.5747 ],[ 452.41245  685.445   1312.2068 ],[ 373.1648  382.4752 1524.6567]
[ 401.26483  298.6473  1607.7892 ],[ 406.50183  363.00577 1559.0734 ],[ 399.3852   221.62328 1622.2954 ],[ 502.03162  411.41718 1441.1165 ],[ 505.21368  431.34863 1422.9587 ],[ 254.60619  248.2229  1656.5923 ],[ 170.70816  233.79424 1624.1146 ],[ 153.52429  230.83899 1617.6191 ],[ 439.1015   683.90234 1327.6547 ],[ 373.03278  382.5647  1524.7651 ]
[ 401.19553  298.06427 1609.1387 ],[ 406.39035  362.56003 1560.0094 ],[ 399.42062  221.6171  1622.6454 ],[ 502.75012  414.95172 1436.678  ],[ 505.88293  434.92767 1418.3752 ],[ 253.35524  248.23546 1666.939  ],[ 170.06438  235.827   1638.5286 ],[ 153.0584   233.29349 1632.8464 ],[ 433.09656  682.70306 1332.2854 ],[ 372.8155   382.59467 1525.201  ]
[ 401.1233  297.7105 1610.5703],[ 406.28748  362.33463 1560.7998 ],[ 399.4486   221.72331 1623.0283 ],[ 503.03687  416.08884 1434.146  ],[ 506.17883  436.04764 1415.9902 ],[ 253.7887   248.52293 1667.519  ],[ 170.73428  239.60974 1646.2341 ],[ 153.86502  237.79938 1641.9772 ],[ 436.82764  683.7744  1335.0405 ],[ 372.50888  382.64377 1526.3475 ]
[ 401.04425  297.44293 1612.1675 ],[ 406.04843  362.1783  1561.6613 ],[ 399.48462  221.78416 1623.4652 ],[ 503.2798   416.96082 1431.6205 ],[ 506.39008  436.94803 1413.8428 ],[ 254.31291  248.6945  1672.3267 ],[ 171.71918  241.14424 1654.6746 ],[ 154.9885   239.61479 1651.1442 ],[ 435.11212  683.6047  1328.8765 ],[ 371.73123  382.40384 1529.6753 ]
[ 400.97992  297.27292 1613.49   ],[ 405.77222  362.11795 1562.4039 ],[ 399.52094  221.81944 1623.836  ],[ 503.6166   417.80136 1428.2168 ],[ 506.7442   437.85434 1410.897  ],[ 255.01106  250.27925 1676.8434 ],[ 172.82794  243.13748 1662.1368 ],[ 156.21649  241.69395 1659.1956 ],[ 430.63522  682.6258  1312.3145 ],[ 370.81024  382.35153 1535.33   ]
[ 400.91122  297.18765 1614.9276 ],[ 405.2785   362.12112 1563.1283 ],[ 399.55844  221.84625 1624.2418 ],[ 503.81268  418.46317 1424.9843 ],[ 507.12827  438.52872 1407.9839 ],[ 255.9111   252.50232 1680.5846 ],[ 174.14142  244.49841 1665.5597 ],[ 157.61014  242.88031 1662.5547 ],[ 431.12878  683.55145 1309.5793 ],[ 369.5475   381.97076 1543.677  ]
[ 400.88306  297.18103 1615.564  ],[ 404.76883  362.22668 1563.6454 ],[ 399.60254  221.86562 1624.4398 ],[ 504.0962   418.39435 1419.265  ],[ 507.80887  438.4694  1401.4089 ],[ 257.11078  254.92644 1680.3916 ],[ 175.86786  245.63356 1669.8799 ],[ 159.49638  243.76093 1667.7776 ],[ 431.9068  685.1672 1312.7705],[ 368.84082  381.9123  1548.5402 ]
[ 400.85626  297.23126 1615.8627 ],[ 403.77814  362.38138 1564.2181 ],[ 399.65002  221.87808 1624.5481 ],[ 504.61847  418.82516 1408.5106 ],[ 508.69705  438.9443  1388.597  ],[ 257.6396   255.68835 1680.794  ],[ 176.40039  246.75851 1670.5674 ],[ 160.03308  244.95941 1668.5221 ],[ 432.51434  686.7761  1315.4294 ],[ 367.6309   381.26593 1552.7422 ]
[ 400.83264  297.34457 1615.9838 ],[ 402.14676  362.55545 1564.4305 ],[ 399.70435  221.88696 1624.6215 ],[ 503.91418  417.83945 1404.4573 ],[ 507.87106  437.89163 1383.7471 ],[ 258.68802  257.42337 1681.7258 ],[ 177.91165  247.37283 1671.7324 ],[ 161.64034  245.34825 1669.7338 ],[ 433.36066  687.5312  1318.2941 ],[ 366.1606   381.67963 1551.8059 ]
[ 400.8113  297.4673 1616.0242],[ 400.47125  362.69244 1564.4729 ],[ 399.75348  221.89499 1624.6718 ],[ 502.0661  417.051  1406.2943],[ 505.67224  437.02957 1385.8723 ],[ 259.5887   257.50998 1683.3868 ],[ 179.15176  247.8583  1673.7323 ],[ 162.9529   245.91463 1671.8014 ],[ 433.9534   687.59247 1318.0098 ],[ 364.5366   382.26132 1550.7133 ]
[ 400.7873   297.58276 1616.0382 ],[ 399.32205  362.81488 1564.5056 ],[ 399.7674   221.90276 1624.7163 ],[ 500.20532  415.65356 1408.0342 ],[ 503.48627  435.55716 1387.8678 ],[ 261.09985  257.80975 1685.5804 ],[ 181.0221   248.01656 1675.917  ],[ 164.8956   246.04437 1673.9843 ],[ 434.4699  687.3336 1317.6549],[ 363.29907  382.67426 1550.0775 ]
