left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 315.93573  306.87796 1521.5759 ],[ 313.94684  382.83878 1479.8121 ],[ 323.34125  221.72285 1528.0181 ],[ 359.7183   281.47504 1380.9866 ],[ 350.82312  265.59082 1361.8982 ],[ 218.58162  325.05548 1587.9858 ],[ 226.3263   399.13983 1411.9392 ],[ 228.11292  416.23032 1376.7299 ],[ 355.20868  708.5589  1466.5225 ],[ 271.21143  395.15802 1451.729  ]
[ 315.68842  306.93597 1521.1041 ],[ 313.7144   382.96252 1479.3501 ],[ 323.07587  221.71555 1527.5585 ],[ 360.14987  280.60098 1381.2103 ],[ 351.3748  264.7519 1361.733 ],[ 221.30585  326.93082 1580.8737 ],[ 230.88055  402.6104  1408.6462 ],[ 233.08348  420.02267 1374.2008 ],[ 354.47247  708.607   1465.8024 ],[ 271.50598  395.91827 1452.4282 ]
[ 315.43857  306.99448 1520.5585 ],[ 313.43915  383.07983 1478.934  ],[ 322.7979  221.7091 1527.2126],[ 360.80347  279.89615 1380.4725 ],[ 352.15674  264.0627  1360.6263 ],[ 220.89034  327.1067  1571.9972 ],[ 237.29575  399.72354 1397.7867 ],[ 241.0801   416.47455 1362.9447 ],[ 353.7467   708.93097 1464.3208 ],[ 271.85773  398.3125  1453.6882 ]
[ 315.3118   307.09143 1519.3578 ],[ 313.20163  383.25775 1478.3765 ],[ 322.5609   221.70097 1526.6969 ],[ 360.36224  279.5708  1380.124  ],[ 351.64215  263.8465  1359.9984 ],[ 221.2015   329.45505 1552.5631 ],[ 237.92593  401.76407 1374.8792 ],[ 241.80331  418.52814 1339.3424 ],[ 353.13757  709.9288  1460.9368 ],[ 272.70847  402.82715 1455.1312 ]
[ 315.2355   307.19638 1518.1268 ],[ 313.03564  381.8982  1478.6838 ],[ 322.3436   221.69403 1526.2976 ],[ 360.35974  279.19724 1379.6842 ],[ 351.63043  263.53662 1359.3193 ],[ 224.1232   332.57498 1543.4308 ],[ 241.7369   397.66394 1351.395  ],[ 245.87791  412.9665  1312.9879 ],[ 352.5789   711.20276 1457.0094 ],[ 273.46857  405.87357 1456.3934 ]
[ 315.25534  307.57623 1516.9569 ],[ 312.88443  381.18436 1479.2574 ],[ 322.1745   221.68983 1526.0096 ],[ 360.40146  278.87927 1378.2592 ],[ 351.63556  263.23657 1357.8289 ],[ 227.27196  334.5295  1542.4296 ],[ 250.08984  380.7346  1333.2443 ],[ 255.54047  391.77185 1291.4072 ],[ 352.28745  712.56085 1454.448  ],[ 273.22452  407.08533 1455.8448 ]
[ 315.28787  308.2395  1515.7468 ],[ 312.8527   381.04782 1479.5663 ],[ 322.07648  221.70113 1525.7372 ],[ 359.4228   277.00464 1374.4751 ],[ 350.5299  261.1426 1353.7954],[ 234.33905  338.29816 1528.8064 ],[ 261.63016  368.82446 1310.9958 ],[ 268.214    376.18875 1267.4337 ],[ 352.4045  712.3786 1454.5648],[ 272.81628  407.3379  1455.1562 ]
[ 315.34338  309.33237 1514.5643 ],[ 312.88263  381.51187 1479.8843 ],[ 321.92072  221.7149  1525.496  ],[ 358.60684  275.6723  1371.7314 ],[ 349.59772  259.52557 1350.6561 ],[ 235.11717  339.56216 1501.2977 ],[ 269.98734  358.60303 1284.1511 ],[ 278.42606  363.211   1240.7218 ],[ 352.5095  712.5293 1454.4196],[ 272.55    408.3306 1454.5636]
[ 315.3913   310.48093 1513.0692 ],[ 312.88663  382.11697 1479.3386 ],[ 321.74384  221.72495 1525.2015 ],[ 356.6228   272.28455 1368.2827 ],[ 347.5066   255.87613 1346.5734 ],[ 230.44385  338.89594 1478.9377 ],[ 272.93506  341.59048 1268.4596 ],[ 283.18353  342.24036 1226.364  ],[ 352.3866  712.744  1454.3622],[ 272.56216  408.52856 1453.848  ]
[ 315.4326   311.17102 1511.153  ],[ 312.83566  382.32678 1477.9247 ],[ 321.54382  221.71776 1524.8113 ],[ 357.08313  273.1231  1369.971  ],[ 347.97552  256.90387 1348.4899 ],[ 226.2081   335.96695 1470.7205 ],[ 265.0744  323.7041 1264.6871],[ 274.41846  320.75592 1223.4805 ],[ 352.0963   712.60266 1454.3844 ],[ 272.9684   408.30557 1453.8433 ]
