left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 372.11145  309.37292 1608.8066 ],[ 368.86584  376.23633 1563.8641 ],[ 377.9454   231.25345 1615.0073 ],[ 394.94122  265.75586 1439.0719 ],[ 373.62308  239.97    1398.4326 ],[ 273.37415  298.94272 1702.7031 ],[ 189.51341  287.6084  1672.918  ],[ 172.38165  285.2929  1666.9609 ],[ 404.06223  671.094   1543.823  ],[ 333.2688   386.40833 1537.2354 ]
[ 372.13354  309.45184 1608.7902 ],[ 368.8515   376.66928 1563.6315 ],[ 378.11163  231.92662 1614.991  ],[ 393.87393  267.05768 1437.982  ],[ 372.12646  241.64828 1397.2892 ],[ 272.65933  299.82996 1701.9233 ],[ 188.9856  288.9595 1685.9116],[ 172.05975  286.7606  1682.7092 ],[ 404.18396  671.07776 1543.8027 ],[ 333.20123  386.45956 1537.1769 ]
[ 372.102    310.50128 1608.7062 ],[ 368.80203  378.02573 1562.8075 ],[ 378.28983  233.467   1614.9586 ],[ 392.41156  269.35327 1437.5885 ],[ 369.94714  244.60773 1396.9564 ],[ 272.51447  301.0906  1704.7817 ],[ 189.73602  290.42752 1698.2537 ],[ 173.10391  288.28506 1696.948  ],[ 404.32977  670.99646 1543.8934 ],[ 333.15402  386.52597 1537.1056 ]
[ 372.03946  311.82367 1608.5945 ],[ 368.7379  379.6055 1561.7461],[ 378.49994  235.21005 1614.919  ],[ 391.50555  271.28433 1437.3594 ],[ 368.7546   246.95177 1396.389  ],[ 272.42657  301.5764  1709.5087 ],[ 190.69716  290.01602 1713.5564 ],[ 174.39758  287.7105  1714.366  ],[ 404.45877  670.82587 1543.9924 ],[ 333.11774  386.5058  1537.0726 ]
[ 371.97876  313.28748 1608.4465 ],[ 368.7228   381.28903 1560.5568 ],[ 378.74982  237.08302 1614.8453 ],[ 389.8684   273.37598 1437.5161 ],[ 366.59204  249.71864 1396.1688 ],[ 272.10263  300.7628  1717.987  ],[ 189.9422   289.85855 1709.637  ],[ 173.41373  287.66492 1707.9669 ],[ 404.61664  670.63885 1544.1687 ],[ 333.14276  386.45255 1537.0642 ]
[ 371.98578  314.1644  1608.3423 ],[ 368.9061  380.9627 1560.7396],[ 379.25635  238.36441 1614.7618 ],[ 388.52234  275.23044 1439.2339 ],[ 364.73578  252.16899 1397.9152 ],[ 271.64005  301.4436  1719.5072 ],[ 189.67055  289.7228  1707.3438 ],[ 173.1363   287.35858 1704.911  ],[ 404.86954  670.42255 1544.3513 ],[ 333.25864  386.33142 1537.1367 ]
[ 372.02823  314.50504 1608.2831 ],[ 369.11853  380.4085  1561.102  ],[ 379.75592  239.0821  1614.6907 ],[ 388.28485  275.77692 1440.2754 ],[ 364.37018  252.69722 1399.5168 ],[ 271.58328  301.5531  1721.316  ],[ 190.02069  289.73383 1709.0059 ],[ 173.56697  287.3495  1706.5438 ],[ 405.1311   670.21814 1544.5433 ],[ 333.41772  386.34717 1537.2761 ]
[ 371.8844   316.51578 1608.0846 ],[ 369.25165  381.81335 1560.0206 ],[ 380.21213  239.76485 1614.6047 ],[ 388.9112   276.50705 1440.6652 ],[ 365.17053  253.08517 1400.5094 ],[ 271.39868  301.96863 1723.7599 ],[ 190.19717  289.7091  1710.1337 ],[ 173.80135  287.23373 1707.4084 ],[ 405.3319  670.1877 1544.5377],[ 333.5712   386.33606 1537.4479 ]
[ 371.75073  318.31116 1607.909  ],[ 369.39453  383.1834  1558.9143 ],[ 380.4088  240.4802 1614.5161],[ 389.5073   277.25497 1440.4668 ],[ 365.82135  253.43454 1401.4155 ],[ 271.15112  302.37585 1723.961  ],[ 190.41243  289.63892 1711.8982 ],[ 174.12796  287.06995 1709.4856 ],[ 405.4781   670.29944 1544.4447 ],[ 333.72723  386.32776 1537.6028 ]
[ 371.69376  319.7435  1607.7916 ],[ 369.55276  384.26572 1557.9926 ],[ 380.5025   241.03586 1614.4397 ],[ 390.51123  278.4873  1439.9109 ],[ 366.87854  254.00084 1402.9055 ],[ 271.30807  302.49356 1724.9478 ],[ 190.80595  289.69647 1713.0327 ],[ 174.57095  287.11566 1710.6497 ],[ 405.62183  670.40283 1544.3887 ],[ 333.86716  386.30453 1537.947  ]
[ 371.6662   321.04236 1607.6974 ],[ 369.71448  385.25534 1557.1069 ],[ 380.57236  241.62935 1614.3627 ],[ 391.2516   279.73788 1439.3687 ],[ 367.4967   254.71701 1404.6732 ],[ 271.6189  303.0724 1725.2922],[ 191.13817  289.879   1711.1915 ],[ 174.88258  287.21417 1708.3713 ],[ 405.77216  670.5267  1544.311  ],[ 333.98715  386.28934 1538.3176 ]
[ 371.63998  321.91046 1607.6409 ],[ 369.86298  385.84647 1556.541  ],[ 380.5149   241.92146 1614.293  ],[ 389.66498  278.0484  1437.0564 ],[ 365.29636  253.389   1402.6737 ],[ 271.66284  303.323   1725.8207 ],[ 191.14714  289.92758 1710.9033 ],[ 174.87521  287.2204  1707.9198 ],[ 405.9116  670.6441 1544.2343],[ 334.06863  386.27667 1538.6471 ]
