left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 370.762    321.69934 1682.2732 ],[ 369.27017  388.1775  1629.113  ],[ 373.5548   247.82347 1728.0248 ],[ 417.08325  281.61942 1519.9167 ],[ 409.79608  267.87747 1501.2849 ],[ 273.21747  330.01047 1750.8931 ],[ 199.30727  302.73224 1708.9453 ],[ 184.08766  297.1151  1700.5558 ],[ 398.8966  699.9107 1391.0063],[ 334.9934   394.14923 1612.1061 ]
[ 370.55576  321.70755 1682.3354 ],[ 369.196    388.20007 1629.6158 ],[ 373.377    247.81894 1728.2068 ],[ 419.7496   280.63126 1519.8983 ],[ 412.94403  266.5774  1501.4648 ],[ 272.5454  329.7706 1751.6293],[ 198.66766  302.5696  1708.9128 ],[ 183.44667  296.96542 1700.3695 ],[ 398.3463  700.219  1385.6936],[ 334.8442   394.26233 1612.4805 ]
[ 370.463    321.72025 1682.4033 ],[ 369.16498  388.2225  1630.1067 ],[ 373.22018  247.81534 1728.4294 ],[ 420.1703   281.03113 1518.2418 ],[ 413.55212  267.01895 1499.2295 ],[ 271.78113  329.61044 1751.7601 ],[ 197.93231  302.37604 1708.9043 ],[ 182.71582  296.7644  1700.3331 ],[ 398.76773  700.4945  1381.8254 ],[ 334.77493  394.5013  1612.6671 ]
[ 370.43655  321.73312 1682.477  ],[ 369.15857  388.24295 1630.6298 ],[ 373.08533  247.81165 1728.6857 ],[ 422.41522  279.45694 1523.3975 ],[ 416.2229   265.14633 1504.9231 ],[ 271.52997  329.90463 1751.0897 ],[ 197.90036  302.0892  1708.5238 ],[ 182.73195  296.35898 1700.0106 ],[ 399.2968  700.6968 1377.2881],[ 334.73087  394.74463 1612.9858 ]
[ 370.42657  321.75458 1682.5681 ],[ 369.15625  388.27002 1631.1503 ],[ 372.99393  247.80821 1728.9319 ],[ 420.59787  281.27652 1525.0209 ],[ 413.87915  267.351   1506.2556 ],[ 272.19846  330.49536 1751.2306 ],[ 198.8393  302.1476 1708.6857],[ 183.7269  296.3078 1700.1766],[ 400.19223  700.9954  1380.4336 ],[ 334.69385  395.0429  1613.3146 ]
[ 370.41763  321.79245 1682.6471 ],[ 369.15118  388.31207 1631.5554 ],[ 372.86105  247.80504 1729.193  ],[ 423.39484  280.99237 1522.171  ],[ 417.11652  267.00217 1502.6937 ],[ 273.1821   331.41568 1750.9868 ],[ 200.18063  302.3089  1708.7323 ],[ 185.14493  296.31393 1700.2814 ],[ 401.12363  700.9992  1383.8958 ],[ 334.66492  395.2852  1613.8124 ]
[ 370.41284  321.84344 1682.7233 ],[ 369.14453  388.36588 1631.8771 ],[ 372.80035  247.80133 1729.4343 ],[ 424.3687  281.4078 1522.5277],[ 418.053    267.53067 1502.7736 ],[ 274.8662   332.68637 1750.3038 ],[ 202.29797  302.64877 1708.7175 ],[ 187.3584   296.46494 1700.4003 ],[ 402.3196  700.9855 1386.4131],[ 334.68695  395.68985 1614.3129 ]
[ 370.41306  321.93857 1682.8229 ],[ 369.143   388.4601 1631.9945],[ 372.78702  247.80235 1729.5469 ],[ 425.7339   280.57404 1526.8744 ],[ 419.49988  266.57385 1507.611  ],[ 274.92047  333.09836 1749.0968 ],[ 202.70813  302.18484 1707.5298 ],[ 187.8417   295.82065 1699.2164 ],[ 404.08398  701.0799  1384.5565 ],[ 334.7453  396.2605 1614.6089]
[ 370.4173   322.05905 1682.899  ],[ 369.17657  388.58218 1632.0497 ],[ 372.78558  247.80473 1729.6082 ],[ 425.42242  282.17444 1524.6653 ],[ 418.9743  268.4864 1504.6526],[ 275.85043  334.22156 1747.3832 ],[ 204.12961  302.1704  1706.0936 ],[ 189.36684  295.57312 1697.8357 ],[ 406.40485  701.1106  1384.5809 ],[ 334.68896  396.2983  1615.097  ]
[ 370.41956  322.21045 1683.1267 ],[ 369.21906  388.72824 1632.1315 ],[ 372.78558  247.8101  1729.7174 ],[ 424.76837  283.16718 1523.5562 ],[ 418.2481  269.6421 1503.0986],[ 275.43958  334.4985  1745.4333 ],[ 204.1929   301.37238 1702.3999 ],[ 189.50914  294.54517 1693.7932 ],[ 408.53366  701.1099  1384.6592 ],[ 334.65356  396.3568  1616.0931 ]
