left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 353.27295  303.56805 1612.3667 ],[ 352.10208  367.74023 1567.4812 ],[ 357.62085  225.32047 1618.3407 ],[ 377.3095  269.0062 1453.5576],[ 355.4329   249.03871 1412.1337 ],[ 263.0857   297.06357 1664.2598 ],[ 186.73073  300.64142 1604.5903 ],[ 170.77316  301.38913 1592.6565 ],[ 387.0611  645.7894 1533.0342],[ 316.42288  382.49823 1534.2668 ]
[ 355.7627  303.5017 1610.9576],[ 354.4907   367.65375 1566.0314 ],[ 360.14917  225.35242 1615.9158 ],[ 381.10986  267.13538 1450.497  ],[ 359.61694  246.99603 1408.3563 ],[ 266.99484  296.98145 1664.4716 ],[ 190.82208  301.24402 1604.4744 ],[ 174.8988   302.13507 1592.475  ],[ 389.2896   646.44385 1531.7988 ],[ 318.78653  382.43906 1533.6378 ]
[ 358.8365   303.43027 1609.5731 ],[ 357.21848  367.57706 1564.6885 ],[ 362.90228  225.36003 1613.6847 ],[ 381.7535   267.23193 1450.7886 ],[ 359.65     247.64632 1409.0892 ],[ 269.85205  296.2168  1660.9613 ],[ 193.5809  300.8839 1602.6389],[ 177.65565  301.8584  1590.9745 ],[ 392.0655  646.515  1531.2928],[ 321.57532  382.41785 1532.391  ]
[ 361.30338  303.2749  1608.2616 ],[ 359.52518  367.43692 1563.3121 ],[ 365.83728  225.32077 1611.9252 ],[ 381.32898  266.45688 1450.0999 ],[ 359.08942  247.23535 1407.7661 ],[ 273.97888  296.67627 1661.3304 ],[ 197.87543  300.75946 1602.4395 ],[ 181.97852  301.6124  1590.6613 ],[ 394.2893   646.84576 1530.2076 ],[ 323.9313   382.33524 1531.3081 ]
[ 364.32086  303.1866  1606.5813 ],[ 362.23047  367.38977 1561.4918 ],[ 368.67145  225.28975 1609.8787 ],[ 380.24036  264.64212 1447.5349 ],[ 357.5335   246.19394 1404.3373 ],[ 277.7496   298.77698 1660.5303 ],[ 201.66699  300.9007  1603.1436 ],[ 185.79211  301.3438  1591.6663 ],[ 397.0147  647.0768 1528.8542],[ 326.79968  382.46594 1528.9268 ]
[ 366.175   303.0651 1604.5756],[ 363.89215  367.34302 1558.8439 ],[ 371.13702  225.24094 1607.4354 ],[ 382.0328   266.26074 1448.8398 ],[ 359.80115  246.51384 1407.7081 ],[ 278.4802  298.1965 1658.657 ],[ 202.28441  300.19736 1602.8231 ],[ 186.40375  300.61435 1591.6564 ],[ 398.24966  648.3026  1525.7472 ],[ 328.62033  382.52213 1526.2787 ]
[ 367.455    302.96408 1601.937  ],[ 365.0385   367.37018 1555.7568 ],[ 373.3343   225.18846 1604.8986 ],[ 384.3822  267.696  1450.0957],[ 362.87408  246.89546 1409.9911 ],[ 279.4551  297.786  1656.9686],[ 203.17654  299.3007  1602.3859 ],[ 187.29295  299.6161  1591.4694 ],[ 399.22852  649.021   1522.657  ],[ 330.027    382.83917 1522.6586 ]
[ 368.90964  302.9654  1597.8895 ],[ 366.26053  367.5652  1551.778  ],[ 375.46252  225.1332  1602.0753 ],[ 385.90607  265.0131  1446.1625 ],[ 364.79584  244.68535 1403.3461 ],[ 281.6077  296.7038 1655.6123],[ 205.28766  297.86987 1602.8647 ],[ 189.41689  298.11237 1592.3152 ],[ 400.39233  649.9152  1518.1848 ],[ 331.4973   383.30634 1517.8884 ]
[ 370.94586  302.99112 1595.1804 ],[ 368.05914  367.7255  1549.7761 ],[ 377.8863   225.09686 1599.9124 ],[ 388.71167  262.31952 1441.018  ],[ 367.56158  242.93773 1395.7759 ],[ 283.19846  295.22787 1653.5748 ],[ 206.79129  296.1907  1602.5042 ],[ 190.92169  296.3907  1592.29   ],[ 402.31992  649.82806 1517.0012 ],[ 333.28845  383.55783 1517.3142 ]
[ 372.7041   303.04358 1592.2704 ],[ 369.87158  367.9184  1547.8887 ],[ 380.14603  225.05792 1597.9962 ],[ 391.60425  264.89224 1444.8057 ],[ 369.55124  245.52904 1402.6343 ],[ 283.85464  294.9122  1651.5459 ],[ 207.3573   295.35446 1601.36   ],[ 191.47879  295.44626 1591.3228 ],[ 404.4599   649.67645 1515.3513 ],[ 335.00455  383.7385  1516.5244 ]
