left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 387.96207  311.96396 1595.0972 ],[ 392.03778  379.97034 1538.8914 ],[ 387.2091   232.22734 1613.4607 ],[ 487.56616  432.12836 1401.4379 ],[ 490.93823  452.90048 1380.2548 ],[ 260.20752  301.38922 1648.4436 ],[ 173.99306  307.79385 1578.7744 ],[ 155.82895  309.14322 1564.8406 ],[ 430.56122  665.48737 1513.4729 ],[ 356.423    393.55914 1517.933  ]
[ 386.84186  312.20157 1594.0753 ],[ 391.15057  380.20706 1538.6608 ],[ 386.66794  232.18005 1613.2098 ],[ 485.47876  432.5619  1398.1053 ],[ 488.67862  453.41925 1377.3378 ],[ 260.27136  300.771   1648.472  ],[ 173.98941  307.24615 1582.9818 ],[ 155.86917  308.606   1569.8838 ],[ 429.68082  665.6036  1513.5873 ],[ 355.54276  393.68915 1517.4695 ]
[ 385.47333  312.42053 1593.0646 ],[ 389.8776   380.40872 1538.4506 ],[ 385.27008  232.15929 1612.9597 ],[ 481.377    431.52344 1395.7316 ],[ 484.16833  452.33398 1375.4603 ],[ 259.7404   301.09622 1648.4626 ],[ 173.83598  306.91525 1583.2678 ],[ 155.7991   308.13702 1570.2289 ],[ 428.3498  665.7992 1513.5404],[ 354.31006  393.81287 1517.0413 ]
[ 384.21075  312.6119  1592.0355 ],[ 388.53613  380.59625 1538.3468 ],[ 383.50192  232.14622 1612.7034 ],[ 479.9846  429.3052 1393.6605],[ 482.72784  449.98096 1373.0472 ],[ 258.60858  301.6177  1648.3977 ],[ 173.13394  307.14224 1581.498  ],[ 155.16385  308.3037  1568.1182 ],[ 426.89255  666.4205  1512.9506 ],[ 352.97455  393.89594 1516.7609 ]
[ 383.32837  312.76465 1591.027  ],[ 387.54034  380.75302 1538.2865 ],[ 381.74615  232.1315  1612.451  ],[ 479.485    427.66153 1392.1882 ],[ 482.19193  448.33484 1371.3572 ],[ 257.1755   302.22028 1648.3894 ],[ 171.62337  307.32007 1579.0605 ],[ 153.60349  308.39426 1565.1948 ],[ 425.68713  667.8375  1511.646  ],[ 351.89896  393.88184 1516.7487 ]
[ 382.68613  312.88077 1590.0117 ],[ 386.73505  380.8703  1538.219  ],[ 380.32233  232.11676 1612.1549 ],[ 478.97855  426.55515 1388.9037 ],[ 481.67648  447.2775  1367.5613 ],[ 255.17413  301.7744  1648.298  ],[ 169.41159  307.43204 1575.8947 ],[ 151.30464  308.62653 1561.414  ],[ 424.70636  669.2487  1509.3066 ],[ 350.91095  393.72607 1516.9548 ]
[ 381.911   312.9774 1589.0599],[ 385.79037  380.96115 1538.1687 ],[ 378.9547   232.10193 1611.8746 ],[ 478.47485  427.3026  1384.5326 ],[ 481.09174  448.1252  1362.2656 ],[ 255.30948  306.03717 1647.7134 ],[ 169.16518  307.7825  1572.999  ],[ 150.9449   308.15164 1558.0562 ],[ 423.45264  671.1936  1506.163  ],[ 349.83304  393.70065 1516.5615 ]
[ 381.51575  313.05215 1588.1664 ],[ 385.3552   381.01883 1538.1295 ],[ 377.8598   232.08504 1611.6068 ],[ 477.84607  426.59488 1381.8041 ],[ 480.4691   447.51538 1358.8527 ],[ 257.9947   310.12064 1646.93   ],[ 171.57782  308.17224 1571.8408 ],[ 153.2941  307.76   1556.823 ],[ 422.74884  672.61316 1504.0326 ],[ 349.32178  393.79086 1516.4314 ]
[ 381.11618  313.1274  1587.1812 ],[ 385.04156  381.07285 1538.0798 ],[ 376.9297   232.06717 1611.3163 ],[ 476.593    428.12057 1379.9266 ],[ 478.96765  449.17865 1356.5673 ],[ 250.5462   305.44293 1646.8997 ],[ 163.52858  307.7551  1561.4993 ],[ 144.97025  308.24823 1544.4192 ],[ 422.38284  673.0565  1501.0258 ],[ 348.91028  393.79626 1516.3999 ]
[ 380.61642  313.2234  1586.1967 ],[ 384.6437   381.14136 1538.0116 ],[ 376.28888  232.05313 1611.0294 ],[ 475.13892  427.87234 1380.4341 ],[ 477.35315  449.02603 1357.1464 ],[ 249.98587  305.0177  1646.4418 ],[ 162.45744  307.09702 1561.853  ],[ 143.8016  307.5402 1544.9353],[ 422.2306  672.3828 1501.0435],[ 348.4361  393.8219 1516.3208]
