left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 338.38028  328.01373 1717.4492 ],[ 335.80215  387.92844 1667.5769 ],[ 344.31616  252.84024 1747.5903 ],[ 359.328    353.78998 1381.1958 ],[ 345.3802  372.2281 1302.2126],[ 237.10327  259.5848  1539.5587 ],[ 271.69174  195.23097 1418.0164 ],[ 287.554    165.71834 1368.4712 ],[ 313.53067  669.9294  1419.8335 ],[ 303.01285  396.72876 1645.231  ]
[ 338.23062  325.90887 1716.997  ],[ 335.7583   385.66998 1667.0359 ],[ 344.8474  251.8566 1747.6797],[ 389.57516  273.65048 1596.0559 ],[ 378.4485   245.86409 1557.631  ],[ 236.03867  248.0498  1545.2957 ],[ 262.1557   182.81598 1406.9546 ],[ 274.24008  152.63228 1350.9927 ],[ 321.17804  672.18005 1415.5667 ],[ 303.59308  395.88092 1642.5323 ]
[ 338.20844  324.41473 1717.1234 ],[ 335.7611   384.04764 1667.3907 ],[ 345.0867   251.18915 1748.486  ],[ 389.13104  278.0137  1595.7727 ],[ 377.1425  249.896  1561.2471],[ 227.78363  249.6983  1567.3889 ],[ 248.21745  180.09619 1432.8138 ],[ 257.45447  148.63295 1379.2808 ],[ 338.0636  677.6536 1406.4565],[ 303.4269   394.33606 1641.7249 ]
[ 338.2373  323.5891 1717.7772],[ 335.79034  383.1544  1668.399  ],[ 345.19147  250.85982 1749.8647 ],[ 369.3405   236.73474 1608.4769 ],[ 361.34314  205.61623 1631.5049 ],[ 222.9755  249.3564 1586.344 ],[ 227.08978  176.78949 1444.6769 ],[ 228.0114   160.53409 1416.3435 ],[ 345.59015  678.0384  1400.2682 ],[ 303.38345  394.42725 1640.9489 ]
[ 338.25806  323.09576 1718.5192 ],[ 335.80432  382.65613 1669.4222 ],[ 345.22278  250.67197 1751.8553 ],[ 389.90802  276.7633  1590.7051 ],[ 377.58377  247.85262 1560.5845 ],[ 216.18105  248.77196 1617.7554 ],[ 206.53517  177.26854 1468.7257 ],[ 204.36624  161.1905  1438.9198 ],[ 339.55255  674.7636  1393.2568 ],[ 303.09842  394.31424 1642.9836 ]
[ 338.26776  322.6936  1719.2571 ],[ 335.81296  382.29565 1670.3601 ],[ 345.21182  250.48262 1754.7095 ],[ 388.21136  277.1062  1584.7319 ],[ 375.0631   248.59921 1553.7422 ],[ 213.86848  248.93039 1632.6775 ],[ 187.05598  178.4238  1487.961  ],[ 181.05522  162.64407 1459.0178 ],[ 298.48376  651.6884  1409.1224 ],[ 302.8131   394.19943 1645.7426 ]
[ 338.35852  322.43036 1720.0182 ],[ 335.82248  382.10358 1671.475  ],[ 345.19635  250.3909  1758.4274 ],[ 385.77185  276.28864 1576.3323 ],[ 371.5285   248.23651 1544.6818 ],[ 211.88876  248.68521 1655.233  ],[ 167.20401  184.13976 1515.8358 ],[ 157.26239  169.77942 1487.9564 ],[ 295.59906  645.6952  1400.9843 ],[ 302.56     393.97162 1649.3766 ]
[ 338.44183  322.2708  1720.7467 ],[ 335.8297  382.0326 1672.4813],[ 345.17834  250.32703 1761.8528 ],[ 385.3137   272.89438 1570.8271 ],[ 370.79718  244.58437 1540.2802 ],[ 210.3521   248.65408 1675.8452 ],[ 157.21739  189.06084 1544.2567 ],[ 145.48495  175.90234 1517.939  ],[ 295.20975  645.2664  1404.5396 ],[ 302.63892  394.04037 1648.7185 ]
[ 338.46753  322.2006  1721.3936 ],[ 335.8239   382.02997 1673.2898 ],[ 344.7439   250.28761 1764.9583 ],[ 385.07684  272.43076 1566.6455 ],[ 370.3083   244.62375 1533.5945 ],[ 208.98439  248.15068 1695.1354 ],[ 146.12875  195.76851 1582.8912 ],[ 132.47252  184.38777 1560.4424 ],[ 299.35815  648.61505 1407.2233 ],[ 302.75854  394.04416 1648.467  ]
[ 338.4792   322.22833 1721.8633 ],[ 335.81284  382.111   1673.9092 ],[ 344.20764  250.27686 1766.9436 ],[ 384.9619  272.7231 1562.9266],[ 369.87054  245.58046 1527.1976 ],[ 207.6961   246.85927 1714.2456 ],[ 133.68819  210.55322 1615.5254 ],[ 117.78779  202.75296 1595.7814 ],[ 303.87228  650.5336  1404.3303 ],[ 302.88565  393.9751  1648.4387 ]
