left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 287.16074  331.38956 1598.4071 ],[ 284.93277  395.75903 1547.0894 ],[ 289.25058  248.61407 1604.015  ],[ 312.01038  294.31528 1462.7095 ],[ 288.8173   267.83658 1430.6509 ],[ 180.84242  322.11047 1694.3644 ],[  93.97374  325.1122  1609.9614 ],[  75.49544  325.75073 1593.0808 ],[ 320.34668  674.64374 1543.7496 ],[ 248.0279   391.70218 1536.204  ]
[ 287.2658   332.21063 1598.6395 ],[ 284.79565  396.3641  1546.4377 ],[ 289.08435  249.41954 1603.9459 ],[ 314.0173   292.52927 1458.053  ],[ 291.5229   264.95856 1427.9286 ],[ 181.71057  321.9422  1701.9554 ],[  95.7789   325.73276 1612.6307 ],[  77.437416  326.54184  1594.7657  ],[ 320.33572  674.5327  1543.9379 ],[ 248.12868  392.56113 1535.2838 ]
[ 287.39005  332.44135 1598.9214 ],[ 284.76257  396.4694  1547.0276 ],[ 288.91666  249.64342 1603.8663 ],[ 314.3025  293.0927 1457.9526],[ 291.634    265.64822 1427.9553 ],[ 182.76384  322.36746 1705.2201 ],[  97.30458  327.3054  1614.7554 ],[  79.05065  328.3601  1596.6625 ],[ 320.53717  674.77997 1544.0187 ],[ 248.32289  394.46063 1534.7126 ]
[ 287.4735  332.4138 1599.229 ],[ 284.76968  396.4346  1547.7646 ],[ 288.69855  249.61507 1603.7622 ],[ 312.71704  292.18967 1454.2611 ],[ 289.38242  264.7041  1426.5658 ],[ 184.659    323.59372 1707.3326 ],[  99.56656  327.94324 1613.6808 ],[  81.34894  328.87442 1594.9504 ],[ 320.73422  675.06445 1544.026  ],[ 248.23065  394.85632 1533.2644 ]
[ 287.55872  332.332   1599.5197 ],[ 284.81256  396.52582 1548.9341 ],[ 288.48007  249.53534 1603.6558 ],[ 312.91864  292.34543 1455.7534 ],[ 289.4572  265.3882 1425.9982],[ 185.46445  323.95172 1706.6334 ],[ 100.76363  329.07724 1610.5862 ],[  82.59657  330.1766  1591.3767 ],[ 321.0224   675.58936 1544.0934 ],[ 248.12878  395.41962 1531.0692 ]
[ 287.62704  332.25208 1599.6936 ],[ 284.83987  396.64957 1549.6609 ],[ 288.33676  249.4552  1603.51   ],[ 312.19275  291.17975 1453.9224 ],[ 288.45508  264.18295 1425.116  ],[ 186.2961   325.06143 1706.9777 ],[ 102.00291  330.1908  1608.5546 ],[  83.8911   331.29294 1588.87   ],[ 321.18497  675.95404 1544.1818 ],[ 248.0623  395.4328 1529.3057]
[ 287.68698  330.54007 1599.8391 ],[ 284.92358  394.9334  1550.7689 ],[ 288.31824  249.37369 1603.3408 ],[ 312.8455   291.31876 1456.1581 ],[ 289.03525  264.83667 1425.4073 ],[ 188.86813  325.3194  1706.2461 ],[ 104.80996  330.55234 1609.6306 ],[  86.772705  331.67523  1590.3075  ],[ 321.21796  675.4346  1544.3535 ],[ 248.2299  395.282  1527.8302]
[ 287.75986  329.17987 1599.9374 ],[ 285.635    393.44357 1551.4891 ],[ 288.34805  249.29887 1603.1111 ],[ 313.24622  291.77963 1454.2302 ],[ 289.10718  265.1184  1425.6873 ],[ 186.72797  325.70932 1704.1683 ],[ 102.72557  331.6697  1604.524  ],[  84.65735  332.95172 1584.5952 ],[ 321.7715  674.9921 1544.4619],[ 248.90912  394.89362 1527.3031 ]
[ 288.48996  328.0507  1599.9974 ],[ 287.50232  391.91772 1551.402  ],[ 288.6932   249.23206 1602.8842 ],[ 314.76462  293.20953 1457.6312 ],[ 290.5664   267.30563 1426.3158 ],[ 188.64754  325.38986 1701.4663 ],[ 104.91243  333.1385  1599.3248 ],[  86.86534  334.8085  1578.8965 ],[ 323.3624   674.17914 1544.3693 ],[ 250.59308  393.70236 1528.5737 ]
[ 289.91574  327.14307 1600.0404 ],[ 290.0755  392.0596 1550.2644],[ 289.4475   249.09152 1602.6599 ],[ 312.89816  291.1246  1451.0985 ],[ 287.58325  265.33896 1422.8824 ],[ 194.56093  317.02686 1684.9902 ],[ 110.896164  334.5367   1598.7949  ],[  93.068886  338.2677   1581.5559  ],[ 325.5343   674.21533 1544.0511 ],[ 252.8781  392.6305 1529.822 ]
[ 292.00708  325.4643  1600.1008 ],[ 292.46738  391.205   1549.9882 ],[ 290.45374  247.70207 1602.4403 ],[ 315.186    292.84256 1452.626  ],[ 289.3723   268.06512 1422.3878 ],[ 200.3284   296.12662 1662.137  ],[ 121.333244  333.96533  1598.4769  ],[ 104.7731   341.89767 1585.7449 ],[ 327.73892  673.9457  1543.7545 ],[ 255.08426  391.60876 1530.42   ]
[ 294.43207  323.70908 1600.1399 ],[ 294.38416  390.10986 1549.787  ],[ 292.28372  245.96869 1602.2141 ],[ 317.44275  291.74475 1453.5999 ],[ 291.63776  267.648   1420.4833 ],[ 202.32468  287.02127 1650.427  ],[ 124.70407  331.03738 1588.602  ],[ 108.449265  340.25494  1576.237   ],[ 329.56586  673.35986 1543.5698 ],[ 257.06747  390.47696 1529.4589 ]
[ 297.61252  321.8981  1600.1603 ],[ 296.8706   388.82645 1550.3868 ],[ 295.1471   244.24585 1601.9615 ],[ 322.67215  291.44205 1454.6486 ],[ 296.507    268.27292 1419.9271 ],[ 204.19232  282.19174 1643.1487 ],[ 128.67566  329.16354 1577.7852 ],[ 112.81523  339.02884 1564.7124 ],[ 332.18146  672.75214 1543.4613 ],[ 259.74072  389.73062 1527.9274 ]
[ 300.17172  320.27658 1600.1332 ],[ 299.02713  387.61877 1550.956  ],[ 298.34198  242.95255 1601.652  ],[ 327.0357   290.10074 1453.728  ],[ 301.56784  266.54858 1417.8368 ],[ 202.98044  289.53915 1639.0142 ],[ 125.087524  332.6937   1566.5016  ],[ 108.63549  341.8085  1551.999  ],[ 334.4491  672.3017 1542.9646],[ 261.7493   387.96982 1527.2375 ]
[ 301.33334  320.35175 1600.059  ],[ 300.06912  386.95395 1551.1522 ],[ 300.9684   241.91342 1601.2869 ],[ 326.07416  285.2043  1450.4736 ],[ 301.44385  261.0742  1412.5991 ],[ 196.57535  318.31308 1656.3583 ],[ 111.513916  339.86487  1553.2941  ],[  93.12886  344.52304 1532.6813 ],[ 335.57327  672.04736 1542.3048 ],[ 262.6745  386.8588 1526.9319]
[ 301.91486  319.92593 1600.0062 ],[ 300.58154  386.26126 1551.3896 ],[ 303.11975  240.62158 1600.9482 ],[ 325.01318  281.92554 1446.522  ],[ 300.5776  258.1546 1405.8004],[ 197.22147  319.9582  1654.5375 ],[ 112.21721  340.29764 1550.636  ],[  93.83081  344.69705 1529.8557 ],[ 336.13907  671.73126 1541.9484 ],[ 263.26978  386.9467  1526.2773 ]
[ 303.00858  319.1085  1599.9456 ],[ 301.00012  385.3187  1551.8029 ],[ 305.18915  239.12425 1600.5834 ],[ 326.64807  281.32672 1444.7745 ],[ 302.755   257.3642 1402.8368],[ 199.94531  317.94775 1651.2494 ],[ 115.87442  341.36298 1547.9414 ],[  97.69545  346.42615 1527.2798 ],[ 336.71085  671.44055 1541.5477 ],[ 263.8035  387.0003 1525.2662]
[ 304.1212   318.66602 1596.9513 ],[ 302.24698  384.9556  1549.8596 ],[ 306.99283  238.00127 1599.4543 ],[ 333.78418  286.4235  1451.3303 ],[ 311.10657  261.58035 1410.4722 ],[ 201.36136  316.58612 1649.5214 ],[ 120.44662  347.21967 1535.0204 ],[ 102.79319  353.9031  1512.1202 ],[ 338.1888  671.4232 1540.9485],[ 264.88635  387.21188 1523.2859 ]
[ 305.7692   318.28134 1592.6871 ],[ 304.34503  384.70657 1546.4987 ],[ 308.56976  236.9739  1597.9486 ],[ 335.9865  286.1259 1450.5875],[ 313.6901   261.18878 1408.9985 ],[ 202.95274  316.0984  1646.8895 ],[ 126.06406  354.58603 1526.1078 ],[ 109.202354  363.02637  1501.9514  ],[ 340.50745  671.38336 1539.9371 ],[ 266.80725  387.58636 1520.8347 ]
[ 307.99426  317.7364  1587.3848 ],[ 306.79904  384.33395 1542.3975 ],[ 310.13007  235.81442 1595.0829 ],[ 338.69055  286.5076  1448.3584 ],[ 316.29547  262.10266 1405.356  ],[ 206.62224  317.61127 1643.3595 ],[ 134.86401  362.30975 1511.0941 ],[ 118.97807  372.20517 1484.641  ],[ 342.95804  672.0946  1538.0269 ],[ 269.0492   387.78967 1518.1016 ]
[ 310.5552   317.67236 1582.9602 ],[ 309.5976  384.4052 1538.676 ],[ 311.8784   235.23468 1591.6029 ],[ 345.04797  285.72955 1443.4934 ],[ 323.20703  261.65277 1398.0089 ],[ 212.7844  321.6706 1640.0499],[ 142.88776  366.47653 1499.4563 ],[ 127.30548  376.46527 1471.3375 ],[ 345.78174  672.5864  1535.5697 ],[ 271.7997   387.91452 1515.337  ]
