left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 339.84558  324.21545 1739.1785 ],[ 349.32767  385.29117 1693.6436 ],[ 317.7271  257.6635 1783.0991],[ 363.09064  276.49567 1569.6936 ],[ 351.47534  268.65967 1547.7052 ],[ 220.45447  339.0671  1798.2087 ],[ 149.50056  318.36594 1792.7239 ],[ 120.507774  309.90714  1790.4923  ],[ 384.07367  658.88275 1646.1545 ],[ 318.79587  407.8355  1676.2274 ]
[ 341.82803  323.39957 1739.9663 ],[ 350.78873  385.2995  1695.6011 ],[ 318.24744  257.547   1783.3201 ],[ 361.9548   276.44305 1570.143  ],[ 350.23743  268.7751  1548.1255 ],[ 202.5758   315.01227 1821.887  ],[ 127.87917  315.23227 1796.4792 ],[  96.84923  315.32364 1786.1317 ],[ 385.33527  661.0301  1644.9447 ],[ 320.32587  409.2794  1683.5125 ]
[ 343.247   322.9114 1740.5516],[ 351.4046   385.59348 1697.1095 ],[ 318.61758  257.48288 1783.4991 ],[ 361.47913  276.22772 1570.2322 ],[ 349.7793   268.65747 1547.9054 ],[ 204.24963  314.44034 1834.0833 ],[ 129.78757  312.08838 1802.7357 ],[  98.69012  311.10614 1789.9591 ],[ 385.57172  662.83325 1644.661  ],[ 320.64703  409.47522 1686.9185 ]
[ 343.7941   322.76282 1740.903  ],[ 351.68207  385.83743 1698.0461 ],[ 318.765   257.462  1783.6244],[ 361.83752  276.2164  1570.0269 ],[ 350.17566  268.6169  1547.5806 ],[ 204.73991  315.74423 1834.2762 ],[ 130.91376  307.3049  1805.112  ],[ 100.11525  303.78424 1793.2178 ],[ 385.5353   662.57886 1645.0127 ],[ 320.58282  408.58398 1686.59   ]
[ 344.08612  323.03098 1742.2366 ],[ 351.7671  386.1952 1699.8356],[ 319.19077  257.51407 1784.0234 ],[ 362.2972   276.21365 1569.7842 ],[ 350.6381   268.55536 1547.204  ],[ 207.05511  319.44107 1833.2733 ],[ 134.48022  303.48666 1805.8282 ],[ 119.69971  300.2374  1800.3392 ],[ 385.41537  662.16205 1646.152  ],[ 320.45242  408.48355 1686.2891 ]
[ 344.6075   323.75433 1743.2296 ],[ 351.8676   386.89444 1702.0972 ],[ 320.47122  257.65018 1784.3483 ],[ 363.47336  276.557   1570.3186 ],[ 351.84555  268.8102  1547.7767 ],[ 205.12216  315.03485 1832.6542 ],[ 132.0761  299.5962 1802.4662],[ 117.17228  296.4462  1796.4286 ],[ 385.0221   662.20734 1646.9536 ],[ 320.11005  407.43182 1686.6111 ]
[ 345.0813   324.14276 1744.0101 ],[ 351.86356  387.0249  1703.1942 ],[ 322.25244  256.9633  1784.6613 ],[ 365.80054  276.93564 1571.1389 ],[ 354.37317  269.01907 1548.2965 ],[ 207.42017  315.35974 1833.131  ],[ 134.09254  299.71475 1798.2468 ],[ 119.08429  296.51263 1791.27   ],[ 384.80243  660.45233 1648.3854 ],[ 319.69443  405.67078 1686.8691 ]
[ 345.5991   324.48907 1744.7672 ],[ 351.85822  386.81656 1704.1093 ],[ 324.48178  255.86148 1785.0095 ],[ 368.0575   276.29196 1569.3187 ],[ 356.7046   267.94458 1545.4884 ],[ 213.1617  319.9374 1828.4733],[ 138.43651  301.8566  1787.8507 ],[ 123.082115  298.1414   1779.7262  ],[ 384.60693  660.6348  1650.3909 ],[ 319.5697   404.99158 1686.8925 ]
[ 346.02264  324.5233  1745.7981 ],[ 351.81302  385.92368 1705.4349 ],[ 326.75226  254.3159  1785.6312 ],[ 371.19305  274.89612 1565.0691 ],[ 360.1051   266.02634 1540.3546 ],[ 215.47667  319.91376 1813.9786 ],[ 137.71933  305.4673  1763.1395 ],[ 121.62663  302.47745 1752.9717 ],[ 384.39172  660.5062  1653.3787 ],[ 319.44775  403.44424 1686.9932 ]
[ 346.48096  324.71207 1746.6407 ],[ 352.0014   386.65488 1703.7958 ],[ 329.1242   252.98616 1786.2485 ],[ 374.9555   275.75967 1567.9122 ],[ 364.17694  266.90527 1542.7258 ],[ 216.53647  317.822   1798.8525 ],[ 136.1765  319.8116 1730.2849],[ 119.33412  320.2286  1716.5714 ],[ 384.5763  660.6418 1655.6816],[ 319.6047  403.2715 1687.0206]
