left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 350.28275  317.51373 1809.7188 ],[ 348.78342  381.5261  1740.1383 ],[ 351.29666  240.48814 1779.6442 ],[ 380.8713   298.84726 1574.4637 ],[ 371.1245  290.852  1541.2172],[ 244.4786   309.46036 1821.5533 ],[ 171.43756  270.1681  1749.1733 ],[ 156.09792  261.91614 1734.6974 ],[ 387.41797  630.1748  1754.1647 ],[ 317.88342  383.48642 1728.5154 ]
[ 350.4456   317.49826 1809.8672 ],[ 348.68616  381.63043 1742.9578 ],[ 351.33905  240.48532 1779.6284 ],[ 380.8523  298.8713 1574.2825],[ 371.10864  290.87122 1541.1923 ],[ 243.56808  308.6966  1821.7499 ],[ 170.408    270.01617 1748.4484 ],[ 155.03365  261.8876  1733.7881 ],[ 387.45746  629.68256 1754.4215 ],[ 317.9411   382.70856 1727.6132 ]
[ 350.60455  317.48233 1810.0159 ],[ 348.59442  381.71603 1745.7303 ],[ 351.38046  240.48245 1779.6101 ],[ 380.87582  298.9287  1574.334  ],[ 371.14648  290.93417 1541.3584 ],[ 242.90512  308.1383  1821.9021 ],[ 169.64612  270.0176  1747.9126 ],[ 154.24373  262.00287 1733.1147 ],[ 387.5019   629.12494 1754.7275 ],[ 318.17087  382.20108 1727.247  ]
[ 350.68008  317.46088 1810.22   ],[ 348.4879  381.8031 1749.1378],[ 351.4006   240.47856 1779.6046 ],[ 380.9912  299.0566 1574.7339],[ 371.28943  291.08795 1541.7914 ],[ 242.482   307.8077 1822.1962],[ 169.28362  269.9014  1747.78   ],[ 153.88953  261.92947 1732.8969 ],[ 387.5803  627.7183 1755.1503],[ 318.21332  380.71503 1727.4205 ]
[ 350.71548  317.44382 1810.3711 ],[ 348.52563  381.74008 1748.2164 ],[ 351.41052  240.47519 1779.5886 ],[ 380.9668   299.04932 1574.5992 ],[ 371.27103  291.06964 1541.7734 ],[ 242.7488  308.0639 1822.5297],[ 169.81177  270.05478 1748.4106 ],[ 154.47592  262.06296 1733.5868 ],[ 387.70157  627.14044 1755.2213 ],[ 317.98785  380.21432 1728.4268 ]
[ 350.7453   317.42413 1810.5499 ],[ 348.57086  381.6863  1747.6917 ],[ 351.41913  240.47147 1779.5748 ],[ 380.9363  299.0838 1574.4565],[ 371.24744  291.1089  1541.7268 ],[ 243.26947  308.5454  1822.9784 ],[ 170.57993  270.50574 1749.2241 ],[ 155.3002   262.50958 1734.4733 ],[ 387.79077  626.68805 1755.2975 ],[ 317.82947  379.8259  1729.7755 ]
[ 350.75793  317.4037  1810.7227 ],[ 348.62573  381.6299  1747.1014 ],[ 351.42328  240.46634 1779.5657 ],[ 380.90753  299.18372 1574.3081 ],[ 371.22327  291.22937 1541.659  ],[ 243.77948  308.9892  1823.5553 ],[ 171.32687  270.95493 1750.1774 ],[ 156.10115  262.96213 1735.5018 ],[ 387.83044  626.45526 1755.315  ],[ 317.5203   379.44708 1732.6194 ]
[ 350.76764  317.37106 1811.0316 ],[ 348.68787  381.54462 1746.407  ],[ 351.42664  240.45947 1779.59   ],[ 380.87143  299.33615 1574.148  ],[ 371.1899  291.4161 1541.5643],[ 244.0852   309.23102 1824.1761 ],[ 171.83887  271.25397 1751.0192 ],[ 156.65909  263.27457 1736.3878 ],[ 387.84824  626.2431  1755.24   ],[ 317.4148   378.94217 1733.367  ]
[ 350.77957  317.32687 1811.4713 ],[ 348.75708  381.42163 1745.4386 ],[ 351.4306   240.45103 1779.6471 ],[ 380.84766  299.77213 1574.0502 ],[ 371.1767   291.95053 1541.4192 ],[ 243.89809  309.03036 1824.6934 ],[ 171.76785  271.1944  1751.6785 ],[ 156.61417  263.24548 1737.0754 ],[ 387.7927  626.1937 1755.088 ],[ 317.39297  378.5098  1734.851  ]
[ 350.78687  317.2878  1811.8656 ],[ 348.82715  381.30154 1744.4263 ],[ 351.4333   240.44446 1779.6948 ],[ 380.64984  301.04297 1572.5472 ],[ 370.95615  293.49234 1539.6681 ],[ 243.49869  308.62555 1825.2073 ],[ 171.4556   270.97372 1752.5774 ],[ 156.32445  263.06577 1738.0514 ],[ 387.9438  625.4766 1754.7749],[ 317.36267  377.90695 1734.5771 ]
