left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 369.88196  310.86264 1608.0189 ],[ 367.45758  378.3021  1552.2412 ],[ 377.55292  234.2167  1613.3224 ],[ 408.55713  290.03085 1421.8914 ],[ 384.89407  264.80124 1390.3082 ],[ 267.8019   312.38055 1698.2609 ],[ 188.36032  306.71234 1681.6765 ],[ 172.2836   305.56528 1678.3596 ],[ 388.45142  702.75385 1302.2238 ],[ 330.7349  384.1008 1533.9852]
[ 369.91666  310.84    1607.9633 ],[ 367.46405  378.3168  1552.0538 ],[ 377.5618  234.2267 1613.3071],[ 405.8161   292.98914 1419.82   ],[ 380.8825  269.0713 1387.9321],[ 267.87228  312.4703  1698.2208 ],[ 188.45401  306.60934 1681.6853 ],[ 172.3826   305.42328 1678.3782 ],[ 388.83115  702.8134  1306.4324 ],[ 330.72046  384.0618  1534.3737 ]
[ 369.95697  310.80643 1607.9031 ],[ 367.4726   378.31094 1551.8495 ],[ 377.5724   234.21828 1613.2909 ],[ 405.10632  292.19202 1421.6638 ],[ 379.92072  268.09213 1391.3966 ],[ 267.84924  312.451   1698.2617 ],[ 188.43747  306.5724  1681.6886 ],[ 172.36691  305.38272 1678.374  ],[ 389.8568   702.76636 1318.4253 ],[ 330.70923  384.0396  1534.7544 ]
[ 369.99542  310.7797  1607.8439 ],[ 367.4801  378.3063 1551.6744],[ 377.58295  234.21085 1613.275  ],[ 403.05182  291.42764 1424.8086 ],[ 377.1039   267.38657 1397.5077 ],[ 267.87668  312.41782 1698.2789 ],[ 188.48451  306.36005 1681.6904 ],[ 172.41776  305.13412 1678.3727 ],[ 389.7295  702.8494 1317.4679],[ 330.69513  384.0494  1535.3373 ]
[ 370.03113  310.77063 1607.8196 ],[ 367.47653  378.32166 1551.7571 ],[ 377.59277  234.21819 1613.2682 ],[ 401.06915  293.4489  1423.4941 ],[ 374.27313  270.37036 1395.99   ],[ 267.862    312.42654 1698.2909 ],[ 188.46857  306.4047  1681.6599 ],[ 172.4011  305.186  1678.3337],[ 389.48746  702.89624 1315.1118 ],[ 330.75607  384.11115 1535.1636 ]
[ 370.07574  310.76102 1607.8091 ],[ 367.47028  378.3334  1551.9253 ],[ 377.60498  234.2216  1613.2651 ],[ 398.0869   298.78506 1419.033  ],[ 369.8745   277.94937 1389.4991 ],[ 268.1745  312.101  1698.3524],[ 188.7598   306.40228 1681.6615 ],[ 172.68732  305.24893 1678.3234 ],[ 389.23657  702.9038  1313.0156 ],[ 330.78955  384.0892  1535.2385 ]
[ 370.1189   310.75183 1607.7996 ],[ 367.46494  378.34174 1552.0867 ],[ 377.61722  234.22285 1613.2625 ],[ 398.4111  306.4022 1409.0662],[ 369.8443   288.33398 1372.9153 ],[ 268.05447  312.2669  1698.4542 ],[ 188.645   306.5046 1681.6372],[ 172.57214  305.33832 1678.2738 ],[ 389.13937  702.91876 1312.5587 ],[ 330.81998  384.08163 1535.3063 ]
[ 370.1706  310.7461 1607.7885],[ 367.4754   378.35568 1552.3579 ],[ 377.63184  234.22476 1613.2593 ],[ 401.04    302.388  1410.1729],[ 373.65405  282.49774 1374.3701 ],[ 268.04507  312.21603 1698.5985 ],[ 188.62775  306.5981  1681.6814 ],[ 172.55215  305.46094 1678.298  ],[ 389.1492  703.2582 1313.4182],[ 330.8395   384.29526 1535.2906 ]
[ 370.222   310.7416 1607.7781],[ 367.47928  378.36282 1552.4984 ],[ 377.64645  234.22656 1613.2563 ],[ 406.88043  294.0498  1414.7812 ],[ 382.22394  270.4586  1380.4612 ],[ 268.04688  312.18448 1698.7522 ],[ 188.62186  306.69666 1681.7051 ],[ 172.54324  305.58572 1678.2957 ],[ 389.11493  703.0753  1315.4971 ],[ 330.8464  384.2703 1535.2997]
[ 370.27542  310.7359  1607.7676 ],[ 367.4832   378.36465 1552.5887 ],[ 377.66156  234.22621 1613.2534 ],[ 403.53696  305.30936 1400.5166 ],[ 377.02734  286.27698 1359.4604 ],[ 267.9413   312.28784 1698.9529 ],[ 188.51266  306.86194 1681.7227 ],[ 172.43121  305.76337 1678.2766 ],[ 388.76904  702.99243 1314.7544 ],[ 330.86676  384.25247 1535.2953 ]
[ 370.32568  310.73062 1607.757  ],[ 367.48703  378.36548 1552.6748 ],[ 377.67572  234.22551 1613.2505 ],[ 407.54932  303.15045 1398.0688 ],[ 382.81818  282.88538 1354.6923 ],[ 267.96124  312.23712 1699.1984 ],[ 188.52191  306.97217 1681.7294 ],[ 172.4356  305.906  1678.2356],[ 387.63962  702.9035  1306.1073 ],[ 330.8969   384.31625 1535.2992 ]
[ 370.37173  310.7271  1607.7465 ],[ 367.48987  378.36783 1552.7781 ],[ 377.68784  234.22575 1613.2477 ],[ 414.17847  306.30634 1382.9756 ],[ 392.34436  286.86163 1331.097  ],[ 268.03604  312.4168  1699.402  ],[ 188.60202  307.12302 1681.7521 ],[ 172.51474  306.0509  1678.222  ],[ 386.96973  702.7117  1301.1013 ],[ 330.92715  384.39386 1535.2961 ]
[ 370.42178  310.72458 1607.7323 ],[ 367.4948   378.36877 1552.8405 ],[ 377.7008   234.22614 1613.2438 ],[ 423.57092  309.3546  1371.2244 ],[ 406.2423   290.72278 1310.607  ],[ 268.1093  312.5989 1699.6335],[ 188.66751  307.44675 1681.7716 ],[ 172.57622  306.40314 1678.1992 ],[ 385.6643  702.1309 1292.479 ],[ 330.95245  384.45624 1535.2544 ]
[ 370.47192  310.72128 1607.7183 ],[ 367.56128  376.9702  1553.9956 ],[ 377.71375  234.22658 1613.24   ],[ 432.84396  311.48486 1367.602  ],[ 420.32874  293.49933 1300.5132 ],[ 268.02765  312.65707 1700.0782 ],[ 188.56819  307.76724 1681.795  ],[ 172.46854  306.7765  1678.1384 ],[ 385.66724  702.15796 1300.9434 ],[ 330.9817   384.55356 1535.1942 ]
[ 370.4976   310.71356 1607.7067 ],[ 367.6184   375.87302 1554.9812 ],[ 377.7202   234.22635 1613.2367 ],[ 434.75165  309.6158  1369.2529 ],[ 423.78003  290.5169  1302.0359 ],[ 267.994    312.84567 1700.1188 ],[ 188.50537  308.3293  1681.7131 ],[ 172.39836  307.41415 1678.032  ],[ 385.87143  702.27423 1310.1338 ],[ 331.0288   384.87595 1535.1499 ]
[ 370.52087  310.705   1607.6842 ],[ 367.6662   375.00342 1555.7412 ],[ 377.72607  234.22641 1613.2306 ],[ 435.80005  308.3956  1376.0323 ],[ 425.3984   288.25143 1309.892  ],[ 267.85797  313.1605  1700.6111 ],[ 188.33853  309.1782  1681.7836 ],[ 172.22052  308.371   1678.0181 ],[ 385.20264  701.65814 1302.9271 ],[ 331.0751   385.11942 1535.0464 ]
[ 370.5465   310.69427 1607.66   ],[ 367.7078   374.31854 1556.3645 ],[ 377.73242  234.22667 1613.224  ],[ 437.3968  310.4199 1374.4626],[ 427.96906  291.50366 1305.816  ],[ 268.4834   312.68372 1700.6625 ],[ 188.90234  310.05795 1681.8217 ],[ 172.7717   309.52573 1678.0535 ],[ 385.07574  701.10675 1299.6857 ],[ 331.21524  385.91913 1534.9005 ]
