left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 337.60962  325.97058 1748.0411 ],[ 334.85944  385.91214 1699.311  ],[ 338.50494  253.08707 1799.4059 ],[ 416.12778  342.01218 1633.6431 ],[ 435.47583  361.52258 1667.47   ],[ 206.16898  269.21875 1814.9822 ],[ 129.92877  259.62167 1772.1865 ],[ 114.23674  257.64636 1763.6274 ],[ 359.68616  680.74854 1483.5924 ],[ 301.86313  396.00543 1669.3715 ]
[ 337.61533  325.79105 1748.2056 ],[ 334.84735  385.82077 1699.6146 ],[ 338.74652  253.06494 1799.4056 ],[ 415.91974  342.21002 1631.9938 ],[ 435.5807   361.14392 1666.6675 ],[ 207.53815  274.6207  1828.859  ],[ 132.21988  264.73615 1797.2754 ],[ 116.83745  262.7174  1790.9586 ],[ 345.1553  678.7593 1466.303 ],[ 301.6655   395.02655 1670.0387 ]
[ 337.6317  325.5906 1748.2153],[ 334.8321   385.65018 1699.5703 ],[ 339.35876  252.99022 1799.279  ],[ 415.20758  342.4814  1627.424  ],[ 435.54532  361.01163 1661.5573 ],[ 209.43814  273.86823 1852.731  ],[ 134.79657  269.11127 1821.7843 ],[ 119.56291  268.1404  1815.595  ],[ 340.99615  677.4892  1457.8483 ],[ 301.58426  394.9674  1670.8412 ]
[ 337.6568   325.37955 1748.185  ],[ 334.8193   385.41602 1699.4436 ],[ 340.31143  252.88248 1799.144  ],[ 415.4853   342.48642 1622.8398 ],[ 436.8253   360.92395 1654.4338 ],[ 211.24236  275.8271  1859.5972 ],[ 137.91867  271.10992 1843.3605 ],[ 123.09867  270.1565  1840.1132 ],[ 342.6894  677.6229 1455.2064],[ 301.51196  394.87598 1671.6377 ]
[ 337.72363  324.2944  1748.7056 ],[ 334.85022  384.21213 1699.9788 ],[ 341.34332  251.77179 1799.1249 ],[ 415.2986  342.4202 1616.9531],[ 437.74042  360.53137 1646.2725 ],[ 214.54965  281.38678 1861.9116 ],[ 144.4321   272.12756 1876.1426 ],[ 130.53604  270.29254 1878.9888 ],[ 348.17166  678.62506 1455.7607 ],[ 301.51978  394.83252 1671.6372 ]
[ 337.8328   322.86923 1749.4065 ],[ 334.89966  382.5863  1700.7499 ],[ 342.4142   250.12152 1798.5801 ],[ 416.5409  342.9721 1610.6283],[ 439.82855  360.56342 1638.8318 ],[ 218.47598  286.73038 1861.5741 ],[ 148.43637  273.86682 1877.6714 ],[ 134.57231  271.32053 1880.8909 ],[ 354.23956  679.4969  1456.4336 ],[ 301.53458  394.76944 1671.7832 ]
[ 337.9513   321.67453 1749.9331 ],[ 334.9498  381.186  1701.4691],[ 343.43634  248.64893 1797.9396 ],[ 417.01382  342.8746  1605.8773 ],[ 440.85666  360.29327 1632.8994 ],[ 220.60611  287.7208  1861.7269 ],[ 151.09328  275.2029  1880.8318 ],[ 137.35982  272.7298  1884.6527 ],[ 356.96866  679.8389  1458.1227 ],[ 301.51776  394.7342  1672.0079 ]
[ 338.0677   320.53183 1750.4137 ],[ 335.00095  379.8164  1702.1627 ],[ 344.15494  247.21053 1797.0891 ],[ 417.86896  343.84958 1595.724  ],[ 442.62427  361.5359  1619.299  ],[ 221.74176  287.679   1861.8652 ],[ 153.04149  276.12137 1887.4491 ],[ 139.52434  273.84732 1892.5659 ],[ 356.92868  679.6903  1462.1008 ],[ 301.49405  394.68665 1672.3032 ]
[ 338.15143  319.68997 1750.6185 ],[ 335.04242  378.8062  1702.698  ],[ 344.7094   246.12158 1795.8943 ],[ 416.8262   343.47357 1598.7771 ],[ 441.35352  361.194   1622.9276 ],[ 223.14363  288.33255 1862.0935 ],[ 155.29811  277.06052 1893.5752 ],[ 141.99884  274.85092 1899.8716 ],[ 356.70517  679.3078  1468.5371 ],[ 301.42233  394.63364 1672.7903 ]
[ 338.24683  319.0123  1750.7626 ],[ 335.09723  378.06537 1703.3839 ],[ 345.3136   245.21436 1794.069  ],[ 416.19888  342.44046 1598.9016 ],[ 440.99707  359.86084 1622.9033 ],[ 223.74525  287.30035 1862.2756 ],[ 155.73134  277.07788 1892.5515 ],[ 142.38885  275.07254 1898.6067 ],[ 356.0158  679.1608 1470.7767],[ 301.2591   394.62042 1673.2698 ]
[ 338.29248  318.76755 1750.6475 ],[ 335.12903  377.86426 1703.7736 ],[ 345.62616  244.68959 1791.4133 ],[ 417.49414  343.04242 1597.0654 ],[ 442.6024   360.41153 1620.0249 ],[ 223.38928  285.5732  1862.7211 ],[ 153.89937  276.7908  1891.5851 ],[ 140.2551  275.0664 1897.3579],[ 349.70422  678.34656 1456.3347 ],[ 301.04657  394.6011  1674.2795 ]
[ 338.30005  318.81323 1750.3385 ],[ 335.13794  378.03033 1703.8673 ],[ 345.7934   244.43613 1788.1721 ],[ 416.59497  343.4943  1596.8043 ],[ 441.626    361.04767 1619.5826 ],[ 224.89072  287.7261  1864.0319 ],[ 155.34668  277.30328 1887.7698 ],[ 141.64722  275.25012 1892.5173 ],[ 333.35785  673.7154  1448.407  ],[ 300.84866  394.56528 1675.4607 ]
[ 338.30548  318.82175 1750.0867 ],[ 335.14    378.1701 1703.8561],[ 345.89505  244.19286 1785.3544 ],[ 416.53323  343.46417 1596.8036 ],[ 441.7526   360.85715 1619.2686 ],[ 225.36696  288.12076 1863.8815 ],[ 155.37222  277.56464 1881.1799 ],[ 141.52747  275.47668 1884.6396 ],[ 317.75415  666.31067 1441.9657 ],[ 300.6871   394.49542 1676.6835 ]
[ 338.30133  318.92926 1749.7968 ],[ 335.14233  378.46698 1703.863  ],[ 345.98584  244.09822 1782.4891 ],[ 416.72583  343.28467 1598.1085 ],[ 442.11606  360.32782 1620.7324 ],[ 225.23471  287.649   1863.0619 ],[ 154.37495  278.05777 1871.4398 ],[ 140.27907  276.1498  1873.1154 ],[ 313.5008   661.41296 1420.7051 ],[ 300.52615  394.48325 1677.7512 ]
