left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 390.07916  318.28403 1590.2744 ],[ 389.48907  390.99646 1532.6453 ],[ 395.7777   236.22113 1630.942  ],[ 443.9654   280.68954 1434.7367 ],[ 435.9524   266.03036 1414.4763 ],[ 288.33     324.41882 1668.1329 ],[ 214.42473  286.20676 1586.562  ],[ 198.72226  278.08795 1570.2478 ],[ 425.4279   734.83936 1291.016  ],[ 352.17767  397.7436  1520.9086 ]
[ 386.14468  318.22318 1590.7126 ],[ 385.52557  390.93686 1534.0096 ],[ 391.88745  236.22638 1631.0585 ],[ 441.77808  282.65134 1437.2672 ],[ 433.5694   268.10345 1417.324  ],[ 283.02817  324.52118 1667.6428 ],[ 208.56522  286.76422 1587.5391 ],[ 192.7617   278.75092 1571.5183 ],[ 416.00052  734.4591  1291.9866 ],[ 348.1105  398.5767 1521.376 ]
[ 381.9606   318.12415 1591.3395 ],[ 381.16928  390.80615 1535.0428 ],[ 387.40506  236.25713 1631.211  ],[ 438.76062  281.63223 1436.281  ],[ 431.06357  266.72705 1416.378  ],[ 277.57812  325.20862 1667.1586 ],[ 201.50711  289.23416 1591.9675 ],[ 185.42238  281.6276  1576.9293 ],[ 409.021    734.04333 1293.4451 ],[ 343.69757  399.261   1521.1438 ]
[ 377.74725  318.16214 1591.6848 ],[ 376.74792  390.8204  1535.5048 ],[ 382.827    236.56583 1631.273  ],[ 434.0191  280.9897 1435.942 ],[ 426.8539   265.69516 1416.2319 ],[ 272.18155  325.47784 1666.48   ],[ 195.68169  290.0057  1591.0242 ],[ 179.50264  282.5037  1575.933  ],[ 402.3769  733.6238 1295.7822],[ 339.2523   400.52396 1520.8348 ]
[ 373.74762  318.09048 1591.7886 ],[ 372.244   390.7182 1535.7789],[ 378.7796  236.8766 1631.2612],[ 424.47668  282.28552 1437.0312 ],[ 416.5318   267.20648 1417.7605 ],[ 268.5045   326.86667 1665.6793 ],[ 191.5583   291.64206 1588.36   ],[ 175.26129  284.18155 1572.8961 ],[ 397.75732  733.9568  1299.0498 ],[ 334.75583  401.76105 1521.0634 ]
[ 370.07053  317.92932 1591.7991 ],[ 367.95233  390.51614 1535.8917 ],[ 375.5326   237.16924 1631.2109 ],[ 416.53488  283.3306  1437.4751 ],[ 408.1873  268.2035 1418.3544],[ 264.62228  326.839   1665.2218 ],[ 186.73602  292.60968 1580.3953 ],[ 170.14456  285.31808 1563.4299 ],[ 393.00598  734.35425 1301.5774 ],[ 330.30563  401.5172  1521.0503 ]
[ 366.06012  317.74942 1591.7976 ],[ 363.80658  390.32043 1535.9985 ],[ 372.072    237.46219 1631.1511 ],[ 410.57806  283.9275  1439.1558 ],[ 401.79138  268.7333  1420.2026 ],[ 261.9457   326.95334 1664.7925 ],[ 182.80632  293.41583 1575.4178 ],[ 165.88855  286.24646 1557.543  ],[ 387.37952  734.7685  1306.9492 ],[ 326.00775  401.6038  1520.8732 ]
[ 362.06384  317.63895 1591.789  ],[ 359.93323  390.21057 1536.1271 ],[ 368.37915  237.75526 1631.081  ],[ 406.74457  281.04434 1440.0907 ],[ 398.599    265.28635 1421.0408 ],[ 256.63614  324.87015 1664.4924 ],[ 175.77116  292.96594 1574.2235 ],[ 158.47238  286.14093 1556.1697 ],[ 383.22357  735.34503 1312.0145 ],[ 322.13373  401.77655 1520.3795 ]
[ 356.56277  317.42563 1591.8276 ],[ 354.44702  389.988   1536.3435 ],[ 364.36108  237.98112 1630.9613 ],[ 401.29382  282.65546 1439.4545 ],[ 393.45248  266.88852 1420.2964 ],[ 247.49426  320.76202 1664.0614 ],[ 165.68332  291.7267  1570.1506 ],[ 148.13257  285.49783 1551.3685 ],[ 381.41852  737.99457 1315.856  ],[ 316.58322  401.65698 1520.2369 ]
[ 351.43805  317.4709  1591.7749 ],[ 349.26556  390.0297  1536.3766 ],[ 359.8627  238.3052 1630.8105],[ 395.6797   285.34802 1439.6172 ],[ 387.6917   269.74313 1420.5778 ],[ 242.97028  321.1665  1663.1771 ],[ 161.07576  292.32742 1571.2946 ],[ 143.53394  286.1501  1552.9181 ],[ 377.50934  738.4172  1323.696  ],[ 311.25723  401.94427 1519.3197 ]
