left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 349.4021   315.96094 1798.3628 ],[ 351.01117  380.5588  1732.104  ],[ 351.69095  238.92813 1758.4298 ],[ 385.21136  291.50858 1569.5426 ],[ 375.87927  281.41684 1539.1045 ],[ 220.98793  279.0549  1801.0865 ],[ 149.52612  234.34576 1705.8583 ],[ 134.26552  224.79817 1686.8126 ],[ 385.9589   644.98615 1740.4381 ],[ 322.88467  394.6808  1735.8864 ]
[ 349.4369   316.09448 1797.6637 ],[ 350.91864  380.81946 1733.5308 ],[ 351.7002   239.00383 1758.2479 ],[ 386.21698  291.55182 1572.5143 ],[ 376.9372   281.45493 1542.7378 ],[ 220.90204  279.02185 1801.5426 ],[ 150.07085  234.9062  1706.3987 ],[ 134.94608  225.48607 1687.3699 ],[ 385.68793  646.78735 1740.512  ],[ 323.6816   396.83777 1736.2302 ]
[ 349.45154  316.19247 1797.3457 ],[ 350.86084  380.9551  1733.7352 ],[ 351.7041  239.0765 1758.1649],[ 387.2748   291.48315 1575.5155 ],[ 378.0146   281.37283 1546.3607 ],[ 220.86514  279.22455 1801.4391 ],[ 150.8815   234.97917 1707.2692 ],[ 135.94801  225.53784 1688.4352 ],[ 385.39496  645.9888  1740.5933 ],[ 324.41107  396.87482 1736.54   ]
[ 349.46597  316.35617 1797.0728 ],[ 350.8078  381.1561 1733.9766],[ 351.70795  239.2202  1758.0948 ],[ 388.4118   291.79288 1578.4537 ],[ 379.06134  281.76974 1549.8495 ],[ 220.8116   279.48703 1801.5131 ],[ 151.4288   235.29813 1707.8173 ],[ 136.62854  225.87204 1689.0781 ],[ 385.40643  644.75525 1740.6233 ],[ 325.05487  396.97498 1736.6418 ]
[ 349.45227  316.4888  1797.3134 ],[ 350.7751   381.25583 1733.5095 ],[ 351.70438  239.37688 1758.1544 ],[ 388.61905  292.35892 1579.823  ],[ 379.29816  282.36697 1551.4889 ],[ 220.66083  279.57306 1801.6025 ],[ 151.73015  235.48184 1708.061  ],[ 137.02802  226.07767 1689.3528 ],[ 384.6268  644.5851 1740.8136],[ 325.30286  396.1555  1736.6249 ]
[ 349.4314   316.59067 1797.6848 ],[ 350.7444  381.2824 1732.3673],[ 351.69888  239.51364 1758.2471 ],[ 388.60156  292.69275 1581.4227 ],[ 379.28333  282.68604 1553.441  ],[ 220.20932  278.98077 1801.5369 ],[ 151.43724  235.24487 1707.4963 ],[ 136.76369  225.91315 1688.6882 ],[ 385.11426  643.1858  1740.8129 ],[ 324.5224   394.98712 1736.5145 ]
[ 349.4181  316.7003 1797.922 ],[ 350.73492  381.33722 1731.5144 ],[ 351.69623  239.6467  1758.3064 ],[ 388.77075  292.7619  1583.2976 ],[ 379.4772   282.67743 1555.717  ],[ 219.98177  278.97446 1801.5283 ],[ 151.60397  235.16035 1707.4019 ],[ 137.01363  225.81136 1688.5765 ],[ 385.52032  642.18506 1740.8191 ],[ 323.9422   394.19907 1736.2795 ]
[ 349.39838  316.83536 1798.2738 ],[ 350.7417   381.37555 1730.0615 ],[ 351.69214  239.81592 1758.3947 ],[ 388.84637  292.7691  1586.0479 ],[ 379.54663  282.5612  1559.0258 ],[ 219.64842  278.84454 1801.5371 ],[ 151.59189  234.97804 1707.0536 ],[ 137.06642  225.61552 1688.1569 ],[ 386.00314  640.5233  1740.809  ],[ 323.01297  392.59985 1736.0759 ]
[ 349.37933  316.9747  1798.6206 ],[ 350.76752  381.4149  1728.6687 ],[ 351.68872  239.98924 1758.4816 ],[ 388.35626  291.80798 1588.6954 ],[ 379.0295   281.47574 1562.1948 ],[ 219.55478  279.13852 1801.6086 ],[ 151.97217  234.94771 1707.1201 ],[ 137.54784  225.51596 1688.2224 ],[ 386.38202  639.13214 1740.9142 ],[ 322.4327  391.389  1735.7842]
[ 349.3651  317.1077 1798.8823],[ 350.78122  381.48288 1727.8551 ],[ 351.68674  240.14865 1758.5472 ],[ 388.63318  291.637   1589.4685 ],[ 379.37     281.23477 1563.1366 ],[ 219.37143  279.1933  1801.5935 ],[ 152.1142   234.77449 1707.2816 ],[ 137.7611   225.29526 1688.4192 ],[ 386.67065  638.39594 1740.8451 ],[ 322.2653  391.0233 1735.6365]
[ 349.32758  317.1103  1799.5488 ],[ 350.81537  381.32242 1726.2305 ],[ 351.67996  240.21094 1758.7144 ],[ 388.98816  291.16656 1590.5486 ],[ 379.80383  280.64764 1564.4464 ],[ 219.25793  279.2442  1802.3066 ],[ 152.32709  234.69908 1707.4364 ],[ 138.03836  225.18936 1688.4624 ],[ 387.08478  636.6361  1740.736  ],[ 321.67822  389.55423 1735.3729 ]
[ 349.28796  317.10187 1800.2545 ],[ 350.85565  381.14157 1724.7192 ],[ 351.6728   240.26587 1758.8915 ],[ 389.27493  290.69925 1591.4907 ],[ 380.16235  280.07605 1565.5835 ],[ 219.21603  279.37326 1803.6414 ],[ 152.51828  234.9406  1707.4424 ],[ 138.26659  225.44641 1688.2026 ],[ 387.46915  634.9925  1740.6296 ],[ 320.9633   388.00262 1735.0972 ]
[ 349.2472   317.05133 1800.9796 ],[ 350.91156  380.86108 1722.6517 ],[ 351.6651   240.27989 1759.0734 ],[ 389.50806  290.4892  1592.2434 ],[ 380.4401   279.80307 1566.4788 ],[ 219.2844  279.6658 1804.967 ],[ 152.85646  235.2665  1707.6355 ],[ 138.65169  225.77228 1688.1692 ],[ 387.9218   632.67584 1740.4978 ],[ 320.02252  385.75494 1734.726  ]
