left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 355.37186  326.5115  1840.0765 ],[ 356.0361  388.5849 1755.0735],[ 354.79333  250.38191 1836.3032 ],[ 431.78043  424.98694 1764.6296 ],[ 431.78043  457.94568 1764.6296 ],[ 245.10861  320.07614 1856.6012 ],[ 170.96594  297.2931  1779.3995 ],[ 155.35863  292.4972  1763.9592 ],[ 391.88626  640.8872  1778.309  ],[ 323.5442   392.27277 1736.8335 ]
[ 356.464    326.57693 1839.1294 ],[ 357.27808  388.8019  1755.4585 ],[ 355.80664  250.3996  1836.2455 ],[ 431.72815  425.37555 1766.0522 ],[ 431.72815  458.30777 1766.0522 ],[ 263.99286  332.33154 1854.4629 ],[ 190.206    312.72565 1769.2776 ],[ 174.58769  308.5757  1752.2405 ],[ 392.78455  641.03174 1780.1593 ],[ 324.07233  391.4339  1739.7039 ]
[ 357.8235   327.63715 1836.4419 ],[ 358.9062   390.17563 1754.8298 ],[ 356.77118  251.33626 1835.564  ],[ 431.6828  425.8893 1768.0874],[ 431.6828  458.7836 1768.0874],[ 272.3666  335.7008 1855.5419],[ 200.39478  320.69998 1744.626  ],[ 184.88812  317.468   1722.4427 ],[ 393.14978  643.0244  1779.9482 ],[ 326.01862  391.85522 1739.723  ]
[ 358.51154  328.95334 1834.4642 ],[ 359.77435  391.55707 1751.975  ],[ 357.42865  252.56061 1835.0298 ],[ 432.16052  427.5961  1769.9729 ],[ 432.16052  460.45535 1769.9729 ],[ 270.00418  335.2927  1857.8677 ],[ 201.70493  329.8342  1709.7543 ],[ 186.60004  328.627   1680.1316 ],[ 393.1026   644.06714 1779.4205 ],[ 327.1317   392.38925 1741.1252 ]
[ 358.49695  329.88773 1831.2651 ],[ 359.59842  392.68805 1749.2875 ],[ 357.74786  253.34547 1834.183  ],[ 432.46716  429.26157 1769.3357 ],[ 432.46716  462.13266 1769.3357 ],[ 269.46057  336.10312 1857.4106 ],[ 207.99422  341.1944  1677.199  ],[ 194.08109  342.3468  1641.1566 ],[ 392.35028  644.4178  1778.7744 ],[ 327.45197  392.92612 1741.6105 ]
[ 358.30896  330.86902 1828.0972 ],[ 359.1012   393.82495 1746.1196 ],[ 357.72244  254.18642 1833.3414 ],[ 432.6195  429.9792 1769.0149],[ 432.6195   462.85623 1769.0149 ],[ 272.92386  339.86328 1846.6361 ],[ 216.18956  346.72208 1654.5414 ],[ 203.22424  348.2895  1616.1224 ],[ 391.37082  644.59    1777.8818 ],[ 327.52667  393.36188 1742.0239 ]
[ 357.78375  331.57147 1826.0878 ],[ 357.9498   394.60855 1743.967  ],[ 357.55957  254.80165 1832.7798 ],[ 432.92203  430.43207 1768.4027 ],[ 432.92203  463.3205  1768.4027 ],[ 276.98483  342.87485 1824.7887 ],[ 232.85648  327.22513 1624.8254 ],[ 222.69452  323.62128 1584.8328 ],[ 390.6052  644.9    1777.2456],[ 326.52866  394.18927 1741.9244 ]
[ 356.19092  332.43063 1823.8511 ],[ 355.65466  395.5406  1741.3677 ],[ 357.11514  255.5728  1831.4916 ],[ 433.4222  431.3188 1767.6116],[ 433.4222   464.22192 1767.6116 ],[ 308.55698  342.32327 1892.0549 ],[ 262.07172  332.33875 1700.561  ],[ 240.00043  327.59808 1622.5884 ],[ 388.88654  644.923   1776.3885 ],[ 324.81644  395.605   1741.3523 ]
[ 354.06967  333.10126 1821.7495 ],[ 353.5716   396.37408 1739.9161 ],[ 356.57617  256.18866 1828.3057 ],[ 433.342    431.23636 1767.8319 ],[ 433.342   464.1354 1767.8319],[ 282.17538  345.99265 1800.7579 ],[ 265.51968  323.36673 1585.7139 ],[ 257.36084  312.2834  1498.0801 ],[ 386.9436   645.05536 1776.2588 ],[ 323.35034  397.13943 1741.1313 ]
[ 352.1435   333.27774 1820.67   ],[ 351.88818  396.66162 1739.5436 ],[ 356.12128  256.38803 1823.5636 ],[ 433.2138   430.89246 1768.0549 ],[ 433.2138   463.78735 1768.0549 ],[ 278.87357  345.02438 1797.25   ],[ 283.55414  334.68057 1570.435  ],[ 285.87518  329.5512  1477.9434 ],[ 385.2212  645.2479 1776.5288],[ 322.02753  398.26065 1742.1072 ]
[ 351.28528  333.33252 1819.86   ],[ 351.68137  396.8073  1739.3182 ],[ 355.94122  256.47577 1818.4956 ],[ 433.0307   430.31302 1768.103  ],[ 433.0307   463.20703 1768.103  ],[ 282.33438  345.5033  1798.6094 ],[ 295.71838  337.9735  1573.5071 ],[ 302.34717  334.2442  1481.6654 ],[ 385.06738  645.0962  1776.3248 ],[ 321.1647  398.085  1743.8245]
[ 350.8815  333.3624 1819.1459],[ 351.65573  396.90955 1739.1572 ],[ 355.88882  256.56073 1812.9667 ],[ 433.0747   430.15564 1769.033  ],[ 433.0747   463.03238 1769.033  ],[ 287.39273  346.25296 1800.0237 ],[ 288.1962   338.53955 1570.5435 ],[ 288.5959  334.7023 1476.8762],[ 385.04883  645.1752  1776.1511 ],[ 320.37177  397.55698 1746.4152 ]
[ 350.63123  333.39258 1817.437  ],[ 351.68942  397.12512 1739.2028 ],[ 355.83096  256.59467 1807.8969 ],[ 433.14386  429.9595  1770.6421 ],[ 433.14386  462.80634 1770.6421 ],[ 289.03946  345.9609  1801.9062 ],[ 281.66446  342.96628 1569.3223 ],[ 279.91913  342.25757 1522.8054 ],[ 385.19183  645.0546  1775.9855 ],[ 319.6888   396.96252 1750.1047 ]
[ 350.57275  333.52142 1814.3497 ],[ 351.69153  397.58585 1739.5796 ],[ 355.71246  256.62436 1803.22   ],[ 433.24854  429.6084  1772.7036 ],[ 433.24854  462.41705 1772.7036 ],[ 288.74493  345.46555 1802.5269 ],[ 273.35025  347.867   1569.0452 ],[ 265.6598   349.06668 1473.6866 ],[ 385.25568  645.1691  1775.7161 ],[ 319.4266   396.78418 1753.971  ]
[ 350.5445   333.67654 1810.3124 ],[ 351.68732  398.1438  1740.3553 ],[ 355.57422  256.6096  1798.7947 ],[ 433.38446  429.40973 1771.986  ],[ 433.38446  462.23166 1771.986  ],[ 288.246    344.79706 1803.2998 ],[ 263.124    349.90646 1573.3416 ],[ 250.6146   352.45068 1479.4017 ],[ 385.2755   645.34314 1775.5049 ],[ 319.09793  396.3262  1759.0056 ]
[ 350.54523  333.60098 1808.4702 ],[ 351.68445  398.22562 1740.6409 ],[ 355.42953  256.4849  1795.4032 ],[ 433.40308  429.01303 1771.1616 ],[ 433.40308  461.85022 1771.1616 ],[ 287.48163  343.68076 1802.7415 ],[ 257.59036  350.34335 1575.5757 ],[ 242.74185  353.65298 1482.7605 ],[ 385.48773  645.86224 1773.329  ],[ 319.02374  396.3492  1759.9136 ]
[ 350.5053   333.41095 1808.1263 ],[ 351.71454  398.04788 1740.467  ],[ 355.27173  256.33215 1792.9152 ],[ 433.33594  428.54712 1769.7983 ],[ 433.33594  461.40964 1769.7983 ],[ 298.4177   342.62314 1820.2875 ],[ 254.01724  350.14282 1611.2582 ],[ 232.3724  353.8086 1525.8413],[ 385.6775   646.42786 1771.098  ],[ 319.00095  396.4003  1760.915  ]
[ 350.46405  332.7023  1808.3973 ],[ 351.75085  397.30566 1740.8389 ],[ 355.11887  255.6819  1791.2689 ],[ 433.27563  427.96112 1767.9585 ],[ 433.27563  460.85782 1767.9585 ],[ 285.17413  342.47778 1795.8618 ],[ 258.297    353.30655 1565.4475 ],[ 244.8896   358.70837 1471.2816 ],[ 385.92804  647.17346 1767.8848 ],[ 319.84573  397.79825 1759.6628 ]
[ 350.5097   331.49515 1808.3632 ],[ 351.73315  396.09424 1741.8278 ],[ 354.95825  254.4934  1789.9171 ],[ 433.3404   427.35437 1765.0332 ],[ 433.3404   460.30557 1765.0332 ],[ 281.74902  342.2193  1778.5398 ],[ 264.5714   356.67438 1542.7966 ],[ 255.9387   363.93884 1446.4443 ],[ 386.09723  647.6594  1765.7827 ],[ 320.20602  398.46674 1758.0452 ]
[ 350.55923  330.09387 1808.1826 ],[ 351.68927  393.36288 1744.233  ],[ 354.91132  253.10146 1788.6461 ],[ 433.4402   426.86182 1761.3198 ],[ 433.4402  459.8825 1761.3198],[ 284.41702  343.1576  1769.1024 ],[ 266.8845   356.34442 1533.6736 ],[ 258.06467  362.97815 1437.443  ],[ 386.22586  647.65894 1765.0656 ],[ 321.0333   399.64645 1755.6311 ]
[ 350.63928  328.6044  1807.6942 ],[ 351.65417  390.88388 1745.8839 ],[ 354.91177  251.58714 1787.6681 ],[ 433.5307  426.3494 1757.5518],[ 433.5307   459.44086 1757.5518 ],[ 285.4052   343.77756 1758.5575 ],[ 273.60995  357.47656 1521.6663 ],[ 267.65912  364.38785 1424.8325 ],[ 386.47235  647.3329  1763.7155 ],[ 320.8651   399.31573 1751.8975 ]
[ 350.64594  327.7004  1807.6106 ],[ 351.73407  390.32452 1743.0403 ],[ 354.90817  250.69765 1786.7487 ],[ 433.4583  425.8409 1757.293 ],[ 433.4583   458.93726 1757.293  ],[ 285.9144   344.28482 1742.5424 ],[ 287.958    358.65802 1505.8057 ],[ 288.99112  365.92432 1409.0306 ],[ 387.14453  643.81604 1764.0906 ],[ 320.03467  396.38718 1744.0212 ]
[ 350.74957  327.2905  1806.9575 ],[ 351.8783   390.22388 1740.4012 ],[ 354.9607   250.26035 1785.8602 ],[ 433.4186   425.52875 1757.325  ],[ 433.4186  458.6245 1757.325 ],[ 287.10944  344.68567 1720.2687 ],[ 298.78433  360.93552 1486.4657 ],[ 301.57437  364.81885 1439.7051 ],[ 387.5108  642.1625 1764.5021],[ 321.34677  396.48532 1725.0767 ]
[ 351.70618  327.1914  1806.1532 ],[ 353.2962   390.33646 1737.0118 ],[ 355.22748  250.08533 1785.3007 ],[ 433.47968  426.2411  1757.5125 ],[ 433.47968  459.3333  1757.5125 ],[ 288.37192  344.59    1704.7549 ],[ 310.64087  358.444   1474.0814 ],[ 315.95804  361.7519  1427.9468 ],[ 388.73868  641.19147 1764.6083 ],[ 327.0241   400.34668 1717.5577 ]
[ 355.15488  327.10165 1806.1838 ],[ 357.34308  390.08136 1730.0968 ],[ 356.10977  249.93939 1785.1858 ],[ 432.3275   423.36804 1758.5464 ],[ 432.3275   456.44083 1758.5464 ],[ 288.54422  343.52173 1688.7363 ],[ 315.33517  336.40964 1468.6853 ],[ 321.68646  334.72357 1424.675  ],[ 391.0446  638.6862 1767.237 ],[ 332.23077  398.17847 1741.7716 ]
[ 358.48077  326.95428 1805.953  ],[ 361.6553  389.9103 1726.7949],[ 356.9602   249.79846 1785.0898 ],[ 432.31525  423.0703  1758.7236 ],[ 432.31525  456.13974 1758.7236 ],[ 285.25897  340.7277  1673.8662 ],[ 319.4732  315.1376 1476.2338],[ 327.44562  309.17474 1436.7073 ],[ 397.10455  631.3939  1767.9364 ],[ 326.67386  384.4647  1726.8757 ]
[ 359.6322   326.73395 1805.6897 ],[ 363.93445  389.67764 1724.656  ],[ 357.25867  249.58414 1785.0106 ],[ 432.42834  422.4614  1759.0466 ],[ 432.42834  455.52475 1759.0466 ],[ 283.87238  336.40387 1651.5094 ],[ 323.38342  297.10162 1477.9674 ],[ 332.4258   288.10696 1443.259  ],[ 399.6434  627.5487 1768.2168],[ 327.20862  382.12122 1736.4204 ]
[ 359.1687   326.51334 1805.413  ],[ 364.2421   389.47568 1723.4113 ],[ 357.14722  249.32974 1784.9357 ],[ 432.51855  421.5534  1759.6107 ],[ 432.51855  454.60617 1759.6107 ],[ 280.7881  326.455  1617.5576],[ 328.9354   279.00095 1469.7106 ],[ 339.75113  268.34094 1440.1411 ],[ 399.43628  627.85626 1768.5839 ],[ 326.854    381.33038 1738.3822 ]
[ 357.60046  326.62036 1802.8623 ],[ 362.3559   390.03857 1723.984  ],[ 356.75085  249.23476 1784.2908 ],[ 432.5205  420.859  1760.3528],[ 432.5205   453.89783 1760.3528 ],[ 271.8208  300.3    1548.9703],[ 342.25543  254.9951  1444.5752 ],[ 357.5819   245.13686 1423.6962 ],[ 397.2241   630.78973 1768.3171 ],[ 326.17276  384.87527 1739.3235 ]
[ 356.14148  326.96948 1800.8661 ],[ 359.8377   390.94293 1727.1713 ],[ 356.3818   249.44492 1783.7847 ],[ 397.97806  280.9893  1655.1057 ],[ 382.44348  254.96535 1612.0573 ],[ 271.95438  276.06757 1518.4761 ],[ 352.1148   234.44626 1438.8499 ],[ 369.2234   225.56302 1422.9246 ],[ 394.29266  636.6742  1767.4541 ],[ 326.30664  391.3307  1741.9075 ]
