left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 322.00665  335.3875  1406.425  ],[ 319.77582  415.63358 1345.6327 ],[ 322.04706  235.95198 1392.3511 ],[ 378.67133  255.6974  1328.6494 ],[ 357.7161   217.69173 1315.8065 ],[ 149.42085  262.1345  1338.5596 ],[ 111.83952  173.58783 1183.3834 ],[ 103.108665  153.0168   1152.3481  ],[ 363.65912  758.5196  1367.7675 ],[ 302.46362  437.4357  1410.0039 ]
[ 323.4796   332.70242 1405.9132 ],[ 321.78766  412.33963 1348.2676 ],[ 322.37463  235.12056 1395.0557 ],[ 383.76758  250.90384 1331.2682 ],[ 365.23798  211.5995  1320.1857 ],[ 147.06361  250.71187 1359.3495 ],[  88.89737  165.42804 1205.6729 ],[  75.43822  145.69412 1174.9375 ],[ 359.32132  763.40155 1375.1772 ],[ 303.99863  444.29587 1390.7303 ]
[ 325.0607   330.80814 1405.6267 ],[ 324.21973  409.86517 1350.0748 ],[ 322.76453  234.64508 1396.4961 ],[ 385.44827  249.13683 1330.3087 ],[ 367.715    209.40106 1319.4802 ],[ 147.64632  248.45041 1386.009  ],[  71.95253  170.15804 1245.8552 ],[  54.72307  152.33708 1217.8245 ],[ 362.0968  766.7801 1369.7164],[ 311.09985  448.0352  1386.2142 ]
[ 324.43677  329.88846 1405.4338 ],[ 324.22186  408.24405 1351.1957 ],[ 322.59583  234.61227 1397.0142 ],[ 386.97992  249.46921 1329.6494 ],[ 378.2102  229.0611 1324.5885],[ 147.99101  247.01265 1399.8716 ],[  59.840733  175.51704  1282.0563  ],[  40.230133  159.61156  1258.4932  ],[ 357.84152  765.7107  1379.8021 ],[ 307.26675  446.781   1386.1394 ]
[ 323.60712  329.51505 1405.2806 ],[ 323.95718  409.03345 1350.6847 ],[ 322.3714   234.64479 1397.2208 ],[ 386.41354  248.99712 1328.2712 ],[ 377.67654  228.35185 1323.4484 ],[ 149.48468  246.91998 1417.7249 ],[  47.893593  192.60379  1315.4781  ],[  25.650333  180.71133  1295.0288  ],[ 357.9222   765.08545 1380.225  ],[ 304.9255  444.2146 1391.7574]
[ 323.19595  329.5798  1405.1548 ],[ 323.70865  410.03845 1350.023  ],[ 322.25934  234.69936 1397.2932 ],[ 385.79758  249.49193 1327.2621 ],[ 377.13342  228.66681 1322.1116 ],[ 151.57776  247.69324 1435.4851 ],[  44.05536  207.14586 1345.7268 ],[  20.806429  198.37854  1327.7751  ],[ 360.47583  763.02625 1378.8385 ],[ 300.9402  441.2723 1395.3047]
[ 322.82263  329.73526 1405.1602 ],[ 323.28754  410.9481  1349.7865 ],[ 322.15762  234.75653 1397.3853 ],[ 384.66425  250.83458 1325.8522 ],[ 376.0246   230.02553 1320.5787 ],[ 154.14331  253.25415 1454.3416 ],[  47.978127  215.64473  1373.5635  ],[  25.228817  207.58571  1357.4078  ],[ 359.29337  765.82837 1376.6155 ],[ 303.06107  445.3308  1388.5269 ]
[ 322.58478  329.93488 1405.167  ],[ 322.86514  411.75516 1349.6433 ],[ 322.08707  234.9149  1397.5017 ],[ 380.19977  254.3726  1323.6954 ],[ 371.1585   234.00299 1318.1182 ],[ 158.88814  268.60342 1467.091  ],[  58.893616  225.0853   1395.3114  ],[  37.647285  215.83879  1380.9554  ],[ 363.1688   759.09735 1380.2848 ],[ 303.05624  444.4707  1392.808  ]
[ 322.13702  331.0365  1405.3353 ],[ 322.3645  413.3647 1349.139 ],[ 321.9599   236.23439 1397.6578 ],[ 374.7383   258.76385 1323.519  ],[ 365.02805  238.94592 1317.8861 ],[ 160.76935  273.6623  1473.9927 ],[  62.46505  231.00691 1406.3734 ],[  41.658802  221.97885  1392.8496  ],[ 359.43896  764.28613 1377.9897 ],[ 302.48788  444.3371  1393.1514 ]
[ 321.63446  332.3318  1407.7263 ],[ 321.87537  414.91278 1348.7935 ],[ 321.8179   238.24254 1398.4016 ],[ 368.7006  262.0086 1323.939 ],[ 357.71298  242.63979 1318.2373 ],[ 161.05423  273.64096 1481.1732 ],[  60.67227  234.11555 1412.379  ],[  39.41089  225.74387 1398.6202 ],[ 359.11713  763.6774  1378.1515 ],[ 302.59586  444.47403 1392.9359 ]
