left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 352.59833  324.73688 1814.4263 ],[ 351.89734  388.9103  1749.9794 ],[ 355.11194  248.64581 1777.7814 ],[ 379.46143  295.26758 1618.033  ],[ 369.6128   284.57776 1589.4691 ],[ 229.08705  286.96872 1847.9036 ],[ 158.43839  241.24963 1759.9517 ],[ 143.45276  231.55194 1742.3613 ],[ 384.3881  634.4301 1769.3594],[ 324.77197  389.63132 1766.2234 ]
[ 352.59778  324.74637 1814.4552 ],[ 351.8985  388.9207 1750.0476],[ 355.1082   248.64767 1777.966  ],[ 380.13513  295.98224 1620.0582 ],[ 370.4497   285.46793 1591.9268 ],[ 228.30788  285.39676 1847.4054 ],[ 157.79475  241.62637 1759.1329 ],[ 142.83434  232.33981 1741.4784 ],[ 384.37903  634.51794 1769.3989 ],[ 324.81378  389.76355 1766.1603 ]
[ 352.5962   324.75565 1814.4843 ],[ 351.89944  388.92865 1750.0591 ],[ 355.10422  248.64948 1778.1488 ],[ 380.47638  296.37964 1621.2067 ],[ 370.8863   285.96124 1593.3303 ],[ 228.56494  285.95062 1847.6616 ],[ 158.92018  242.24677 1760.448  ],[ 144.15488  232.98117 1743.0052 ],[ 384.33752  634.69977 1769.4305 ],[ 324.85254  389.85266 1766.18   ]
[ 352.59558  324.75882 1814.5051 ],[ 351.9      388.93115 1750.0791 ],[ 355.10223  248.64935 1778.2433 ],[ 380.63287  296.56564 1621.782  ],[ 371.09308  286.19208 1594.032  ],[ 228.89941  286.67404 1847.7052 ],[ 159.81729  242.80295 1761.5342 ],[ 145.18181  233.50858 1744.2999 ],[ 384.33594  634.74036 1769.4772 ],[ 324.8517   389.88214 1766.2734 ]
[ 352.59525  324.7574  1814.5266 ],[ 351.90036  388.9284  1750.0883 ],[ 355.10156  248.64836 1778.2727 ],[ 380.81024  296.7594  1622.2571 ],[ 371.30884  286.43396 1594.6117 ],[ 228.85818  286.6268  1847.419  ],[ 159.99825  242.9458  1761.766  ],[ 145.41489  233.69492 1744.6354 ],[ 384.3023  634.8543 1769.5739],[ 324.85876  389.90787 1766.3597 ]
[ 352.59305  324.74606 1814.6515 ],[ 351.9016   388.90665 1750.0715 ],[ 355.10022  248.64575 1778.3345 ],[ 380.9519   296.91696 1622.4994 ],[ 371.47864  286.62936 1594.9302 ],[ 228.87747  286.6541  1847.4481 ],[ 160.21298  243.12143 1762.0266 ],[ 145.67334  233.90343 1744.9423 ],[ 384.28046  634.93866 1769.6427 ],[ 324.89362  389.9646  1766.5168 ]
[ 352.62994  324.73724 1814.767  ],[ 351.9314   388.88776 1750.0546 ],[ 355.1087   248.64372 1778.4032 ],[ 381.0489   296.99878 1622.6415 ],[ 371.59775  286.7303  1595.1443 ],[ 228.90485  286.69736 1847.5061 ],[ 160.39233  243.26912 1762.2494 ],[ 145.88657  234.0743  1745.198  ],[ 384.30048  634.83246 1770.136  ],[ 324.91855  389.97473 1766.4956 ]
[ 352.6626   324.73276 1814.8209 ],[ 351.95642  388.87857 1750.0509 ],[ 355.11658  248.64221 1778.434  ],[ 381.06094  297.01004 1622.6642 ],[ 371.6115  286.745  1595.1827],[ 229.111   287.0999 1847.6444],[ 160.74786  243.53445 1762.6825 ],[ 146.27672  234.31245 1745.6901 ],[ 384.32782  634.7735  1770.3562 ],[ 324.91867  389.96426 1766.2982 ]
[ 352.73227  324.72296 1814.9265 ],[ 352.08533  388.861   1750.024  ],[ 355.1341   248.63966 1778.4674 ],[ 380.92554  296.8639  1622.2351 ],[ 371.43945  286.56393 1594.6924 ],[ 229.5204   287.88956 1847.9204 ],[ 161.22728  243.87022 1763.2178 ],[ 146.77365  234.55391 1746.2772 ],[ 384.41016  635.03516 1769.9285 ],[ 325.03357  389.9711  1766.2959 ]
[ 352.7982  324.7091 1815.0657],[ 352.20578  388.83524 1749.9689 ],[ 355.15073  248.6362  1778.5055 ],[ 381.2879  297.267  1623.3087],[ 371.8848  287.0653 1596.0007],[ 230.85411  290.29865 1849.0945 ],[ 163.96074  245.69438 1766.4331 ],[ 149.8237   236.26784 1749.9009 ],[ 384.3725  635.49   1770.1539],[ 325.31396  390.25046 1766.1537 ]
[ 352.8629  324.6956 1815.2004],[ 352.31268  388.80975 1749.9148 ],[ 355.167   248.6328 1778.5422],[ 381.5338   297.59396 1624.146  ],[ 372.18857  287.47208 1597.0396 ],[ 232.121   292.4634 1849.9117],[ 166.35437  247.38268 1769.2307 ],[ 152.47462  237.86859 1753.0945 ],[ 384.34167  635.9818  1770.3226 ],[ 325.68143  390.67175 1766.4586 ]
[ 352.9284   324.68243 1815.3324 ],[ 352.43344  388.78522 1749.8634 ],[ 355.18347  248.62947 1778.579  ],[ 381.72925  297.8531  1624.8041 ],[ 372.42917  287.7948  1597.8611 ],[ 233.65082  294.89297 1850.8608 ],[ 168.9378   249.29431 1772.1843 ],[ 155.2995   239.68439 1756.449  ],[ 384.5671  635.9026 1770.648 ],[ 326.09827  391.2368  1766.8793 ]
[ 352.98996  324.6738  1815.4146 ],[ 352.47318  388.76825 1749.842  ],[ 355.199   248.6267 1778.6013],[ 381.86905  298.07654 1625.3837 ],[ 372.60715  288.07318 1598.5579 ],[ 233.70459  294.95935 1850.929  ],[ 169.26942  249.56555 1772.7108 ],[ 155.69395  240.0018  1757.0671 ],[ 384.73068  635.90466 1770.647  ],[ 325.9512   391.14853 1767.175  ]
[ 353.0102   324.67465 1815.3937 ],[ 352.49335  388.77292 1749.8939 ],[ 355.20398  248.62544 1778.5968 ],[ 381.3791  297.6107 1623.9471],[ 372.0257   287.49054 1596.8264 ],[ 230.82516  290.07318 1849.8081 ],[ 164.22723  246.04457 1767.0323 ],[ 150.15182  236.73917 1750.4772 ],[ 384.86078  635.9211  1770.6228 ],[ 325.9646   391.28802 1767.7311 ]
[ 353.02026  324.67624 1815.3622 ],[ 352.50342  388.7796  1749.9569 ],[ 355.20636  248.62415 1778.5896 ],[ 381.53644  297.8525  1624.4493 ],[ 372.25818  287.78427 1597.421  ],[ 228.85855  286.0525  1849.8501 ],[ 161.22235  244.20126 1763.6857 ],[ 146.89421  235.33546 1746.4528 ],[ 384.99866  635.7863  1770.5919 ],[ 326.02753  391.50427 1767.6343 ]
[ 353.03146  324.67813 1815.3276 ],[ 352.5119   388.79114 1750.1263 ],[ 355.20908  248.62292 1778.5812 ],[ 381.63354  298.0599  1624.9152 ],[ 372.42468  288.03485 1597.9637 ],[ 228.54597  285.36826 1849.7754 ],[ 160.95335  244.04941 1763.6841 ],[ 146.63516  235.29681 1746.4658 ],[ 385.0725   635.76215 1770.7333 ],[ 326.15924  391.82733 1767.681  ]
[ 353.03595  324.67932 1815.2976 ],[ 352.49384  388.80078 1750.2922 ],[ 355.21002  248.62146 1778.5739 ],[ 381.76782  298.31522 1625.302  ],[ 372.5788  288.3518 1598.4336],[ 228.12843  284.39984 1849.8323 ],[ 160.45352  243.68954 1763.4968 ],[ 146.11554  235.06445 1746.2297 ],[ 385.08643  635.7818  1770.8452 ],[ 326.2712   392.10727 1767.7131 ]
[ 353.02484  324.52136 1815.5366 ],[ 352.49066  388.61838 1750.284  ],[ 355.20605  248.48102 1778.6338 ],[ 381.9121   298.42606 1625.6973 ],[ 372.7378   288.50577 1598.9131 ],[ 228.21423  284.56308 1849.344  ],[ 160.78052  243.81389 1763.9113 ],[ 146.50229  235.18573 1746.8247 ],[ 385.01923  635.8045  1770.9738 ],[ 326.2189   391.90768 1768.0417 ]
[ 353.03348  324.38754 1815.44   ],[ 352.4849  388.4942 1750.4708],[ 355.20718  248.3359  1778.6095 ],[ 382.03253  298.5091  1626.0287 ],[ 372.8682   288.62503 1599.3124 ],[ 228.32901  284.67325 1849.4646 ],[ 161.08301  243.99573 1764.2323 ],[ 146.8465   235.38397 1747.1858 ],[ 385.05905  635.6393  1770.9583 ],[ 326.24017  391.92313 1767.851  ]
[ 353.04233  324.2756  1815.3129 ],[ 352.4793   388.39508 1750.661  ],[ 355.20844  248.21057 1778.5776 ],[ 382.07333  298.58728 1626.2373 ],[ 372.92255  288.73138 1599.5609 ],[ 228.33133  284.60162 1849.3712 ],[ 161.1833   244.02943 1764.2925 ],[ 146.96901  235.44089 1747.2767 ],[ 385.08887  635.5285  1771.03   ],[ 326.17737  391.85562 1767.8829 ]
[ 353.05087  324.0779  1815.1881 ],[ 352.47513  388.21097 1750.9585 ],[ 355.2091   247.99792 1778.5464 ],[ 382.11197  298.65738 1626.4358 ],[ 372.96796  288.83585 1599.7733 ],[ 228.58826  285.0198  1849.3619 ],[ 161.64584  244.33745 1764.9519 ],[ 147.48158  235.7295  1748.07   ],[ 385.04016  635.7268  1771.0258 ],[ 326.1114   391.79556 1767.968  ]
[ 353.0569   323.85803 1815.067  ],[ 352.47064  388.00424 1751.2793 ],[ 355.20593  247.76295 1778.516  ],[ 382.11163  298.69043 1626.5471 ],[ 372.9625  288.8957 1599.8834],[ 228.89143  285.52603 1849.4172 ],[ 162.16092  244.63042 1765.5778 ],[ 148.04703  235.98076 1748.8098 ],[ 384.87186  636.3381  1771.0184 ],[ 326.01865  391.73517 1768.0814 ]
[ 353.06097  323.7271  1814.9927 ],[ 352.46838  387.88113 1751.47   ],[ 355.20197  247.62282 1778.4973 ],[ 382.1278  298.7331 1626.7112],[ 372.9815   288.95825 1600.0568 ],[ 228.85332  285.41968 1849.2886 ],[ 162.12802  244.61188 1765.5316 ],[ 148.01598  235.98126 1748.7803 ],[ 384.75165  636.8172  1771.0518 ],[ 325.8818   391.64288 1768.1763 ]
[ 353.0646   323.65866 1814.9279 ],[ 352.46918  387.83173 1751.9236 ],[ 355.1983   247.54727 1778.4811 ],[ 382.14423  298.7761  1626.686  ],[ 373.00037  289.013   1600.0339 ],[ 228.86826  285.48953 1849.2036 ],[ 162.2036   244.64919 1765.6084 ],[ 148.10593  236.01263 1748.8894 ],[ 385.18326  635.97076 1771.1172 ],[ 325.9173   392.05972 1768.0261 ]
[ 353.06943  323.5578  1814.8458 ],[ 352.471    387.75098 1752.4193 ],[ 355.19464  247.43716 1778.4604 ],[ 382.12164  298.79022 1626.5842 ],[ 372.96994  289.0354  1599.9154 ],[ 228.94482  285.63583 1849.2566 ],[ 162.33127  244.70601 1765.7391 ],[ 148.24515  236.05098 1749.0356 ],[ 385.32178  635.93207 1771.2821 ],[ 325.96228  392.4794  1768.044  ]
[ 353.05447  323.36743 1815.1147 ],[ 352.4627   387.48148 1751.0083 ],[ 355.18488  247.26599 1778.528  ],[ 382.08734  298.8153  1626.5232 ],[ 372.92343  289.07898 1599.7667 ],[ 229.05829  285.80875 1849.3423 ],[ 162.46245  244.72324 1765.9119 ],[ 148.38097  236.03581 1749.2258 ],[ 384.92953  635.77057 1771.4202 ],[ 325.48     390.59924 1768.0643 ]
[ 353.0351   323.16095 1815.4635 ],[ 352.4577  387.1808 1749.5571],[ 355.17398  247.0853  1778.6155 ],[ 382.0005  298.8038 1626.2871],[ 372.81152  289.07428 1599.498  ],[ 229.07239  285.77432 1849.3796 ],[ 162.45944  244.58365 1765.936  ],[ 148.37425  235.87392 1749.2473 ],[ 385.2275   633.45856 1771.3406 ],[ 325.02112  388.64398 1768.0554 ]
[ 353.03522  323.0068  1815.4711 ],[ 352.4567   387.01697 1749.4829 ],[ 355.16846  246.92848 1778.6173 ],[ 381.94757  298.74097 1626.1691 ],[ 372.74292  289.00616 1599.3556 ],[ 229.06567  285.7312  1849.3596 ],[ 162.4877   244.34077 1766.0076 ],[ 148.41077  235.58934 1749.3372 ],[ 385.27267  632.833   1771.2582 ],[ 324.84546  388.03897 1768.0588 ]
[ 353.0406   322.86157 1815.3856 ],[ 352.4576  386.8899 1749.876 ],[ 355.16406  246.77275 1778.596  ],[ 381.90082  298.65973 1626.0067 ],[ 372.6855   288.91385 1599.1606 ],[ 229.03271  285.64005 1849.323  ],[ 162.56854  243.90538 1766.1643 ],[ 148.51752  235.08237 1749.5326 ],[ 385.21918  632.6932  1771.309  ],[ 324.5948   387.60477 1767.9493 ]
[ 353.0418   322.67322 1815.3738 ],[ 352.4593   386.70633 1750.1334 ],[ 355.15845  246.57935 1778.5929 ],[ 381.83893  298.55463 1625.8251 ],[ 372.60516  288.79767 1598.9214 ],[ 229.03217  285.5491  1849.4904 ],[ 162.8087   243.22325 1766.5918 ],[ 148.81113  234.2769  1750.0121 ],[ 385.04272  632.89795 1771.2936 ],[ 324.67047  387.52487 1767.8134 ]
[ 353.046    322.48538 1815.3094 ],[ 352.46002  386.5287  1750.426  ],[ 355.15366  246.38197 1778.5768 ],[ 381.64706  298.33032 1625.27   ],[ 372.36475  288.53345 1598.2585 ],[ 229.23389  285.81055 1850.1213 ],[ 163.47939  242.30269 1767.6345 ],[ 149.58513  233.10927 1751.1372 ],[ 384.8627  633.1458 1771.2812],[ 324.70398  387.41025 1767.7119 ]
[ 353.04846  322.39545 1815.2748 ],[ 352.4615   386.44928 1750.6989 ],[ 355.14838  246.28706 1778.5681 ],[ 381.36615  298.01953 1624.4044 ],[ 372.01532  288.15134 1597.2228 ],[ 229.32751  285.87534 1851.0741 ],[ 164.34203  240.49063 1769.2557 ],[ 150.61694  230.9053  1752.8921 ],[ 384.6417  633.4877 1771.2631],[ 324.41095  386.85477 1767.325  ]
[ 353.05    322.3512 1815.2566],[ 352.46274  386.4134  1750.9113 ],[ 355.1431   246.24023 1778.5636 ],[ 381.07083  297.68436 1623.399  ],[ 371.64343  287.73575 1596.0114 ],[ 229.21103  285.35217 1852.8558 ],[ 164.83252  238.21138 1772.2859 ],[ 151.24796  228.26416 1756.1719 ],[ 384.29364  634.24146 1771.3419 ],[ 324.57993  387.03815 1766.9218 ]
[ 353.05292  322.3336  1815.2126 ],[ 352.46558  386.41623 1751.3563 ],[ 355.13812  246.2184  1778.5525 ],[ 380.8124   297.36804 1622.3657 ],[ 371.32388  287.3413  1594.7723 ],[ 229.20892  284.47754 1857.397  ],[ 165.29816  235.98253 1779.2932 ],[ 151.83673  225.76811 1763.6725 ],[ 384.16653  634.6343  1771.4841 ],[ 324.78146  387.54303 1766.5396 ]
[ 353.058    322.32278 1815.1296 ],[ 352.4685   386.43164 1751.8872 ],[ 355.13403  246.20012 1778.5317 ],[ 380.7975  297.1231 1621.5729],[ 371.30188  287.03613 1593.8293 ],[ 229.43195  282.81125 1866.8207 ],[ 165.73625  234.0233  1790.6865 ],[ 152.34158  223.76361 1775.4597 ],[ 384.0235   635.33154 1771.4729 ],[ 325.0227   388.24838 1766.2644 ]
[ 353.0631  322.3146 1815.0454],[ 352.47125  386.44827 1752.3958 ],[ 355.13004  246.18448 1778.5106 ],[ 381.0057   297.10468 1621.3555 ],[ 371.55734  287.01254 1593.578  ],[ 229.75583  279.76013 1880.3248 ],[ 166.11026  231.9312  1802.814  ],[ 152.71872  221.8676  1787.3118 ],[ 383.93146  635.9862  1771.4667 ],[ 325.2152   388.90594 1766.4689 ]
[ 353.0669  322.3479 1814.9851],[ 352.47394  386.50226 1752.8159 ],[ 355.12622  246.21313 1778.4955 ],[ 381.46368  297.44495 1621.9695 ],[ 372.1247  287.4323 1594.3258],[ 229.62018  277.35944 1886.5328 ],[ 166.04387  230.3435  1815.6685 ],[ 152.72841  220.49646 1801.4956 ],[ 383.86237  636.60944 1771.4271 ],[ 325.37674  389.53787 1766.446  ]
[ 353.07086  322.3802  1814.9232 ],[ 352.47653  386.55438 1753.2249 ],[ 355.1208   246.24069 1778.4799 ],[ 381.7615   297.78134 1622.5494 ],[ 372.49176  287.84848 1595.0173 ],[ 229.30528  276.03244 1887.9357 ],[ 165.69553  229.50531 1826.4675 ],[ 152.45631  219.82153 1814.174  ],[ 383.8012  637.247  1771.4229],[ 325.52628  390.17487 1766.4806 ]
[ 353.07483  322.4118  1814.8595 ],[ 352.47925  386.6056  1753.6385 ],[ 355.1162   246.26736 1778.4639 ],[ 381.76172  297.86905 1622.8467 ],[ 372.49487  287.96417 1595.3737 ],[ 231.36359  279.09146 1895.132  ],[ 169.04472  231.85039 1833.8188 ],[ 156.07751  222.02054 1821.5563 ],[ 383.75076  637.912   1771.411  ],[ 325.6737   390.84128 1766.5391 ]
[ 353.07806  322.42303 1814.838  ],[ 352.47498  386.60797 1753.3259 ],[ 355.09222  246.27654 1778.4585 ],[ 381.8687  298.0926 1623.4672],[ 372.62863  288.25336 1596.117  ],[ 230.36453  277.114   1893.5582 ],[ 167.52573  230.79927 1834.6002 ],[ 154.47015  221.1768  1822.8086 ],[ 383.81158  637.6229  1771.4114 ],[ 325.55182  390.49362 1766.5751 ]
[ 353.07736  322.4195  1814.8951 ],[ 352.45764  386.53622 1751.565  ],[ 355.06342  246.27728 1778.473  ],[ 381.89362  298.30038 1624.0316 ],[ 372.65424  288.52753 1596.7947 ],[ 230.87648  277.51263 1896.3431 ],[ 168.41785  231.32631 1840.4873 ],[ 155.46843  221.75058 1829.3162 ],[ 384.03094  635.51465 1771.3788 ],[ 324.98474  388.20605 1766.4636 ]
[ 353.07825  322.41843 1814.9205 ],[ 352.444    386.48026 1750.2378 ],[ 355.03635  246.27771 1778.4823 ],[ 381.79053  298.47562 1624.7261 ],[ 372.52713  288.76102 1597.6262 ],[ 231.11414  277.06006 1899.2355 ],[ 168.71194  231.2947  1849.1968 ],[ 155.82405  221.84279 1839.1891 ],[ 384.03516  634.2295  1771.3854 ],[ 324.67075  386.56165 1766.5054 ]
[ 353.0924  322.4432 1814.6863],[ 352.4549   386.58878 1751.915  ],[ 355.0146   246.28201 1778.4329 ],[ 381.65378  298.56482 1625.2183 ],[ 372.3634   288.90665 1598.217  ],[ 231.60391  276.52478 1903.8458 ],[ 169.01617  231.6025  1854.3289 ],[ 156.09535  222.3286  1844.4254 ],[ 383.6599  636.5159 1771.3585],[ 325.34103  388.82468 1766.5574 ]
[ 353.10724  322.47134 1814.4371 ],[ 352.4643   386.68637 1753.3689 ],[ 354.98914  246.28702 1778.4056 ],[ 381.4357   298.67773 1625.9253 ],[ 372.09772  289.0693  1599.0596 ],[ 231.85428  276.07263 1906.9443 ],[ 169.21112  231.69278 1862.8097 ],[ 156.32458  222.56325 1853.9828 ],[ 383.4091  638.4993 1771.2635],[ 325.85468  390.80585 1766.5818 ]
[ 353.1239   322.50537 1814.1422 ],[ 352.476    386.79187 1755.0006 ],[ 354.96423  246.29294 1778.3895 ],[ 381.19055  299.04343 1626.8635 ],[ 371.78857  289.48157 1600.1709 ],[ 232.19519  275.58975 1912.3762 ],[ 169.2586   232.14214 1865.1736 ],[ 156.28711  223.18738 1855.733  ],[ 383.1286  641.0494 1771.1992],[ 326.84613  393.73477 1767.0413 ]
[ 353.13693  322.56143 1813.9008 ],[ 352.4781   386.88168 1755.5938 ],[ 354.92706  246.30357 1778.7944 ],[ 380.57898  299.39905 1627.8834 ],[ 371.0428  289.9248 1601.403 ],[ 231.95557  275.8672  1911.2872 ],[ 168.95526  232.603   1866.7722 ],[ 155.99295  223.70137 1857.8693 ],[ 383.1685   642.20135 1770.9933 ],[ 327.1698   395.04117 1767.3317 ]
[ 353.13696  322.6111  1813.9141 ],[ 352.46497  386.8999  1754.4663 ],[ 354.87555  246.31396 1779.5526 ],[ 379.8695   299.65866 1628.6658 ],[ 370.18115  290.29138 1602.3708 ],[ 232.14989  276.06082 1912.1902 ],[ 168.65677  233.66884 1866.4215 ],[ 155.58264  224.93973 1857.2678 ],[ 383.70587  640.7507  1771.0873 ],[ 327.17374  394.40543 1768.7239 ]
[ 353.13815  322.69125 1813.8906 ],[ 352.45325  386.95474 1753.5071 ],[ 354.8138   246.33002 1780.7474 ],[ 379.7265   299.63455 1628.6965 ],[ 370.0216   290.29343 1602.4272 ],[ 232.12129  275.95422 1912.7583 ],[ 167.89824  234.7513  1866.7108 ],[ 154.67152  226.26558 1857.5013 ],[ 384.18182  639.6165  1771.2302 ],[ 327.22458  394.03204 1770.0192 ]
[ 353.13947  322.81067 1813.8442 ],[ 352.43707  387.03766 1752.1855 ],[ 354.73584  246.3534  1782.6039 ],[ 379.9749  299.3675 1628.1841],[ 370.3354   290.01126 1601.8176 ],[ 232.05803  275.8825  1912.8706 ],[ 167.611    235.10521 1867.5059 ],[ 154.34402  226.71086 1858.4329 ],[ 384.56873  638.1257  1771.3341 ],[ 326.41473  392.29147 1771.1881 ]
[ 353.1003   322.76117 1816.1779 ],[ 352.40802  386.6846  1749.1224 ],[ 354.6356   246.35619 1785.9    ],[ 380.03656  299.10403 1627.9517 ],[ 370.4147   289.75992 1601.5327 ],[ 231.99951  275.813   1913.1929 ],[ 167.48813  235.22997 1868.731  ],[ 154.21574  226.88051 1859.8386 ],[ 385.1581  634.0307 1772.2178],[ 325.33615  388.5442  1772.463  ]
[ 353.05713  322.71985 1818.6979 ],[ 352.40787  386.3697  1748.0349 ],[ 354.513    246.36134 1789.712  ],[ 380.43463  298.64206 1627.1416 ],[ 370.89935  289.24518 1600.6396 ],[ 231.62839  275.9538  1913.6588 ],[ 167.28561  235.20673 1869.9802 ],[ 154.05469  226.82782 1861.2445 ],[ 385.2501   633.02344 1772.2654 ],[ 325.0789   387.54413 1772.0774 ]
[ 353.02527  322.69656 1820.8777 ],[ 352.41284  386.15024 1748.1537 ],[ 354.39633  246.36795 1793.2925 ],[ 380.4505   298.25928 1626.9423 ],[ 370.92444  288.83347 1600.4885 ],[ 231.33713  276.2218  1914.2391 ],[ 167.31268  235.08888 1871.0038 ],[ 154.15108  226.63312 1862.3567 ],[ 385.14142  633.42255 1772.2216 ],[ 325.22882  387.79828 1772.3744 ]
[ 353.0124   322.71112 1821.8939 ],[ 352.40735  386.1125  1748.897  ],[ 354.30737  246.37561 1795.4839 ],[ 380.24957  298.08713 1627.3784 ],[ 370.67337  288.64786 1601.0935 ],[ 231.31519  276.68195 1914.6372 ],[ 167.5316   235.25441 1870.62   ],[ 154.41298  226.73384 1861.8165 ],[ 384.94666  634.2363  1772.2946 ],[ 325.42468  388.3119  1772.7167 ]
[ 352.995   322.6493 1823.1973],[ 352.3891  385.9926 1750.0631],[ 354.2376   246.37056 1796.7194 ],[ 379.92734  297.9617  1628.3173 ],[ 370.2992   288.56555 1602.0793 ],[ 231.42052  277.1098  1915.0367 ],[ 167.86278  235.41267 1870.236  ],[ 154.78407  226.83237 1861.2758 ],[ 384.8145  634.6922 1772.4752],[ 325.43594  388.43304 1773.2491 ]
[ 352.96085  322.5306  1824.8826 ],[ 352.37207  385.74057 1750.6438 ],[ 354.17447  246.3568  1797.5587 ],[ 379.8721   298.15616 1628.894  ],[ 370.23602  288.8356  1602.5283 ],[ 232.15614  278.63654 1916.8933 ],[ 169.22874  236.2425  1870.2231 ],[ 156.2645   227.50851 1860.8892 ],[ 384.71585  634.6045  1772.713  ],[ 325.3512  388.0054 1773.8027]
