left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 286.13947  319.64398 1608.1936 ],[ 284.8607  383.7797 1565.0654],[ 284.61075  242.97746 1618.7196 ],[ 315.14194  287.57333 1449.4761 ],[ 293.43674  263.0206  1403.2621 ],[ 179.39847  325.02478 1650.5951 ],[  93.37952  319.9543  1526.0658 ],[  74.46315  318.8393  1501.1599 ],[ 320.62964  676.19727 1548.8165 ],[ 247.50201  395.46158 1533.5431 ]
[ 286.3548   320.86133 1608.1691 ],[ 284.86237  384.97653 1564.974  ],[ 283.64835  244.35493 1619.396  ],[ 316.4735   289.33746 1452.8464 ],[ 294.99338  264.83362 1406.513  ],[ 177.55089  326.99    1649.3752 ],[  92.2278   319.91873 1523.1514 ],[  73.43762  318.36148 1497.9066 ],[ 320.6737   676.18396 1549.3812 ],[ 247.54015  395.4992  1533.4152 ]
[ 286.64215  321.45505 1608.2042 ],[ 284.92865  385.56158 1565.1094 ],[ 283.4229   245.14131 1619.7687 ],[ 317.68976  291.09296 1455.0458 ],[ 296.35013  266.3231  1409.6702 ],[ 176.31209  328.09293 1647.6129 ],[  91.21385  319.69034 1522.8894 ],[  72.49367  317.84192 1497.9447 ],[ 320.74002  676.22614 1549.8927 ],[ 247.6437  395.531  1533.3053]
[ 286.92123  321.9772  1608.2303 ],[ 284.98767  386.1013  1564.948  ],[ 283.3906   245.86824 1619.9976 ],[ 318.25943  291.6563  1456.2976 ],[ 297.1437   266.68866 1411.204  ],[ 174.53735  329.67496 1644.6884 ],[  89.63362  319.41394 1522.0538 ],[  70.984184  317.16006  1497.527   ],[ 320.77145  676.5601  1549.4772 ],[ 247.6842   395.52325 1533.3578 ]
[ 287.13855  322.21295 1608.2512 ],[ 285.0487   386.38165 1564.9126 ],[ 283.41443  246.3238  1619.9918 ],[ 318.70364  292.15762 1457.06   ],[ 297.74707  266.97366 1412.4211 ],[ 173.44745  330.9016  1641.8622 ],[  88.73285  319.05655 1521.1702 ],[  70.15077  316.45834 1497.0317 ],[ 320.81195  676.9421  1548.9741 ],[ 247.71162  395.55377 1533.3666 ]
[ 287.35226  322.17807 1608.3375 ],[ 285.12384  386.3899  1564.9895 ],[ 283.459    246.50865 1619.9844 ],[ 318.8216   292.79492 1457.0547 ],[ 297.8367  267.566  1412.709 ],[ 172.6838   331.65054 1639.4235 ],[  88.04986  318.7043  1520.7089 ],[  69.51225  315.86868 1496.966  ],[ 320.92755  676.895   1549.1299 ],[ 247.7607  395.5419 1533.4296]
[ 287.84946  321.93454 1608.5946 ],[ 285.77304  386.15817 1564.7738 ],[ 283.61258  246.55115 1620.0176 ],[ 318.70926  292.77826 1456.5842 ],[ 297.6285   267.57446 1412.3444 ],[ 171.81456  332.34906 1637.0309 ],[  87.258385  318.31284  1520.0842  ],[  68.76149  315.24237 1496.695  ],[ 321.44363  676.85785 1549.2146 ],[ 248.42099  395.404   1533.9772 ]
[ 288.4746   323.33423 1608.5032 ],[ 286.5353   387.54404 1562.8998 ],[ 284.5043   246.56999 1620.0216 ],[ 318.93842  292.81195 1456.3724 ],[ 297.71478  267.55447 1412.6831 ],[ 172.07216  331.992   1639.156  ],[  87.791245  318.15128  1521.5897  ],[  69.34765  315.12244 1498.0764 ],[ 321.9783   676.76215 1549.2678 ],[ 249.27798  395.16962 1534.6115 ]
[ 289.3495   324.46875 1608.3762 ],[ 287.42996  388.64172 1561.5073 ],[ 286.045    246.57649 1620.0006 ],[ 319.1215   292.93307 1455.8242 ],[ 297.73026  267.61035 1412.7721 ],[ 173.08536  330.9178  1640.8093 ],[  88.71144  318.11087 1523.7509 ],[  70.25674  315.3097  1500.3391 ],[ 322.84857  676.8546  1549.0908 ],[ 250.08594  394.96805 1535.1178 ]
[ 290.25818  325.26227 1608.0675 ],[ 288.35513  389.37936 1560.414  ],[ 288.1645   246.44228 1619.9192 ],[ 316.94934  289.42093 1451.6628 ],[ 295.4878   264.53052 1406.4187 ],[ 174.59412  328.81073 1640.662  ],[  89.638885  317.97647  1525.7618  ],[  71.08892  315.6108  1502.7819 ],[ 323.85287  676.9408  1548.8679 ],[ 250.82307  394.63528 1535.4452 ]
[ 291.35266  325.65454 1607.7871 ],[ 289.61414  389.68353 1559.6125 ],[ 290.5073   246.10239 1619.8378 ],[ 318.10803  289.2956  1450.9438 ],[ 296.84473  264.14374 1406.0421 ],[ 176.97916  325.92236 1641.2831 ],[  91.368774  317.80917  1529.5924  ],[  72.724144  316.04227  1507.2543  ],[ 325.21085  676.8131  1548.6763 ],[ 251.8807   394.10318 1535.7068 ]
[ 292.5851   322.56552 1607.8545 ],[ 290.97375  386.40112 1561.2433 ],[ 293.73257  244.08723 1618.6682 ],[ 321.05566  289.19385 1450.7026 ],[ 300.25668  263.79227 1405.6367 ],[ 180.0548  322.5735 1641.7765],[  92.07564  317.28006 1532.0488 ],[  72.94553  316.1291  1510.1033 ],[ 326.7768   676.01587 1548.5164 ],[ 252.98677  393.41208 1535.2466 ]
[ 294.80835  321.4198  1607.5486 ],[ 293.1972   385.07803 1561.2747 ],[ 296.6857   242.15918 1617.1553 ],[ 324.83032  285.25998 1443.8208 ],[ 303.57474  259.96478 1398.805  ],[ 184.30708  317.241   1639.276  ],[  94.11287  316.87018 1535.0596 ],[  74.58421  316.7899  1514.2163 ],[ 329.12225  674.93256 1548.1525 ],[ 255.33221  392.7065  1533.8501 ]
[ 297.2284  320.3    1607.2102],[ 295.70938  383.78897 1561.3878 ],[ 298.8399   240.38286 1615.0055 ],[ 324.01508  282.50906 1440.3516 ],[ 300.8941   258.83258 1394.622  ],[ 189.02557  311.72095 1637.9379 ],[  99.33    316.7935 1539.2539],[  79.992836  317.8871   1519.5171  ],[ 331.57983  674.14386 1547.5723 ],[ 257.9532  391.4396 1532.9254]
[ 300.25342  319.63052 1606.4465 ],[ 298.47604  382.96823 1561.0039 ],[ 300.76587  239.15327 1612.6512 ],[ 323.198    280.09088 1438.421  ],[ 298.88828  258.66086 1389.3044 ],[ 191.53247  310.74283 1634.6934 ],[ 102.140045  316.2119   1542.5609  ],[  82.964676  317.38507  1524.1344  ],[ 334.2635   673.71765 1546.1177 ],[ 260.81635  390.7963  1533.2734 ]
