left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 306.5526   322.45883 1564.0438 ],[ 302.93707  396.65625 1507.5793 ],[ 313.94736  234.87401 1572.1987 ],[ 347.3611   289.46375 1413.1925 ],[ 336.95288  274.48535 1395.8723 ],[ 192.17697  301.17264 1695.838  ],[ 120.84189  351.002   1562.3075 ],[ 105.08615  362.0078  1535.6014 ],[ 342.01227  696.846   1500.272  ],[ 263.4629  392.3353 1496.2745]
[ 306.51083  322.83182 1563.1528 ],[ 302.85355  397.08243 1506.2461 ],[ 312.83096  234.95805 1571.2881 ],[ 346.35132  287.9798  1412.2936 ],[ 335.94446  273.06775 1394.692  ],[ 195.50381  306.8454  1695.5433 ],[ 134.64627  363.08    1538.771  ],[ 120.95575  375.73053 1507.4165 ],[ 341.8257   697.16113 1499.9335 ],[ 263.57938  392.7094  1493.4199 ]
[ 306.47925  323.14655 1562.2692 ],[ 302.76978  397.45776 1505.388  ],[ 311.8734   235.03474 1570.3282 ],[ 346.7648  288.19   1415.4286],[ 336.40814  273.57877 1396.8336 ],[ 199.85039  314.1267  1685.185  ],[ 152.751   374.3327 1504.9269],[ 141.94395  388.14713 1468.8752 ],[ 341.5739   697.31433 1499.811  ],[ 263.7222   392.78268 1492.181  ]
[ 306.45718  323.38022 1561.424  ],[ 302.69397  397.758   1505.0896 ],[ 311.03973  235.07188 1569.4237 ],[ 345.22418  287.0065  1411.8666 ],[ 334.96677  272.1015  1393.9336 ],[ 204.26695  326.02945 1652.8855 ],[ 183.17249  395.20514 1464.9618 ],[ 178.28708  411.22604 1427.3771 ],[ 341.39603  697.1805  1499.9471 ],[ 263.8123   392.72592 1492.2998 ]
[ 306.44373  323.5605  1560.5593 ],[ 302.61963  398.00626 1504.9595 ],[ 310.43985  235.09087 1568.5303 ],[ 345.8464  287.9047 1413.0201],[ 335.60675  273.09888 1394.8591 ],[ 206.98267  329.82947 1637.9087 ],[ 200.64812  406.25772 1466.6305 ],[ 199.1994   423.73672 1432.3749 ],[ 341.1836  697.3698 1500.0023],[ 263.90094  393.1891  1492.6167 ]
[ 306.4285   323.69766 1559.7552 ],[ 302.5503   398.21143 1505.2421 ],[ 310.14133  235.09953 1567.6178 ],[ 344.8072   287.82724 1412.9626 ],[ 334.6549   273.18613 1393.935  ],[ 209.38205  332.93524 1633.9545 ],[ 220.57324  400.76486 1451.1167 ],[ 223.15865  416.43494 1414.5492 ],[ 340.9761  697.5358 1500.0548],[ 263.99203  393.5143  1492.943  ]
[ 306.41064  323.8157  1558.8541 ],[ 302.4821   398.40164 1505.6536 ],[ 309.98773  235.10335 1566.7043 ],[ 345.86798  288.06467 1412.1533 ],[ 335.50195  273.20245 1393.8281 ],[ 207.06458  330.70786 1634.7705 ],[ 233.5918  388.5849 1450.3348],[ 239.728   401.9728 1413.4478],[ 340.79846  697.66547 1500.0984 ],[ 264.0718  393.9084 1493.3524]
[ 306.36755  323.90195 1558.4178 ],[ 302.41943  398.53183 1506.3604 ],[ 309.84708  235.10759 1565.9297 ],[ 347.22333  287.58374 1412.3204 ],[ 336.95105  272.63135 1394.3302 ],[ 205.52228  330.32642 1631.9291 ],[ 232.86649  382.99332 1441.8123 ],[ 246.13321  408.54602 1364.6777 ],[ 340.63644  698.0243  1500.1721 ],[ 264.32968  396.37842 1494.5381 ]
[ 306.3732  323.9718 1558.1415],[ 302.44385  398.6406  1508.1578 ],[ 309.6911   235.11288 1565.5212 ],[ 348.53482  286.0287  1411.5845 ],[ 338.4586   270.79318 1394.3032 ],[ 206.60977  332.75485 1619.7946 ],[ 232.57674  380.5076  1421.3345 ],[ 245.32492  403.95126 1340.691  ],[ 340.67346  699.11584 1500.1373 ],[ 264.87152  401.12497 1495.6758 ]
[ 306.45862  322.67126 1558.0154 ],[ 302.63348  397.31946 1511.5082 ],[ 309.5392   235.11882 1565.1154 ],[ 348.4593   285.42798 1410.6222 ],[ 338.5807   270.25668 1392.5513 ],[ 206.29407  334.89722 1600.3798 ],[ 232.44876  378.64984 1397.6001 ],[ 245.39807  400.31186 1315.0999 ],[ 340.75027  701.6977  1500.0973 ],[ 265.58636  407.52505 1495.9338 ]
