left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 404.95898  300.30072 1625.7283 ],[ 408.59714  364.21228 1568.9794 ],[ 407.51355  222.69029 1651.0007 ],[ 463.2865  269.2601 1476.317 ],[ 448.75745  241.89795 1436.4573 ],[ 329.06314  324.83688 1565.2    ],[ 345.91632  354.28366 1349.0356 ],[ 349.95654  361.34293 1305.8027 ],[ 491.1488   647.74817 1183.4487 ],[ 376.3056  378.4641 1526.4652]
[ 407.26324  299.93884 1620.364  ],[ 408.91678  364.5583  1566.1796 ],[ 408.13214  222.9622  1649.5676 ],[ 463.5572   268.32852 1474.1215 ],[ 449.22797  240.73363 1434.3474 ],[ 329.69733  324.85077 1561.2596 ],[ 348.18976  343.45172 1343.2605 ],[ 352.63272  347.92072 1299.6606 ],[ 452.4829  685.369  1360.9711],[ 377.45856  388.85278 1525.6256 ]
[ 410.57684  300.11105 1612.7155 ],[ 410.286   364.2022 1561.2953],[ 409.0067  223.1646 1647.6024],[ 463.14285  265.93774 1472.2736 ],[ 449.14874  238.42134 1431.1477 ],[ 330.94882  324.17618 1552.804  ],[ 355.94943  339.2892  1333.2094 ],[ 361.9715  342.9296 1289.2904],[ 448.33008  660.01105 1508.9481 ],[ 377.7661   394.31653 1523.6342 ]
[ 412.89038  300.23798 1607.9    ],[ 411.62836  364.0167  1557.6285 ],[ 409.63422  223.2114  1646.3845 ],[ 463.30478  267.35464 1474.0677 ],[ 449.34924  240.44618 1431.2526 ],[ 334.39752  321.8109  1539.1465 ],[ 363.49603  332.0319  1322.5994 ],[ 370.4979   334.49133 1279.2899 ],[ 449.69174  663.07965 1509.7614 ],[ 377.52527  393.44598 1523.6006 ]
[ 413.6798   300.14954 1605.1027 ],[ 412.81488  363.79947 1556.0356 ],[ 409.88184  223.20883 1645.663  ],[ 462.87204  267.9615  1473.9519 ],[ 449.03275  241.91286 1428.4406 ],[ 336.61575  317.88342 1527.6233 ],[ 366.9378   321.62473 1313.1354 ],[ 374.23102  322.5246  1270.2378 ],[ 450.63593  662.2853  1511.307  ],[ 378.36542  389.6688  1524.1733 ]
[ 414.05194  299.25372 1603.977  ],[ 414.2826  362.719  1554.906 ],[ 410.04724  222.75676 1645.3197 ],[ 462.93085  264.3982  1473.5734 ],[ 449.28802  237.82462 1428.835  ],[ 331.11423  314.52872 1531.5924 ],[ 356.74036  304.69086 1320.1842 ],[ 362.883   302.3327 1277.9026],[ 451.4882   660.88666 1514.4976 ],[ 379.94025  384.46942 1525.2627 ]
[ 414.1908   298.07645 1603.87   ],[ 414.96588  361.2423  1554.7115 ],[ 410.31293  222.307   1645.1953 ],[ 463.63995  261.1085  1474.1097 ],[ 450.12814  233.8157  1431.048  ],[ 330.25842  311.7017  1532.6436 ],[ 337.8211   289.91016 1322.9153 ],[ 339.6309   284.69556 1280.9696 ],[ 451.59937  658.1977  1519.2404 ],[ 380.73276  379.90698 1525.9949 ]
[ 414.15222  296.81454 1605.0319 ],[ 414.7371  359.6222 1556.6454],[ 410.54324  221.86647 1645.3839 ],[ 492.7865  355.1013 1291.9414],[ 494.9509   376.15518 1208.0725 ],[ 327.23758  294.87656 1490.1892 ],[ 333.26965  267.37045 1282.4613 ],[ 334.71838  260.76413 1240.9158 ],[ 448.43594  690.1791  1329.7759 ],[ 381.28607  379.05728 1526.9836 ]
[ 413.8327   296.05093 1608.3027 ],[ 414.24072  358.41614 1561.6191 ],[ 410.68515  221.4907  1646.1816 ],[ 488.8596   356.78687 1310.0029 ],[ 489.02667  378.26053 1227.4418 ],[ 323.81427  312.03152 1572.1816 ],[ 315.05844  272.55203 1383.1111 ],[ 313.01193  263.32446 1345.297  ],[ 448.73438  691.01843 1337.3566 ],[ 381.40686  379.91714 1528.1014 ]
[ 413.35602  296.18536 1612.6162 ],[ 413.7054  358.0719 1567.234 ],[ 410.79373  221.41139 1647.3304 ],[ 464.26477  257.683   1473.2339 ],[ 450.4617  230.0917 1431.352 ],[ 312.9118   306.90067 1579.4348 ],[ 289.9575  261.4999 1404.775 ],[ 284.6642   251.03047 1369.843  ],[ 449.3498  694.0824 1324.4559],[ 381.26123  381.68228 1529.122  ]
[ 412.80515  296.84528 1617.7832 ],[ 413.1564   358.22702 1572.689  ],[ 410.86334  221.45287 1648.7427 ],[ 464.2151   258.68225 1473.7045 ],[ 450.68027  231.28398 1430.8022 ],[ 298.11945  291.3217  1561.5095 ],[ 272.14392  239.23532 1391.8545 ],[ 266.16995  227.25626 1357.9235 ],[ 449.45087  695.7412  1309.7161 ],[ 380.8107   381.79523 1530.1024 ]
[ 412.28888  297.41174 1622.3317 ],[ 412.67358  358.43112 1576.357  ],[ 410.95074  221.50697 1649.9725 ],[ 465.51938  262.34525 1476.3766 ],[ 451.74628  235.41266 1433.1444 ],[ 288.80438  275.72644 1551.6184 ],[ 242.94394  223.89323 1399.5458 ],[ 232.54932  212.14487 1369.1312 ],[ 449.6131   695.37244 1303.1412 ],[ 380.4906  381.6405 1531.5979]
[ 411.84784  297.77252 1625.7286 ],[ 412.27167  358.51498 1578.4395 ],[ 411.0997   221.54709 1650.8794 ],[ 464.73444  263.98355 1474.8353 ],[ 450.54767  237.52792 1430.9993 ],[ 283.51645  270.5107  1572.4114 ],[ 221.30293  225.0554  1446.6531 ],[ 207.53928  214.99922 1421.5015 ],[ 449.69366  695.2503  1304.2759 ],[ 380.07843  381.36475 1533.4182 ]
[ 411.53018  297.98514 1627.2462 ],[ 411.95648  358.57358 1579.4016 ],[ 411.28238  221.56215 1651.2872 ],[ 464.55194  263.5279  1473.7751 ],[ 450.28192  237.0846  1429.9421 ],[ 278.2091   260.07147 1588.167  ],[ 202.49525  226.7348  1490.6482 ],[ 186.14793  219.53711 1471.1444 ],[ 449.56406  694.7236  1306.3987 ],[ 379.44067  381.08603 1535.7671 ]
[ 411.25095  298.1077  1627.3685 ],[ 411.6502  358.6209 1579.5867],[ 411.44574  221.56027 1651.3286 ],[ 464.78528  262.46616 1473.5995 ],[ 450.5932   235.66537 1430.5742 ],[ 274.84042  255.19286 1613.2358 ],[ 192.78856  236.82294 1546.1174 ],[ 175.51582  232.95589 1532.6937 ],[ 449.18817  694.0537  1308.0837 ],[ 378.48514  380.86227 1539.4016 ]
[ 410.98718  298.17838 1627.2416 ],[ 411.37     358.61972 1579.5482 ],[ 411.57803  221.56726 1651.292  ],[ 464.63446  260.648   1470.9163 ],[ 450.26303  233.34338 1429.4276 ],[ 275.8946   257.92505 1639.3619 ],[ 193.6101   246.51074 1591.9243 ],[ 176.56125  244.1458  1582.4368 ],[ 448.18793  693.1405  1316.269  ],[ 377.51654  380.62988 1543.694  ]
[ 410.70084  298.20184 1627.0664 ],[ 411.06177  358.59946 1579.5095 ],[ 411.54474  221.57506 1651.2385 ],[ 462.8921   257.59882 1460.1288 ],[ 447.35596  229.56075 1422.3196 ],[ 277.24698  260.51657 1657.9491 ],[ 195.62564  251.04129 1631.0983 ],[ 178.97784  249.1087  1625.7281 ],[ 445.49402  691.4833  1337.1079 ],[ 376.74335  380.51453 1546.8578 ]
[ 410.41534  298.1811  1626.8428 ],[ 410.75464  358.5776  1579.4617 ],[ 411.48676  221.58224 1650.9159 ],[ 461.47763  256.5782  1454.4749 ],[ 445.24072  228.43658 1417.994  ],[ 279.1265   263.29977 1679.284  ],[ 198.58275  254.45493 1661.9208 ],[ 182.2716   252.66371 1658.4481 ],[ 443.97742  689.2175  1352.1226 ],[ 375.9973   380.30554 1550.5045 ]
